System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),Core12 (Socket 1),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-05,08:57:07.132,0.25,3.11,0.08,1.12,0.15,4.97,0.97,0.42,0.0000,0.0004, 24000,0.31,0.18,99,50,12932.25,4152.20,2599.60,6.23,155.73,0.50,12.44,0.05,1.44,0.04,1.17,0.07,2.20,0.97,0.92,0.0000,0.0008, 21320,0.09,0.01,94,47,2685.03,1868.52,2599.60,2.87,71.85,0.10,2.58,7.16,67.44,0.09,25.31,0.00,100.00,0.00,0.00,0.00,0.00,3.07,35.51,0.28,61.14,0.00,100.00,0.00,0.00,0.00,0.00,74.45,56.48,4.30 ,4.31 ,581732.58 ,585223.90 ,3.00,3.00,0.48,2.22,0.22,1.18,0.03,0.79,0.97,0.93,0.0000,0.0006, 15160,18.33,81.67,0.00,0.00,0.00,46,1251.54,563.23,2599.60,4.44,111.10,0.96,24.06,
2024-03-05,08:57:08.132,0.16,2.54,0.06,1.12,0.17,7.74,0.98,0.43,0.0000,0.0009, 24120,0.74,0.44,99,49,8215.83,3236.21,2596.48,5.08,126.94,0.32,7.91,0.04,1.70,0.02,1.21,0.01,1.38,0.99,0.68,0.0000,0.0007, 22040,0.20,0.01,93,46,1846.04,1084.03,2596.48,3.41,85.15,0.07,1.78,5.59,75.14,0.01,19.26,0.00,100.00,0.00,0.00,0.00,0.00,1.73,30.11,0.15,68.01,0.00,100.00,0.00,0.00,0.00,0.00,76.04,53.02,4.46 ,4.31 ,0.33 ,0.33 ,3.00,3.00,0.51,2.97,0.17,1.22,0.00,0.56,0.99,0.40,0.0000,0.0004, 11080,14.05,85.95,0.00,0.00,0.00,46,1325.47,445.80,2596.48,5.95,148.66,1.02,25.53,
2024-03-05,08:57:09.132,0.16,2.47,0.07,1.12,0.18,7.88,0.98,0.48,0.0000,0.0009, 24160,0.74,0.44,99,49,8442.89,3411.64,2598.66,4.95,123.74,0.32,8.12,0.03,1.62,0.02,1.22,0.01,1.47,0.99,0.37,0.0000,0.0009, 22080,0.19,0.01,93,46,1696.96,1049.01,2598.66,3.24,80.88,0.07,1.63,5.89,76.55,0.03,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.29,0.16,69.89,0.00,100.00,0.00,0.00,0.00,0.00,77.07,52.02,4.47 ,4.30 ,0.33 ,0.33 ,3.00,3.00,0.51,2.96,0.17,1.24,0.00,0.57,0.99,0.39,0.0000,0.0004,  9800,13.89,86.11,0.00,0.00,0.00,46,1320.50,446.02,2598.66,5.92,148.03,1.02,25.41,
2024-03-05,08:57:10.132,0.16,2.38,0.07,1.12,0.24,7.49,0.97,0.50,0.0000,0.0009, 24440,0.76,0.46,97,48,8377.53,3521.87,2595.68,4.76,118.94,0.32,8.07,0.03,1.34,0.02,1.19,0.09,2.11,0.96,0.42,0.0001,0.0012, 24960,0.25,0.05,85,46,1700.03,1271.42,2595.68,2.67,66.86,0.07,1.64,6.08,77.37,0.10,16.45,0.00,100.00,0.00,0.00,0.00,0.00,2.05,31.73,0.25,65.97,0.00,100.00,0.00,0.00,0.00,0.00,76.96,53.16,4.46 ,4.36 ,0.33 ,0.33 ,3.00,3.00,0.49,2.89,0.17,1.22,0.01,0.58,0.99,0.39,0.0000,0.0005,  1000,13.87,86.13,0.00,0.00,0.00,46,1271.61,440.19,2595.68,5.78,144.44,0.98,24.49,
2024-03-05,08:57:11.133,0.16,2.45,0.07,1.12,0.20,7.85,0.97,0.48,0.0000,0.0009, 22960,0.75,0.45,99,46,8465.65,3451.86,2599.09,4.90,122.62,0.33,8.14,0.03,1.63,0.02,1.22,0.02,1.41,0.98,0.36,0.0000,0.0008, 24600,0.21,0.01,92,46,1687.42,1036.60,2599.09,3.26,81.39,0.06,1.62,5.95,76.65,0.03,17.36,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.54,0.16,69.66,0.00,100.00,0.00,0.00,0.00,0.00,77.16,52.09,4.48 ,4.32 ,0.33 ,0.33 ,3.00,3.00,0.51,2.95,0.17,1.23,0.01,0.59,0.98,0.39,0.0000,0.0004,  5360,13.90,86.10,0.00,0.00,0.00,45,1315.43,445.20,2599.09,5.91,147.73,1.01,25.31,
2024-03-05,08:57:12.132,0.16,2.56,0.06,1.12,0.16,7.62,0.98,0.48,0.0000,0.0009, 23760,0.74,0.44,99,48,8378.54,3274.83,2595.67,5.12,127.92,0.32,8.07,0.03,1.67,0.02,1.22,0.01,1.33,0.99,0.37,0.0000,0.0008, 23480,0.20,0.01,93,46,1682.83,1010.17,2595.67,3.33,83.29,0.06,1.62,5.66,77.11,0.02,17.21,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.79,0.17,69.44,0.00,100.00,0.00,0.00,0.00,0.00,77.14,52.11,4.49 ,4.31 ,508571.47 ,559894.26 ,3.00,3.00,0.51,2.94,0.17,1.23,0.01,0.55,0.99,0.40,0.0000,0.0004,  6560,14.03,85.97,0.00,0.00,0.00,46,1316.54,447.19,2595.67,5.89,147.20,1.01,25.36,
2024-03-05,08:57:13.133,0.16,2.48,0.07,1.12,0.17,7.78,0.98,0.48,0.0000,0.0009, 23960,0.75,0.44,99,46,8457.60,3411.64,2598.16,4.96,123.95,0.33,8.14,0.03,1.55,0.02,1.21,0.02,1.32,0.99,0.37,0.0000,0.0008, 23680,0.20,0.01,93,47,1677.31,1084.64,2598.16,3.09,77.32,0.06,1.61,5.89,76.71,0.01,17.39,0.00,100.00,0.00,0.00,0.00,0.00,1.73,29.85,0.15,68.27,0.00,100.00,0.00,0.00,0.00,0.00,77.26,52.52,4.47 ,4.32 ,0.33 ,0.00 ,3.00,3.00,0.50,3.00,0.17,1.23,0.01,0.53,0.99,0.41,0.0000,0.0004,  6520,13.64,86.36,0.00,0.00,0.00,47,1301.97,434.65,2598.16,5.99,149.77,1.00,25.05,
2024-03-05,08:57:14.133,0.16,2.52,0.07,1.12,0.17,7.95,0.98,0.47,0.0000,0.0009, 24120,0.75,0.44,99,47,8537.96,3390.02,2598.63,5.04,125.93,0.33,8.21,0.03,1.61,0.02,1.22,0.01,1.44,0.99,0.36,0.0000,0.0008, 23680,0.19,0.01,92,46,1698.88,1054.43,2598.63,3.22,80.56,0.07,1.63,5.85,76.66,0.02,17.47,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.24,0.16,69.93,0.00,100.00,0.00,0.00,0.00,0.00,77.21,52.14,4.47 ,4.32 ,0.33 ,0.33 ,3.00,3.00,0.51,2.93,0.17,1.23,0.00,0.57,0.99,0.40,0.0000,0.0004,  6160,14.03,85.97,0.00,0.00,0.00,46,1320.00,449.96,2598.63,5.87,146.68,1.02,25.40,
2024-03-05,08:57:15.133,0.16,2.50,0.06,1.12,0.17,7.88,0.98,0.48,0.0000,0.0009, 23800,0.74,0.44,99,46,8401.84,3364.51,2596.07,4.99,124.86,0.32,8.09,0.03,1.68,0.02,1.22,0.01,1.48,1.00,0.36,0.0000,0.0009, 23440,0.19,0.01,93,45,1712.32,1020.73,2596.07,3.36,83.88,0.07,1.65,5.81,76.58,0.01,17.60,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.35,0.14,69.91,0.00,100.00,0.00,0.00,0.00,0.00,77.19,52.16,4.48 ,4.31 ,0.00 ,0.07 ,3.00,3.00,0.52,2.97,0.17,1.23,0.00,0.55,1.00,0.40,0.0000,0.0004,  5920,14.07,85.93,0.00,0.00,0.00,45,1341.02,451.10,2596.07,5.95,148.64,1.03,25.83,
