input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_drop,router_drop,ndpi_stat_drop,payload_scan_drop,bridge_drop,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
8288019.156028,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465784762.0,960981883.0,708344483.0,904633877.0,920513667.0
7409870.3773048995,0.0,15000000.0,5181371.0,0.0,0.0,0.0,0.0,44928.0,0.0,0.0,0.0,0.0,1191717035.0,2823102173.0,2768249520.0,2758109074.0,2791661049.0
8316706.3183928,5769982.5974763,15000000.0,7190975.0,5181007.0,5181167.0,5181231.0,5181327.0,39039.0,0.0,0.0,0.0,0.0,1348597936.0,2889606127.0,2872558755.0,2877386771.0,2886730729.0
8320500.4044936,7178200.0613473,15000000.0,8320765.0,7191005.0,7191165.0,7191197.0,7191197.0,0.0,0.0,0.0,0.0,0.0,2623299579.0,2890498346.0,2885212455.0,2888709093.0,2890516712.0
8315254.6140486,8320140.6935605,18064.0,8314167.0,8321917.0,8321917.0,8321949.0,8321981.0,0.0,0.0,0.0,0.0,0.0,2891390166.0,2892063853.0,2891276603.0,2891621940.0,2892351180.0
8322335.9211686,8317098.9070492,15000000.0,8327284.0,8314306.0,8314358.0,8314343.0,8314320.0,0.0,0.0,0.0,0.0,0.0,2891599993.0,2891391362.0,2890167375.0,2891705504.0,2891440206.0
8056180.964599401,8317908.7116853995,14163.0,8330463.0,8327431.0,8327447.0,8327431.0,8327445.0,0.0,0.0,0.0,0.0,0.0,2891658376.0,2891841074.0,2889978788.0,2891256912.0,2891500000.0
6741183.3174381,8321399.913656799,277369.0,8136708.0,8330492.0,8330552.0,8330585.0,8330626.0,0.0,0.0,0.0,0.0,0.0,2891680860.0,2891576704.0,2890990675.0,2891663264.0,2891815312.0
6753379.9674057,8019093.4956127,17651.0,6549903.0,8137060.0,8137000.0,8137030.0,8137030.0,195214.0,0.0,0.0,0.0,0.0,2891651229.0,2890955074.0,2890296245.0,2889435791.0,2891465825.0
6764824.3574253,6547231.292531,71190.0,6755051.0,6550082.0,6550035.0,6550015.0,6549964.0,0.0,0.0,0.0,0.0,0.0,2891364443.0,2891182806.0,2593670693.0,2891870689.0,2891307503.0
6767375.8527981,6753740.0217117,13040.0,6768700.0,6755196.0,6755172.0,6756360.0,6756396.0,0.0,0.0,0.0,0.0,0.0,2891764589.0,2663739460.0,2890471846.0,2721774294.0,2891756635.0
6611186.0168406,6763867.2313156,3491635.0,6767656.0,6768772.0,6767576.0,6767565.0,6767568.0,0.0,0.0,0.0,0.0,0.0,2891900891.0,2891989083.0,2891166767.0,2891544196.0,2557710875.0
6762976.135381401,6768037.3264892,11427.0,6617229.0,6767721.0,6767753.0,6767775.0,6767741.0,0.0,0.0,0.0,0.0,0.0,2889907262.0,2892932336.0,2891032315.0,2891489278.0,2891545162.0
6751843.6946564,6603203.250303,52412.0,6758636.0,6617350.0,6617367.0,6617394.0,6617423.0,0.0,0.0,0.0,0.0,0.0,2892157554.0,2896626300.0,2886918880.0,2889673657.0,2891021857.0
6768533.1503077,6766732.449552599,8416.0,6753308.0,6758715.0,6758710.0,6758697.0,6758704.0,0.0,0.0,0.0,0.0,0.0,2891866384.0,2891998031.0,2890834236.0,2892185453.0,2892143916.0
6769519.42663,6752280.3885366,54432.0,6770258.0,6753384.0,6753365.0,6753361.0,6753390.0,0.0,0.0,0.0,0.0,0.0,2891992645.0,2892114549.0,2891490401.0,2891873698.0,2891932314.0
6712535.3733721,6767809.753780399,8774.0,6771853.0,6770337.0,6770351.0,6770314.0,6770363.0,0.0,0.0,0.0,0.0,0.0,2891796029.0,2891699905.0,2891011581.0,2891865048.0,2891918639.0
6424336.8458112,6770510.784472301,55811.0,6730952.0,6771883.0,6771890.0,6771855.0,6771856.0,0.0,0.0,0.0,0.0,0.0,2891795126.0,2890993545.0,2890283618.0,2891236555.0,2891633917.0
6431758.465985,6704591.3693704,13728.0,6426927.0,6731033.0,6731103.0,6731096.0,6731112.0,0.0,0.0,0.0,0.0,0.0,2891967348.0,2891899308.0,2891109920.0,2891507030.0,2891765041.0
6430338.2992037,6423572.7996111,25994.0,6434467.0,6426850.0,6426864.0,6426853.0,6426867.0,0.0,0.0,0.0,0.0,0.0,2891919516.0,2891933524.0,2891155519.0,2747435399.0,2891696493.0
6431659.1436394,6432097.7270701,8842.0,6431633.0,6434526.0,6434611.0,6434601.0,6434073.0,0.0,0.0,0.0,0.0,0.0,2891777455.0,2891971132.0,2891249718.0,2891947919.0,2720765063.0
6416226.0912197,6430004.8253725,39788.0,6433449.0,6431629.0,6431621.0,6431657.0,6431658.0,0.0,0.0,0.0,0.0,0.0,2586046819.0,2891659261.0,2891381938.0,2891778598.0,2891896444.0
