System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core5 (Socket 0)-EXEC,Core5 (Socket 0)-IPC,Core5 (Socket 0)-FREQ,Core5 (Socket 0)-AFREQ,Core5 (Socket 0)-L3MISS,Core5 (Socket 0)-L2MISS,Core5 (Socket 0)-L3HIT,Core5 (Socket 0)-L2HIT,Core5 (Socket 0)-L3MPI,Core5 (Socket 0)-L2MPI,Core5 (Socket 0)-L3OCC,Core5 (Socket 0)-C0res%,Core5 (Socket 0)-C1res%,Core5 (Socket 0)-C3res%,Core5 (Socket 0)-C6res%,Core5 (Socket 0)-C7res%,Core5 (Socket 0)-TEMP,Core5 (Socket 0)-INST,Core5 (Socket 0)-ACYC,Core5 (Socket 0)-TIME(ticks),Core5 (Socket 0)-PhysIPC,Core5 (Socket 0)-PhysIPC%,Core5 (Socket 0)-INSTnom,Core5 (Socket 0)-INSTnom%,-
2024-02-26,13:36:07.964,0.29,3.02,0.09,1.12,0.06,14.05,1.00,0.55,0.0000,0.0009, 10920,0.17,0.26,99,48,14850.18,4911.61,2598.87,6.05,151.17,0.57,14.28,0.04,1.23,0.03,1.21,0.08,3.28,0.97,0.82,0.0000,0.0018, 22720,0.25,0.01,97,47,1826.74,1481.95,2598.87,2.47,61.63,0.07,1.76,8.47,73.42,0.02,18.09,0.00,100.00,0.00,0.00,0.00,0.00,2.35,28.55,0.14,68.96,0.00,100.00,0.00,0.00,0.00,0.00,79.34,51.96,4.18 ,4.41 ,1827026.13 ,1851771.47 ,3.00,3.00,0.78,3.42,0.23,1.12,0.01,1.64,1.00,0.10,0.0000,0.0008,   360,20.60,79.40,0.00,0.00,0.00,52,2039.88,597.18,2598.87,6.83,170.79,1.57,39.24,
2024-02-26,13:36:08.964,0.15,2.31,0.07,1.12,0.09,23.56,1.00,0.38,0.0000,0.0030, 13560,0.56,0.87,98,47,7807.19,3384.36,2597.65,4.61,115.34,0.30,7.51,0.03,1.44,0.02,1.20,0.08,3.52,0.98,0.43,0.0001,0.0022, 23360,0.88,0.04,96,47,1580.06,1099.38,2597.65,2.87,71.86,0.06,1.52,5.84,77.21,0.10,16.85,0.00,100.00,0.00,0.00,0.00,0.00,1.76,30.79,0.26,67.20,0.00,100.00,0.00,0.00,0.00,0.00,78.59,52.82,4.60 ,4.57 ,0.33 ,0.33 ,3.00,3.00,0.42,2.77,0.15,1.12,0.00,2.80,1.00,0.09,0.0000,0.0026,  1040,13.64,86.36,0.00,0.00,0.00,52,1096.11,395.31,2597.65,5.55,138.64,0.84,21.10,
2024-02-26,13:36:09.964,0.15,2.40,0.06,1.12,0.03,26.75,1.00,0.36,0.0000,0.0034, 13480,0.47,0.77,99,47,7939.97,3311.52,2597.30,4.80,119.88,0.31,7.64,0.03,1.55,0.02,1.22,0.01,3.15,1.00,0.40,0.0000,0.0020, 23280,0.79,0.01,98,46,1551.26,1000.74,2597.30,3.10,77.51,0.06,1.49,5.72,76.64,0.01,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.31,0.13,69.99,0.00,100.00,0.00,0.00,0.00,0.00,78.42,52.01,4.57 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.43,2.75,0.16,1.12,0.00,3.29,1.00,0.09,0.0000,0.0030,  1040,13.93,86.07,0.00,0.00,0.00,52,1108.62,403.52,2597.30,5.49,137.37,0.85,21.34,
2024-02-26,13:36:10.965,0.15,2.32,0.06,1.12,0.03,27.26,1.00,0.35,0.0000,0.0035, 14160,0.45,0.74,99,47,7747.92,3346.53,2599.55,4.63,115.76,0.30,7.45,0.03,1.48,0.02,1.22,0.03,3.13,0.99,0.41,0.0000,0.0020, 23760,0.80,0.01,98,46,1535.27,1036.13,2599.55,2.96,74.09,0.06,1.48,5.77,76.54,0.01,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.25,0.15,69.97,0.00,100.00,0.00,0.00,0.00,0.00,78.48,52.12,4.52 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.41,2.66,0.16,1.12,0.00,3.38,1.00,0.09,0.0000,0.0031,  1160,13.96,86.04,0.00,0.00,0.00,51,1075.59,404.64,2599.55,5.32,132.91,0.83,20.69,
2024-02-26,13:36:11.965,0.15,2.35,0.06,1.12,0.05,27.81,1.00,0.35,0.0000,0.0036, 14800,0.43,0.72,99,47,7748.51,3303.16,2597.14,4.69,117.29,0.30,7.46,0.03,1.57,0.02,1.22,0.01,3.13,1.00,0.40,0.0000,0.0020, 23080,0.79,0.01,98,45,1564.80,998.37,2597.14,3.13,78.37,0.06,1.51,5.70,76.75,0.08,17.46,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.26,0.21,69.96,0.00,100.00,0.00,0.00,0.00,0.00,78.47,52.07,4.52 ,4.53 ,475675.18 ,475648.18 ,3.00,3.00,0.41,2.67,0.15,1.12,0.00,3.46,1.00,0.09,0.0000,0.0032,  1400,13.84,86.16,0.00,0.00,0.00,51,1069.00,400.95,2597.14,5.33,133.31,0.82,20.58,
2024-02-26,13:36:12.965,0.14,2.26,0.06,1.12,0.05,27.38,1.00,0.35,0.0000,0.0036, 14360,0.41,0.70,99,46,7515.16,3319.92,2597.08,4.53,113.18,0.29,7.23,0.03,1.50,0.02,1.22,0.02,3.11,0.99,0.40,0.0000,0.0020, 23360,0.78,0.01,98,46,1532.78,1020.81,2597.08,3.00,75.08,0.06,1.48,5.73,77.19,0.02,17.06,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.65,0.15,69.59,0.00,100.00,0.00,0.00,0.00,0.00,78.65,52.16,4.49 ,4.52 ,0.33 ,0.03 ,3.00,3.00,0.40,2.61,0.15,1.12,0.00,3.42,1.00,0.09,0.0000,0.0033,  1520,13.67,86.33,0.00,0.00,0.00,50,1032.20,396.00,2597.08,5.21,130.33,0.79,19.87,
2024-02-26,13:36:13.965,0.15,2.30,0.06,1.12,0.04,28.26,1.00,0.35,0.0000,0.0037, 14960,0.40,0.70,99,46,7700.14,3347.92,2597.19,4.60,115.00,0.30,7.41,0.03,1.49,0.02,1.22,0.02,3.11,0.99,0.41,0.0000,0.0020, 23080,0.78,0.01,98,46,1532.58,1026.65,2597.19,2.99,74.64,0.06,1.48,5.78,77.06,0.03,17.13,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.57,0.14,69.66,0.00,100.00,0.00,0.00,0.00,0.00,78.68,52.15,4.49 ,4.52 ,0.33 ,0.27 ,3.00,3.00,0.41,2.62,0.16,1.12,0.00,3.55,1.00,0.09,0.0000,0.0033,  1360,13.96,86.04,0.00,0.00,0.00,50,1060.13,404.51,2597.19,5.24,131.04,0.82,20.41,
2024-02-26,13:36:14.965,0.15,2.29,0.06,1.12,0.04,28.37,1.00,0.34,0.0000,0.0037, 14720,0.40,0.69,99,46,7627.19,3331.85,2597.00,4.58,114.46,0.29,7.34,0.03,1.52,0.02,1.22,0.02,3.29,0.99,0.40,0.0000,0.0021, 23800,0.79,0.01,98,44,1572.52,1031.20,2597.00,3.05,76.25,0.06,1.51,5.75,76.58,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.19,0.15,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.59,52.14,4.49 ,4.53 ,0.00 ,0.07 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,3.57,1.00,0.09,0.0000,0.0034,  1200,13.98,86.02,0.00,0.00,0.00,50,1051.96,404.83,2597.00,5.20,129.93,0.81,20.25,
2024-02-26,13:36:15.965,0.14,2.26,0.06,1.12,0.05,27.81,1.00,0.35,0.0000,0.0037, 14800,0.39,0.69,99,46,7436.10,3293.83,2597.04,4.52,112.88,0.29,7.16,0.03,1.51,0.02,1.22,0.01,3.08,1.00,0.41,0.0000,0.0020, 23720,0.77,0.01,98,45,1551.72,1028.47,2597.04,3.02,75.44,0.06,1.49,5.69,76.76,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.25,0.13,69.99,0.00,100.00,0.00,0.00,0.00,0.00,78.55,52.16,4.48 ,4.51 ,0.23 ,0.30 ,3.00,3.00,0.39,2.57,0.15,1.12,0.00,3.51,1.00,0.09,0.0000,0.0035,  1160,13.61,86.39,0.00,0.00,0.00,50,1015.06,394.26,2597.04,5.15,128.73,0.78,19.54,
2024-02-26,13:36:16.965,0.15,2.31,0.06,1.12,0.05,28.97,1.00,0.34,0.0000,0.0038, 14680,0.39,0.68,99,46,7660.67,3318.06,2596.86,4.62,115.44,0.29,7.37,0.03,1.54,0.02,1.22,0.03,3.15,0.99,0.41,0.0000,0.0020, 23560,0.77,0.01,98,46,1561.30,1012.46,2596.86,3.08,77.10,0.06,1.50,5.73,76.67,0.01,17.59,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.26,0.13,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.69,52.24,4.49 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.40,2.60,0.16,1.12,0.00,3.66,1.00,0.09,0.0000,0.0035,  1240,13.91,86.09,0.00,0.00,0.00,50,1048.94,403.04,2596.86,5.21,130.13,0.81,20.20,
