System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core7 (Socket 0)-EXEC,Core7 (Socket 0)-IPC,Core7 (Socket 0)-FREQ,Core7 (Socket 0)-AFREQ,Core7 (Socket 0)-L3MISS,Core7 (Socket 0)-L2MISS,Core7 (Socket 0)-L3HIT,Core7 (Socket 0)-L2HIT,Core7 (Socket 0)-L3MPI,Core7 (Socket 0)-L2MPI,Core7 (Socket 0)-L3OCC,Core7 (Socket 0)-C0res%,Core7 (Socket 0)-C1res%,Core7 (Socket 0)-C3res%,Core7 (Socket 0)-C6res%,Core7 (Socket 0)-C7res%,Core7 (Socket 0)-TEMP,Core7 (Socket 0)-INST,Core7 (Socket 0)-ACYC,Core7 (Socket 0)-TIME(ticks),Core7 (Socket 0)-PhysIPC,Core7 (Socket 0)-PhysIPC%,Core7 (Socket 0)-INSTnom,Core7 (Socket 0)-INSTnom%,-
2024-02-26,13:36:08.344,0.20,2.73,0.07,1.12,0.08,18.01,1.00,0.46,0.0000,0.0017, 12160,0.41,0.60,97,48,10498.09,3840.32,2598.86,5.47,136.68,0.40,10.10,0.03,1.40,0.02,1.21,0.10,3.46,0.97,0.67,0.0001,0.0021, 24040,0.62,0.04,95,46,1632.01,1165.73,2598.86,2.80,70.00,0.06,1.57,6.62,76.67,0.10,16.61,0.00,100.00,0.00,0.00,0.00,0.00,1.85,31.28,0.26,66.62,0.00,100.00,0.00,0.00,0.00,0.00,79.18,52.78,4.40 ,4.52 ,827854.21 ,833040.86 ,3.00,3.00,0.56,3.21,0.18,1.12,0.00,1.64,1.00,0.11,0.0000,0.0011,     0,15.72,84.28,0.00,0.00,0.00,52,1464.02,455.89,2598.86,6.42,160.57,1.13,28.16,
2024-02-26,13:36:09.344,0.15,2.36,0.06,1.12,0.04,25.88,1.00,0.37,0.0000,0.0033, 13400,0.50,0.81,99,47,7913.79,3356.82,2597.67,4.72,117.88,0.30,7.62,0.03,1.46,0.02,1.22,0.01,3.01,1.00,0.40,0.0000,0.0020, 22840,0.81,0.01,98,46,1539.14,1056.06,2597.67,2.91,72.87,0.06,1.48,5.79,76.48,0.02,17.71,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.17,0.13,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.46,52.05,4.58 ,4.54 ,0.00 ,0.03 ,3.00,3.00,0.42,2.69,0.16,1.12,0.00,2.52,1.00,0.12,0.0000,0.0023,    40,13.95,86.05,0.00,0.00,0.00,52,1088.06,404.20,2597.67,5.38,134.60,0.84,20.94,
2024-02-26,13:36:10.344,0.15,2.37,0.06,1.12,0.06,27.02,1.00,0.36,0.0000,0.0034, 13440,0.46,0.75,99,47,7877.62,3318.65,2597.09,4.75,118.69,0.30,7.58,0.03,1.51,0.02,1.22,0.02,3.26,0.99,0.40,0.0000,0.0021, 24000,0.79,0.01,98,46,1537.01,1017.86,2597.09,3.02,75.50,0.06,1.48,5.73,76.64,0.01,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.35,0.13,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.41,52.04,4.54 ,4.53 ,0.00 ,0.03 ,3.00,3.00,0.41,2.66,0.16,1.12,0.00,2.67,1.00,0.13,0.0000,0.0025,    80,13.96,86.04,0.00,0.00,0.00,52,1076.61,404.43,2597.09,5.32,133.10,0.83,20.73,
2024-02-26,13:36:11.344,0.15,2.30,0.07,1.12,0.06,27.41,1.00,0.35,0.0000,0.0035, 13800,0.44,0.73,99,47,7804.79,3397.39,2597.02,4.59,114.86,0.30,7.51,0.03,1.53,0.02,1.22,0.02,3.13,0.99,0.40,0.0000,0.0020, 23880,0.79,0.01,98,46,1545.20,1010.77,2597.02,3.06,76.44,0.06,1.49,5.86,76.52,0.06,17.55,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.28,0.20,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.43,52.06,4.53 ,4.52 ,0.00 ,0.20 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,2.73,1.00,0.13,0.0000,0.0026,    40,14.11,85.89,0.00,0.00,0.00,50,1062.05,408.78,2597.02,5.20,129.90,0.82,20.45,
2024-02-26,13:36:12.344,0.15,2.35,0.06,1.12,0.03,28.42,1.00,0.34,0.0000,0.0036, 14200,0.42,0.71,99,47,7842.28,3335.18,2597.16,4.70,117.57,0.30,7.55,0.03,1.53,0.02,1.22,0.03,3.20,0.99,0.41,0.0000,0.0020, 23880,0.78,0.01,98,46,1582.90,1034.25,2597.16,3.06,76.52,0.06,1.52,5.76,76.69,0.03,17.52,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.29,0.16,69.92,0.00,100.00,0.00,0.00,0.00,0.00,78.49,52.10,4.50 ,4.52 ,0.00 ,0.03 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,2.87,1.00,0.13,0.0000,0.0027,    80,14.13,85.87,0.00,0.00,0.00,51,1064.53,409.44,2597.16,5.20,130.00,0.82,20.50,
2024-02-26,13:36:13.344,0.14,2.26,0.06,1.12,0.03,27.51,1.00,0.34,0.0000,0.0037, 14200,0.41,0.70,99,46,7519.13,3320.99,2597.07,4.53,113.21,0.29,7.24,0.03,1.52,0.02,1.22,0.02,3.07,0.99,0.41,0.0000,0.0021, 22880,0.78,0.01,98,46,1498.62,985.85,2597.07,3.04,76.01,0.06,1.44,5.73,77.57,0.03,16.67,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.96,0.16,69.32,0.00,100.00,0.00,0.00,0.00,0.00,78.79,52.17,4.49 ,4.53 ,0.33 ,0.03 ,3.00,3.00,0.39,2.54,0.15,1.12,0.00,2.79,1.00,0.13,0.0000,0.0028,    80,13.72,86.28,0.00,0.00,0.00,51,1007.87,397.35,2597.07,5.07,126.82,0.78,19.40,
2024-02-26,13:36:14.344,0.15,2.27,0.07,1.12,0.04,28.23,1.00,0.35,0.0000,0.0036, 14960,0.40,0.70,99,46,7743.98,3418.51,2597.15,4.53,113.27,0.30,7.45,0.03,1.43,0.02,1.21,0.02,3.24,0.99,0.40,0.0000,0.0021, 24320,0.79,0.01,98,45,1541.60,1078.41,2597.15,2.86,71.48,0.06,1.48,5.90,76.49,0.01,17.60,0.00,100.00,0.00,0.00,0.00,0.00,1.71,28.14,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.55,52.14,4.49 ,4.52 ,0.00 ,0.03 ,3.00,3.00,0.40,2.53,0.16,1.12,0.00,2.87,1.00,0.13,0.0000,0.0028,    40,14.17,85.83,0.00,0.00,0.00,51,1039.07,410.43,2597.15,5.06,126.58,0.80,20.00,
2024-02-26,13:36:15.344,0.15,2.33,0.06,1.12,0.04,28.86,1.00,0.34,0.0000,0.0037, 15200,0.39,0.69,99,46,7755.30,3325.60,2597.16,4.66,116.60,0.30,7.47,0.03,1.64,0.02,1.23,0.01,3.12,1.00,0.40,0.0000,0.0020, 23680,0.79,0.01,98,46,1564.22,956.50,2597.16,3.27,81.77,0.06,1.51,5.74,76.63,0.01,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.50,28.36,0.14,70.00,0.00,100.00,0.00,0.00,0.00,0.00,78.59,52.18,4.49 ,4.53 ,0.00 ,0.03 ,3.00,3.00,0.40,2.55,0.16,1.12,0.00,2.95,1.00,0.13,0.0000,0.0028,   200,14.07,85.93,0.00,0.00,0.00,50,1039.92,407.46,2597.16,5.10,127.61,0.80,20.02,
2024-02-26,13:36:16.344,0.15,2.26,0.06,1.12,0.03,28.20,1.00,0.34,0.0000,0.0037, 15440,0.39,0.68,99,46,7567.49,3346.71,2596.94,4.52,113.06,0.29,7.29,0.03,1.45,0.02,1.21,0.02,3.04,0.99,0.43,0.0000,0.0020, 24480,0.77,0.01,98,45,1546.32,1063.54,2596.94,2.91,72.70,0.06,1.49,5.78,76.65,0.01,17.56,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.17,0.13,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.65,52.22,4.49 ,4.52 ,0.00 ,46550.40 ,3.00,3.00,0.39,2.51,0.16,1.12,0.00,2.88,1.00,0.13,0.0000,0.0028,   200,13.93,86.07,0.00,0.00,0.00,49,1014.37,403.45,2596.94,5.03,125.71,0.78,19.53,
2024-02-26,13:36:17.344,0.15,2.31,0.06,1.12,0.04,28.72,1.00,0.34,0.0000,0.0037, 14240,0.38,0.68,99,46,7663.47,3314.18,2597.04,4.62,115.62,0.30,7.38,0.03,1.53,0.02,1.22,0.01,3.17,1.00,0.40,0.0000,0.0021, 23560,0.76,0.01,98,45,1546.40,1013.54,2597.04,3.05,76.29,0.06,1.49,5.72,76.67,0.01,17.60,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.16,0.13,70.11,0.00,100.00,0.00,0.00,0.00,0.00,78.70,52.22,4.48 ,4.52 ,0.33 ,0.00 ,3.00,3.00,0.40,2.54,0.16,1.12,0.00,2.95,1.00,0.13,0.0000,0.0029,     0,13.95,86.05,0.00,0.00,0.00,50,1026.59,404.13,2597.04,5.08,127.01,0.79,19.76,
