,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-03-04,12:32:01.642,  141.48,  233.47,  501.44,  414.70,,,,,  642.93,  648.17,1984791361, 1291.10,  251.93,    6.04,  254.53,    9.16,,,,,  506.46,   15.20,1985125490,  521.66,   1149.39,    663.37,   1812.76
2024-03-04,12:32:02.642,  146.95,  243.77,  522.41,  433.64,,,,,  669.36,  677.41,2133902912, 1346.78,  254.28,    2.94,  258.01,    6.29,,,,,  512.29,    9.23,2134277293,  521.52,   1181.65,    686.65,   1868.30
2024-03-04,12:32:03.642,  148.55,  248.11,  527.34,  439.12,,,,,  675.89,  687.23,2133567061, 1363.12,  257.75,    7.54,  261.96,   10.85,,,,,  519.71,   18.40,2133160674,  538.10,   1195.60,    705.62,   1901.22
2024-03-04,12:32:04.642,  142.18,  254.83,  497.68,  436.21,,,,,  639.87,  691.04,2133379993, 1330.90,  283.90,    9.66,  287.70,   12.97,,,,,  571.60,   22.63,2133243461,  594.24,   1211.47,    713.67,   1925.14
2024-03-04,12:32:05.642,  122.92,  222.58,  440.05,  387.41,,,,,  562.97,  609.99,2133084241, 1172.96,  260.59,    3.34,  265.49,    6.64,,,,,  526.07,    9.98,2132981492,  536.05,   1089.04,    619.97,   1709.01
2024-03-04,12:32:06.642,  122.37,  220.71,  439.09,  384.97,,,,,  561.46,  605.68,2133158501, 1167.14,  257.96,    3.56,  262.39,    6.87,,,,,  520.35,   10.43,2133170108,  530.78,   1081.81,    616.11,   1697.92
2024-03-04,12:32:07.642,  121.16,  218.50,  433.93,  381.23,,,,,  555.09,  599.73,2132939903, 1154.82,  256.14,    3.86,  260.42,    7.17,,,,,  516.57,   11.02,2133020292,  527.59,   1071.66,    610.75,   1682.41
2024-03-04,12:32:08.642,  121.16,  217.67,  434.75,  380.38,,,,,  555.92,  598.04,2133012396, 1153.96,  246.62,    2.15,  252.30,    5.48,,,,,  498.92,    7.64,2133136035,  506.56,   1054.84,    605.68,   1660.52
2024-03-04,12:32:09.643,  122.35,  218.95,  437.52,  382.01,,,,,  559.87,  600.96,2133159798, 1160.83,  240.48,    1.97,  246.83,    5.27,,,,,  487.31,    7.24,2133144523,  494.55,   1047.18,    608.20,   1655.38
2024-03-04,12:32:10.642,  115.90,  214.04,  416.35,  371.05,,,,,  532.25,  585.09,2132761467, 1117.34,  241.84,    2.61,  247.39,    5.97,,,,,  489.22,    8.57,2132683780,  497.80,   1021.48,    593.66,   1615.14
2024-03-04,12:32:11.644,  115.17,  212.30,  414.28,  368.44,,,,,  529.45,  580.74,2134775916, 1110.18,  246.30,    2.88,  250.87,    6.20,,,,,  497.16,    9.09,2134829567,  506.25,   1026.61,    589.82,   1616.43
2024-03-04,12:32:12.644,  115.33,  212.78,  414.65,  368.99,,,,,  529.99,  581.77,2133011107, 1111.76,  253.14,    4.24,  258.08,    7.57,,,,,  511.22,   11.80,2132927199,  523.02,   1041.21,    593.58,   1634.78
