System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-04,12:32:00.916,0.33,3.07,0.11,1.12,0.10,9.32,0.99,0.65,0.0000,0.0005, 11920,0.14,0.14,99,48,17031.57,5552.05,2599.87,6.14,153.38,0.66,16.38,0.04,1.18,0.03,1.21,0.07,3.03,0.98,0.85,0.0000,0.0015, 22360,0.11,0.00,97,48,2035.68,1726.64,2599.87,2.36,58.95,0.08,1.96,9.57,73.03,0.05,17.35,0.00,100.00,0.00,0.00,0.00,0.00,2.74,28.27,0.17,68.81,0.00,100.00,0.00,0.00,0.00,0.00,79.38,51.98,4.13 ,4.35 ,825820.28 ,832339.39 ,3.00,3.00,0.92,3.58,0.26,1.12,0.01,1.07,0.99,0.12,0.0000,0.0004,   600,22.99,77.01,0.00,0.00,0.00,53,2385.85,666.63,2599.87,7.16,178.95,1.84,45.88,
2024-03-04,12:32:01.917,0.16,2.43,0.06,1.12,0.06,18.27,1.00,0.39,0.0000,0.0023, 14400,0.68,0.69,99,48,8082.99,3328.51,2598.62,4.86,121.42,0.31,7.78,0.03,1.57,0.02,1.22,0.03,2.34,0.99,0.39,0.0000,0.0015, 22840,0.53,0.01,97,48,1611.43,1027.32,2598.62,3.14,78.43,0.06,1.55,5.74,76.93,0.00,17.32,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.41,0.14,69.83,0.00,100.00,0.00,0.00,0.00,0.00,77.64,51.95,4.58 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.45,2.89,0.16,1.12,0.00,2.24,1.00,0.11,0.0000,0.0019,   760,13.93,86.07,0.00,0.00,0.00,53,1165.89,403.64,2598.62,5.78,144.42,0.90,22.43,
2024-03-04,12:32:02.916,0.15,2.32,0.07,1.12,0.06,18.05,1.00,0.39,0.0000,0.0023, 14840,0.67,0.67,99,48,7960.53,3433.05,2595.47,4.64,115.94,0.31,7.67,0.03,1.57,0.02,1.22,0.01,2.27,1.00,0.40,0.0000,0.0014, 23000,0.51,0.01,96,48,1622.57,1035.72,2595.47,3.13,78.33,0.06,1.56,5.93,76.77,0.01,17.28,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.39,0.13,69.85,0.00,100.00,0.00,0.00,0.00,0.00,77.56,51.88,4.54 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.44,2.84,0.16,1.12,0.00,2.23,1.00,0.11,0.0000,0.0019,  1240,14.00,86.00,0.00,0.00,0.00,52,1151.55,405.23,2595.47,5.68,142.09,0.89,22.18,
2024-03-04,12:32:03.926,0.15,2.10,0.07,1.12,0.17,16.96,0.99,0.41,0.0000,0.0022, 16120,0.70,0.72,97,48,7591.69,3613.86,2599.45,4.20,105.04,0.29,7.30,0.03,1.08,0.03,1.18,0.09,2.85,0.97,0.39,0.0001,0.0019, 24920,0.55,0.03,92,49,1493.00,1380.32,2599.45,2.16,54.08,0.06,1.44,6.23,77.78,0.02,15.96,0.00,100.00,0.00,0.00,0.00,0.00,2.25,33.71,0.25,63.79,0.00,100.00,0.00,0.00,0.00,0.00,77.47,53.39,4.56 ,4.43 ,0.33 ,0.33 ,3.00,3.00,0.44,2.88,0.15,1.12,0.00,1.99,1.00,0.11,0.0000,0.0018,   640,13.57,86.43,0.00,0.00,0.00,53,1132.38,393.37,2599.45,5.76,143.93,0.87,21.78,
2024-03-04,12:32:04.916,0.16,2.40,0.07,1.12,0.08,19.56,1.00,0.38,0.0000,0.0024, 16320,0.58,0.64,99,47,8204.44,3420.42,2594.59,4.80,119.93,0.32,7.91,0.03,1.45,0.02,1.21,0.03,2.47,0.99,0.38,0.0000,0.0016, 23040,0.55,0.02,96,47,1575.16,1082.59,2594.59,2.91,72.75,0.06,1.52,5.91,76.80,0.01,17.28,0.00,100.00,0.00,0.00,0.00,0.00,1.73,29.01,0.19,69.07,0.00,100.00,0.00,0.00,0.00,0.00,78.08,52.09,4.51 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.45,2.89,0.16,1.12,0.00,2.44,1.00,0.11,0.0000,0.0021,  1000,13.98,86.02,0.00,0.00,0.00,53,1170.45,404.50,2594.59,5.79,144.68,0.90,22.56,
2024-03-04,12:32:05.916,0.16,2.47,0.06,1.12,0.06,20.09,1.00,0.37,0.0000,0.0025, 16520,0.56,0.61,99,47,8198.10,3316.92,2597.78,4.94,123.58,0.32,7.89,0.03,1.62,0.02,1.22,0.02,2.36,0.99,0.40,0.0000,0.0015, 22880,0.52,0.01,97,46,1608.85,994.86,2597.78,3.23,80.86,0.06,1.55,5.72,77.16,0.01,17.11,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.70,0.14,69.60,0.00,100.00,0.00,0.00,0.00,0.00,78.26,52.02,4.50 ,4.40 ,483814.28 ,483871.53 ,3.00,3.00,0.45,2.88,0.16,1.12,0.00,2.54,1.00,0.11,0.0000,0.0022,  1160,14.01,85.99,0.00,0.00,0.00,52,1168.62,405.86,2597.78,5.76,143.97,0.90,22.49,
2024-03-04,12:32:06.917,0.16,2.40,0.06,1.12,0.07,19.61,1.00,0.38,0.0000,0.0024, 16760,0.56,0.60,99,48,8073.60,3363.88,2597.85,4.80,120.00,0.31,7.77,0.03,1.50,0.02,1.21,0.02,2.39,0.99,0.39,0.0000,0.0015, 23360,0.52,0.01,96,46,1592.65,1064.64,2597.85,2.99,74.80,0.06,1.53,5.80,77.28,0.01,16.91,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.68,0.13,69.50,0.00,100.00,0.00,0.00,0.00,0.00,78.33,51.98,4.48 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.44,2.87,0.15,1.12,0.00,2.47,1.00,0.11,0.0000,0.0021,  1240,13.81,86.19,0.00,0.00,0.00,52,1148.84,400.19,2597.85,5.74,143.54,0.88,22.11,
2024-03-04,12:32:07.917,0.15,2.43,0.06,1.12,0.05,19.53,1.00,0.38,0.0000,0.0024, 16720,0.55,0.60,99,46,7994.75,3288.25,2597.69,4.86,121.57,0.31,7.69,0.03,1.57,0.02,1.22,0.01,2.30,0.99,0.39,0.0000,0.0015, 23000,0.51,0.01,97,46,1578.78,1004.85,2597.69,3.14,78.56,0.06,1.52,5.67,76.90,0.02,17.41,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.31,0.13,69.98,0.00,100.00,0.00,0.00,0.00,0.00,78.23,51.96,4.49 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.44,2.84,0.15,1.12,0.00,2.47,1.00,0.11,0.0000,0.0022,  1360,13.75,86.25,0.00,0.00,0.00,51,1132.16,398.48,2597.69,5.68,142.06,0.87,21.79,
2024-03-04,12:32:08.917,0.16,2.36,0.07,1.12,0.08,19.64,1.00,0.37,0.0000,0.0024, 17360,0.58,0.61,99,48,8131.04,3448.06,2597.90,4.72,117.91,0.31,7.82,0.03,1.59,0.02,1.22,0.01,2.30,1.00,0.39,0.0000,0.0014, 23080,0.50,0.01,96,46,1617.06,1016.97,2597.90,3.18,79.50,0.06,1.56,5.95,76.64,0.01,17.41,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.31,0.13,69.96,0.00,100.00,0.00,0.00,0.00,0.00,78.06,52.08,4.49 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.45,2.90,0.16,1.12,0.00,2.47,1.00,0.11,0.0000,0.0021,   960,13.97,86.03,0.00,0.00,0.00,50,1172.40,404.86,2597.90,5.79,144.79,0.90,22.56,
