System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-04,12:32:01.496,0.17,2.60,0.07,1.12,0.06,15.27,1.00,0.43,0.0000,0.0017, 14000,0.53,0.54,99,49,9093.92,3503.86,2599.79,5.19,129.77,0.35,8.74,0.03,1.48,0.02,1.22,0.05,2.53,0.98,0.60,0.0000,0.0016, 22840,0.42,0.01,97,48,1569.18,1056.98,2599.79,2.97,74.23,0.06,1.51,6.04,76.86,0.05,17.05,0.00,100.00,0.00,0.00,0.00,0.00,1.67,29.22,0.17,68.94,0.00,100.00,0.00,0.00,0.00,0.00,78.04,52.06,4.51 ,4.41 ,745753.09 ,750717.33 ,3.00,3.00,0.50,3.00,0.17,1.12,0.00,1.51,1.00,0.14,0.0000,0.0012,    80,14.83,85.17,0.00,0.00,0.00,53,1289.95,430.17,2599.79,6.00,149.93,0.99,24.81,
2024-03-04,12:32:02.496,0.16,2.34,0.07,1.12,0.06,18.49,1.00,0.39,0.0000,0.0023, 14320,0.67,0.68,99,50,8131.69,3470.01,2596.05,4.69,117.17,0.31,7.83,0.03,1.50,0.02,1.22,0.01,2.28,1.00,0.39,0.0000,0.0014, 22800,0.51,0.01,96,48,1591.71,1062.07,2596.05,3.00,74.93,0.06,1.53,5.99,76.69,0.01,17.30,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.28,0.14,69.89,0.00,100.00,0.00,0.00,0.00,0.00,77.55,51.91,4.55 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.44,2.85,0.16,1.12,0.00,1.86,1.00,0.14,0.0000,0.0016,    40,13.98,86.02,0.00,0.00,0.00,53,1152.73,404.87,2596.05,5.69,142.36,0.89,22.20,
2024-03-04,12:32:03.496,0.15,2.41,0.06,1.12,0.06,18.05,1.00,0.38,0.0000,0.0023, 14840,0.67,0.67,99,49,7858.21,3257.72,2598.20,4.82,120.61,0.30,7.56,0.03,1.62,0.02,1.23,0.01,2.33,1.00,0.39,0.0000,0.0014, 22960,0.50,0.01,96,47,1608.99,993.46,2598.20,3.24,80.98,0.06,1.55,5.62,77.12,0.01,17.25,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.45,0.12,69.87,0.00,100.00,0.00,0.00,0.00,0.00,77.63,51.95,4.55 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.43,2.79,0.15,1.12,0.00,1.81,1.00,0.14,0.0000,0.0016,    80,13.75,86.25,0.00,0.00,0.00,52,1113.44,398.58,2598.20,5.59,139.68,0.86,21.43,
2024-03-04,12:32:04.496,0.15,2.09,0.07,1.12,0.16,17.24,0.99,0.41,0.0000,0.0023, 16120,0.66,0.71,97,49,7575.18,3625.40,2595.32,4.18,104.47,0.29,7.30,0.03,1.22,0.03,1.18,0.07,3.00,0.98,0.41,0.0000,0.0019, 22760,0.58,0.03,92,48,1590.56,1307.65,2595.32,2.43,60.82,0.06,1.53,6.26,77.78,0.02,15.93,0.00,100.00,0.00,0.00,0.00,0.00,2.13,34.64,0.30,62.93,0.00,100.00,0.00,0.00,0.00,0.00,77.66,53.50,4.54 ,4.43 ,0.00 ,0.03 ,3.00,3.00,0.42,2.74,0.15,1.12,0.00,1.67,1.00,0.14,0.0000,0.0015,    80,13.83,86.17,0.00,0.00,0.00,51,1097.49,400.42,2595.32,5.48,137.04,0.85,21.14,
2024-03-04,12:32:05.496,0.16,2.45,0.06,1.12,0.05,19.89,1.00,0.37,0.0000,0.0024, 16360,0.56,0.61,99,48,8186.78,3338.57,2598.13,4.90,122.61,0.32,7.88,0.03,1.53,0.02,1.22,0.02,2.47,0.99,0.39,0.0000,0.0016, 23080,0.53,0.01,97,47,1580.60,1031.42,2598.13,3.06,76.62,0.06,1.52,5.76,76.99,0.01,17.24,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.50,0.15,69.72,0.00,100.00,0.00,0.00,0.00,0.00,78.21,52.03,4.49 ,4.41 ,0.00 ,0.03 ,3.00,3.00,0.44,2.80,0.16,1.12,0.00,2.09,1.00,0.15,0.0000,0.0019,   120,13.96,86.04,0.00,0.00,0.00,52,1131.51,404.62,2598.13,5.59,139.82,0.87,21.78,
2024-03-04,12:32:06.497,0.16,2.43,0.06,1.12,0.05,19.74,1.00,0.38,0.0000,0.0024, 16880,0.56,0.61,99,47,8157.12,3351.47,2597.92,4.87,121.69,0.31,7.85,0.03,1.55,0.02,1.22,0.02,2.30,0.99,0.39,0.0000,0.0015, 22760,0.52,0.01,96,46,1576.78,1016.22,2597.92,3.10,77.58,0.06,1.52,5.78,77.44,0.01,16.77,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.87,0.13,69.40,0.00,100.00,0.00,0.00,0.00,0.00,78.42,52.00,4.49 ,4.39 ,486284.56 ,437713.49 ,3.00,3.00,0.43,2.78,0.16,1.12,0.00,2.08,1.00,0.15,0.0000,0.0018,   120,13.99,86.01,0.00,0.00,0.00,51,1128.88,405.46,2597.92,5.57,139.21,0.87,21.73,
2024-03-04,12:32:07.497,0.15,2.45,0.06,1.12,0.06,19.51,1.00,0.37,0.0000,0.0024, 16680,0.56,0.60,99,48,7983.65,3259.17,2597.99,4.90,122.48,0.31,7.68,0.03,1.55,0.02,1.22,0.02,2.44,0.99,0.39,0.0000,0.0015, 23040,0.52,0.01,97,46,1613.84,1038.54,2597.99,3.11,77.70,0.06,1.55,5.62,76.96,0.02,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.31,0.13,69.92,0.00,100.00,0.00,0.00,0.00,0.00,78.23,51.96,4.49 ,4.40 ,0.00 ,0.03 ,3.00,3.00,0.42,2.79,0.15,1.12,0.00,2.05,1.00,0.15,0.0000,0.0019,     0,13.62,86.38,0.00,0.00,0.00,51,1101.09,394.66,2597.99,5.58,139.50,0.85,21.19,
2024-03-04,12:32:08.497,0.16,2.42,0.06,1.12,0.05,19.91,1.00,0.37,0.0000,0.0025, 16960,0.56,0.60,99,48,8118.32,3350.34,2597.98,4.85,121.16,0.31,7.81,0.03,1.59,0.02,1.22,0.01,2.28,0.99,0.40,0.0000,0.0014, 22920,0.50,0.01,96,47,1580.42,993.58,2597.98,3.18,79.53,0.06,1.52,5.78,76.78,0.01,17.43,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.35,0.13,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.23,52.00,4.48 ,4.40 ,0.00 ,0.03 ,3.00,3.00,0.43,2.76,0.16,1.12,0.00,2.10,1.00,0.15,0.0000,0.0019,   120,14.01,85.99,0.00,0.00,0.00,51,1118.95,405.95,2597.98,5.51,137.82,0.86,21.54,
2024-03-04,12:32:09.496,0.16,2.36,0.07,1.12,0.07,19.93,1.00,0.37,0.0000,0.0024, 17760,0.56,0.60,99,47,8198.12,3470.30,2594.96,4.72,118.12,0.32,7.90,0.03,1.51,0.02,1.22,0.01,2.23,1.00,0.39,0.0000,0.0014, 23320,0.49,0.01,96,47,1591.14,1052.79,2594.96,3.02,75.57,0.06,1.53,5.99,76.55,0.00,17.45,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.18,0.13,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.00,51.96,4.48 ,4.39 ,0.00 ,0.20 ,3.00,3.00,0.43,2.74,0.16,1.12,0.00,2.09,1.00,0.15,0.0000,0.0019,   160,14.03,85.97,0.00,0.00,0.00,51,1112.72,406.10,2594.96,5.48,137.00,0.86,21.44,
