System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core2 (Socket 0)-EXEC,Core2 (Socket 0)-IPC,Core2 (Socket 0)-FREQ,Core2 (Socket 0)-AFREQ,Core2 (Socket 0)-L3MISS,Core2 (Socket 0)-L2MISS,Core2 (Socket 0)-L3HIT,Core2 (Socket 0)-L2HIT,Core2 (Socket 0)-L3MPI,Core2 (Socket 0)-L2MPI,Core2 (Socket 0)-L3OCC,Core2 (Socket 0)-C0res%,Core2 (Socket 0)-C1res%,Core2 (Socket 0)-C3res%,Core2 (Socket 0)-C6res%,Core2 (Socket 0)-C7res%,Core2 (Socket 0)-TEMP,Core2 (Socket 0)-INST,Core2 (Socket 0)-ACYC,Core2 (Socket 0)-TIME(ticks),Core2 (Socket 0)-PhysIPC,Core2 (Socket 0)-PhysIPC%,Core2 (Socket 0)-INSTnom,Core2 (Socket 0)-INSTnom%,-
2024-02-26,20:20:05.804,0.15,2.39,0.06,1.12,0.04,24.87,1.00,0.36,0.0000,0.0031, 12080,0.55,0.84,99,48,7941.57,3319.55,2599.40,4.78,119.62,0.31,7.64,0.03,1.44,0.02,1.21,0.03,3.24,0.99,0.40,0.0000,0.0021, 23280,0.83,0.02,98,47,1559.85,1082.35,2599.40,2.88,72.06,0.06,1.50,5.72,76.49,0.00,17.78,0.00,100.00,0.00,0.00,0.00,0.00,1.72,28.24,0.14,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.54,51.95,4.58 ,4.55 ,919795.37 ,925726.49 ,3.00,3.00,0.23,1.48,0.15,1.12,0.00,3.88,1.00,0.20,0.0000,0.0065,   880,13.83,86.17,0.00,0.00,0.00,52,592.52,401.04,2599.40,2.95,73.87,0.46,11.40,
2024-02-26,20:20:06.804,0.16,2.41,0.06,1.12,0.04,26.67,1.00,0.35,0.0000,0.0033, 12520,0.51,0.79,99,48,8076.94,3350.17,2597.33,4.82,120.55,0.31,7.77,0.03,1.60,0.02,1.23,0.02,3.14,0.99,0.42,0.0000,0.0020, 23680,0.78,0.01,98,46,1589.38,990.59,2597.33,3.21,80.22,0.06,1.53,5.78,76.55,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.42,0.12,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.49,51.94,4.55 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.23,1.47,0.16,1.12,0.00,4.11,1.00,0.19,0.0000,0.0068,  1040,14.29,85.71,0.00,0.00,0.00,51,607.53,414.10,2597.33,2.93,73.35,0.47,11.69,
2024-02-26,20:20:07.810,0.15,2.34,0.06,1.12,0.05,26.68,1.00,0.35,0.0000,0.0034, 15080,0.49,0.76,99,48,7901.59,3374.17,2597.62,4.68,117.09,0.30,7.60,0.03,1.46,0.02,1.21,0.02,3.17,0.99,0.40,0.0000,0.0021, 24960,0.78,0.01,97,48,1520.70,1042.76,2597.62,2.92,72.92,0.06,1.46,5.82,76.56,0.01,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.41,0.11,69.83,0.00,100.00,0.00,0.00,0.00,0.00,78.96,51.96,4.57 ,4.53 ,51638120.54 ,0.33 ,3.02,3.00,0.23,1.48,0.16,1.12,0.01,4.09,1.00,0.20,0.0000,0.0068,  1000,14.12,85.88,0.00,0.00,0.00,51,603.64,409.05,2597.62,2.95,73.78,0.46,11.62,
2024-02-26,20:20:08.805,0.15,2.27,0.07,1.12,0.09,26.76,1.00,0.36,0.0000,0.0034, 14240,0.47,0.79,98,47,7806.85,3435.83,2597.49,4.54,113.61,0.30,7.52,0.03,1.42,0.02,1.20,0.09,3.85,0.98,0.43,0.0001,0.0024, 23840,0.88,0.04,96,46,1615.84,1137.40,2597.49,2.84,71.03,0.06,1.56,5.93,76.95,0.03,17.09,0.00,100.00,0.00,0.00,0.00,0.00,1.82,30.75,0.29,67.14,0.00,100.00,0.00,0.00,0.00,0.00,78.30,52.66,4.51 ,4.56 ,0.34 ,0.33 ,2.98,3.00,0.23,1.46,0.16,1.12,0.01,4.05,1.00,0.20,0.0000,0.0068,  1280,14.03,85.97,0.00,0.00,0.00,51,592.72,406.60,2597.49,2.92,72.89,0.46,11.41,
2024-02-26,20:20:09.805,0.15,2.32,0.06,1.12,0.04,28.12,1.00,0.35,0.0000,0.0036, 14400,0.42,0.71,99,48,7709.31,3318.95,2597.17,4.65,116.14,0.30,7.42,0.03,1.54,0.02,1.22,0.02,3.20,0.99,0.40,0.0000,0.0021, 24160,0.81,0.01,98,46,1550.81,1004.73,2597.17,3.09,77.18,0.06,1.49,5.73,76.26,0.02,17.99,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.48,0.13,69.82,0.00,100.00,0.00,0.00,0.00,0.00,78.34,51.94,4.48 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.24,1.53,0.16,1.12,0.00,4.20,1.00,0.19,0.0000,0.0068,  1320,13.99,86.01,0.00,0.00,0.00,52,620.06,405.28,2597.17,3.06,76.50,0.48,11.94,
2024-02-26,20:20:10.804,0.15,2.24,0.07,1.12,0.06,28.55,1.00,0.34,0.0000,0.0037, 14400,0.41,0.71,99,47,7730.56,3455.30,2596.88,4.47,111.87,0.30,7.44,0.03,1.43,0.02,1.21,0.02,3.24,0.99,0.40,0.0000,0.0021, 24080,0.79,0.01,98,46,1541.00,1076.61,2596.88,2.86,71.57,0.06,1.48,5.96,76.70,0.01,17.32,0.00,100.00,0.00,0.00,0.00,0.00,1.71,28.48,0.13,69.68,0.00,100.00,0.00,0.00,0.00,0.00,78.69,51.99,4.48 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.24,1.52,0.16,1.12,0.00,4.25,1.00,0.19,0.0000,0.0068,  1360,14.21,85.79,0.00,0.00,0.00,51,624.26,411.63,2596.88,3.03,75.83,0.48,12.02,
2024-02-26,20:20:11.804,0.15,2.34,0.06,1.12,0.04,29.34,1.00,0.34,0.0000,0.0038, 14720,0.39,0.69,99,47,7792.44,3329.70,2596.82,4.68,117.01,0.30,7.50,0.03,1.63,0.02,1.23,0.01,3.13,1.00,0.41,0.0000,0.0020, 23760,0.77,0.01,98,45,1550.92,950.92,2596.82,3.26,81.55,0.06,1.49,5.75,76.48,0.02,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.49,28.28,0.17,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.65,51.89,4.47 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.25,1.55,0.16,1.12,0.00,4.33,1.00,0.19,0.0000,0.0068,  1480,14.19,85.81,0.00,0.00,0.00,51,638.77,411.03,2596.82,3.11,77.70,0.49,12.30,
2024-02-26,20:20:12.804,0.14,2.25,0.06,1.12,0.05,28.21,1.00,0.34,0.0000,0.0038, 14480,0.39,0.69,99,46,7472.92,3316.44,2596.86,4.51,112.66,0.29,7.19,0.03,1.45,0.02,1.22,0.02,3.22,1.00,0.40,0.0000,0.0021, 24040,0.77,0.01,97,46,1567.07,1079.40,2596.86,2.90,72.59,0.06,1.51,5.73,76.53,0.01,17.74,0.00,100.00,0.00,0.00,0.00,0.00,1.71,28.13,0.13,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.70,51.99,4.47 ,4.52 ,469445.12 ,0.00 ,3.00,3.00,0.24,1.54,0.15,1.12,0.00,4.17,1.00,0.19,0.0000,0.0068,  1440,13.82,86.18,0.00,0.00,0.00,50,615.87,400.16,2596.86,3.08,76.95,0.47,11.86,
2024-02-26,20:20:13.804,0.15,2.32,0.06,1.12,0.03,29.48,1.00,0.34,0.0000,0.0038, 14800,0.38,0.68,99,46,7722.63,3334.92,2596.84,4.63,115.78,0.30,7.43,0.03,1.62,0.02,1.23,0.01,3.12,1.00,0.41,0.0000,0.0020, 24920,0.76,0.01,98,46,1590.09,978.88,2596.84,3.25,81.22,0.06,1.53,5.76,76.49,0.00,17.75,0.00,100.00,0.00,0.00,0.00,0.00,1.53,28.32,0.09,70.06,0.00,100.00,0.00,0.00,0.00,0.00,78.75,52.01,4.48 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.25,1.56,0.16,1.12,0.00,4.34,1.00,0.19,0.0000,0.0067,  1600,14.27,85.73,0.00,0.00,0.00,49,643.95,413.25,2596.84,3.12,77.91,0.50,12.40,
2024-02-26,20:20:14.805,0.15,2.27,0.06,1.12,0.04,29.28,1.00,0.34,0.0000,0.0038, 14640,0.37,0.67,99,46,7636.50,3364.38,2599.43,4.54,113.49,0.29,7.34,0.03,1.48,0.02,1.22,0.01,3.09,1.00,0.40,0.0000,0.0020, 24000,0.77,0.01,98,45,1520.85,1028.20,2599.43,2.96,73.96,0.06,1.46,5.80,76.53,0.02,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.32,0.14,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.85,52.09,4.48 ,4.53 ,0.00 ,0.33 ,3.00,3.00,0.24,1.56,0.16,1.12,0.01,4.31,1.00,0.19,0.0000,0.0068,  1520,14.10,85.90,0.00,0.00,0.00,50,636.03,408.90,2599.43,3.11,77.77,0.49,12.23,
