System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-27,18:54:41.217,0.21,2.89,0.07,1.12,0.10,11.21,0.99,0.29,0.0000,0.0010, 13280,0.40,0.35,99,48,10705.00,3699.51,2599.24,5.79,144.68,0.41,10.29,0.05,1.51,0.03,1.17,0.07,2.61,0.97,0.87,0.0000,0.0010, 22440,0.25,0.01,97,46,2543.20,1684.07,2599.24,3.02,75.51,0.10,2.45,6.38,69.37,0.12,24.14,0.00,100.00,0.00,0.00,0.00,0.00,2.76,35.67,0.15,61.42,0.00,100.00,0.00,0.00,0.00,0.00,74.13,56.50,4.32 ,4.38 ,817742.35 ,824421.29 ,3.00,3.00,0.62,3.20,0.19,1.12,0.01,1.76,1.00,0.11,0.0000,0.0011,  3600,17.40,82.60,0.00,0.00,0.00,50,1615.27,504.58,2599.24,6.40,160.06,1.24,31.07,
2024-02-27,18:54:42.216,0.15,2.31,0.06,1.12,0.08,15.02,0.99,0.41,0.0000,0.0020, 14040,0.74,0.64,99,48,7672.37,3324.72,2596.21,4.62,115.38,0.30,7.39,0.03,1.59,0.02,1.22,0.01,2.06,0.99,0.37,0.0000,0.0013, 22440,0.44,0.01,96,46,1605.73,1012.57,2596.21,3.17,79.29,0.06,1.55,5.74,76.99,0.02,17.24,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.27,0.11,70.02,0.00,100.00,0.00,0.00,0.00,0.00,76.70,52.05,4.55 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.42,2.73,0.15,1.12,0.01,2.37,1.00,0.10,0.0000,0.0022,  3760,13.77,86.23,0.00,0.00,0.00,51,1088.56,398.85,2596.21,5.46,136.46,0.84,20.97,
2024-02-27,18:54:43.216,0.15,2.33,0.06,1.12,0.10,15.55,0.99,0.39,0.0000,0.0020, 15000,0.73,0.64,99,48,7769.95,3328.37,2598.04,4.67,116.72,0.30,7.48,0.03,1.60,0.02,1.22,0.01,2.08,0.99,0.38,0.0000,0.0012, 22520,0.43,0.01,96,47,1668.61,1043.54,2598.04,3.20,79.95,0.06,1.61,5.74,76.96,0.01,17.30,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.40,0.11,69.85,0.00,100.00,0.00,0.00,0.00,0.00,76.83,52.17,4.56 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.43,2.74,0.16,1.12,0.01,2.45,1.00,0.10,0.0000,0.0022,  3720,13.96,86.04,0.00,0.00,0.00,51,1110.02,404.41,2598.04,5.49,137.24,0.85,21.36,
2024-02-27,18:54:44.222,0.15,2.23,0.07,1.12,0.13,15.26,0.99,0.41,0.0000,0.0020, 16040,0.73,0.66,99,47,7719.91,3455.84,2598.16,4.47,111.69,0.30,7.43,0.03,1.49,0.02,1.21,0.03,2.31,0.99,0.39,0.0000,0.0014, 23880,0.45,0.02,93,47,1623.17,1091.09,2598.16,2.98,74.38,0.06,1.56,5.96,77.17,0.02,16.85,0.00,100.00,0.00,0.00,0.00,0.00,1.74,29.77,0.16,68.33,0.00,100.00,0.00,0.00,0.00,0.00,77.03,52.55,4.57 ,4.41 ,0.33 ,0.00 ,3.00,3.00,0.43,2.74,0.16,1.12,0.01,2.40,1.00,0.10,0.0000,0.0022,  3480,13.96,86.04,0.00,0.00,0.00,50,1109.87,404.52,2598.16,5.49,137.18,0.85,21.36,
2024-02-27,18:54:45.217,0.15,2.06,0.07,1.12,0.16,15.39,0.99,0.41,0.0000,0.0020, 17160,0.69,0.64,97,46,7582.13,3688.79,2597.33,4.11,102.77,0.29,7.30,0.03,1.15,0.03,1.18,0.07,2.32,0.97,0.39,0.0000,0.0015, 23480,0.49,0.02,93,45,1544.38,1345.15,2597.33,2.30,57.41,0.06,1.49,6.37,78.15,0.04,15.44,0.00,100.00,0.00,0.00,0.00,0.00,2.20,34.51,0.21,63.09,0.00,100.00,0.00,0.00,0.00,0.00,77.64,53.69,4.57 ,4.41 ,0.00 ,0.00 ,3.00,3.00,0.42,2.73,0.15,1.12,0.01,2.36,1.00,0.10,0.0000,0.0022,  4000,13.66,86.34,0.00,0.00,0.00,50,1079.38,395.72,2597.33,5.46,136.38,0.83,20.78,
2024-02-27,18:54:46.217,0.16,2.48,0.06,1.12,0.06,17.17,1.00,0.38,0.0000,0.0021, 16880,0.63,0.58,99,46,8234.38,3321.74,2597.91,4.96,123.95,0.32,7.92,0.03,1.57,0.02,1.22,0.03,2.16,0.99,0.38,0.0000,0.0013, 23600,0.45,0.01,96,45,1608.47,1026.97,2597.91,3.13,78.31,0.06,1.55,5.73,77.35,0.04,16.88,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.96,0.13,69.29,0.00,100.00,0.00,0.00,0.00,0.00,78.02,52.32,4.53 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.45,2.90,0.16,1.12,0.01,2.70,1.00,0.10,0.0000,0.0023,  4000,13.99,86.01,0.00,0.00,0.00,50,1176.96,405.28,2597.91,5.81,145.20,0.91,22.65,
2024-02-27,18:54:47.218,0.16,2.43,0.06,1.12,0.06,16.96,1.00,0.39,0.0000,0.0021, 16880,0.63,0.58,99,46,8142.04,3344.25,2597.99,4.87,121.73,0.31,7.83,0.03,1.57,0.02,1.22,0.03,2.08,0.99,0.38,0.0000,0.0013, 24640,0.44,0.01,96,45,1635.07,1042.11,2597.99,3.14,78.45,0.06,1.57,5.77,77.03,0.01,17.19,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.44,0.11,69.80,0.00,100.00,0.00,0.00,0.00,0.00,78.00,52.29,4.53 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.44,2.84,0.16,1.12,0.01,2.66,1.00,0.10,0.0000,0.0023,  3800,14.00,86.00,0.00,0.00,0.00,50,1153.02,405.69,2597.99,5.68,142.11,0.89,22.19,
2024-02-27,18:54:48.218,0.16,2.46,0.06,1.12,0.07,17.10,1.00,0.38,0.0000,0.0021, 17840,0.63,0.58,99,47,8205.83,3332.35,2598.17,4.92,123.12,0.32,7.90,0.03,1.59,0.02,1.22,0.01,2.07,1.00,0.37,0.0000,0.0013, 24600,0.43,0.01,96,45,1634.67,1025.04,2598.17,3.19,79.74,0.06,1.57,5.75,76.82,0.00,17.43,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.34,0.12,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.08,52.25,4.54 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.45,2.88,0.16,1.12,0.01,2.69,1.00,0.10,0.0000,0.0023,  3880,13.99,86.01,0.00,0.00,0.00,50,1169.13,405.54,2598.17,5.77,144.14,0.90,22.50,
2024-02-27,18:54:49.219,0.15,2.43,0.06,1.12,0.06,16.67,1.00,0.39,0.0000,0.0021, 17680,0.63,0.58,99,46,7971.65,3285.72,2598.22,4.85,121.31,0.31,7.67,0.03,1.60,0.02,1.22,0.01,2.07,0.99,0.37,0.0000,0.0013, 24280,0.43,0.01,96,45,1603.50,1003.27,2598.22,3.20,79.91,0.06,1.54,5.67,76.99,0.00,17.33,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.27,0.12,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.05,52.25,4.54 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.43,2.84,0.15,1.12,0.01,2.60,1.00,0.10,0.0000,0.0023,  3600,13.62,86.38,0.00,0.00,0.00,50,1119.08,394.56,2598.22,5.67,141.81,0.86,21.54,
2024-02-27,18:54:50.219,0.16,2.45,0.06,1.12,0.06,17.07,1.00,0.38,0.0000,0.0021, 17880,0.63,0.58,99,46,8175.56,3334.79,2597.55,4.90,122.58,0.31,7.87,0.03,1.60,0.02,1.22,0.01,2.08,1.00,0.37,0.0000,0.0013, 24240,0.43,0.01,96,45,1657.41,1034.24,2597.55,3.21,80.13,0.06,1.60,5.76,77.01,0.01,17.23,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.33,0.10,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.11,52.38,4.53 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.45,2.86,0.16,1.12,0.01,2.68,1.00,0.11,0.0000,0.0023,  3760,14.00,86.00,0.00,0.00,0.00,50,1160.95,405.58,2597.55,5.72,143.12,0.89,22.35,
2024-02-27,18:54:51.219,0.16,2.42,0.06,1.12,0.07,17.10,1.00,0.38,0.0000,0.0021, 17960,0.63,0.58,99,45,8160.36,3372.12,2597.71,4.84,121.00,0.31,7.85,0.03,1.48,0.02,1.20,0.01,2.00,0.99,0.41,0.0000,0.0012, 24200,0.43,0.01,96,46,1647.27,1111.96,2597.71,2.96,74.07,0.06,1.59,5.82,77.08,0.01,17.09,0.00,100.00,0.00,0.00,0.00,0.00,1.78,30.42,0.13,67.68,0.00,100.00,0.00,0.00,0.00,0.00,78.16,52.86,4.53 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.45,2.86,0.16,1.12,0.01,2.69,1.00,0.10,0.0000,0.0023,  4320,14.03,85.97,0.00,0.00,0.00,49,1164.01,406.38,2597.71,5.73,143.22,0.90,22.40,
2024-02-27,18:54:52.219,0.15,2.47,0.06,1.12,0.07,16.37,1.00,0.35,0.0000,0.0021, 18000,0.62,0.56,99,46,7958.74,3220.34,2597.51,4.94,123.57,0.31,7.66,0.04,1.63,0.02,1.20,0.02,2.06,0.99,0.65,0.0000,0.0011, 24000,0.41,0.01,96,45,1818.94,1117.23,2597.51,3.26,81.40,0.07,1.75,5.56,75.46,0.03,18.95,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.54,0.13,67.54,0.00,100.00,0.00,0.00,0.00,0.00,77.14,53.52,4.52 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.44,2.85,0.15,1.12,0.01,2.54,1.00,0.10,0.0000,0.0022,  4320,13.78,86.22,0.00,0.00,0.00,47,1139.83,399.25,2597.51,5.71,142.75,0.88,21.94,
2024-02-27,18:54:53.220,0.16,2.56,0.06,1.12,0.06,14.96,1.00,0.33,0.0000,0.0018, 18480,0.61,0.51,99,46,8150.47,3177.91,2597.84,5.13,128.24,0.31,7.84,0.04,1.66,0.02,1.20,0.01,1.76,1.00,0.75,0.0000,0.0009, 24360,0.34,0.01,95,44,1919.09,1157.90,2597.84,3.31,82.87,0.07,1.85,5.48,73.60,0.00,20.92,0.00,100.00,0.00,0.00,0.00,0.00,1.86,31.56,0.12,66.46,0.00,100.00,0.00,0.00,0.00,0.00,76.47,54.39,4.50 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.46,2.96,0.16,1.12,0.01,2.30,1.00,0.10,0.0000,0.0019,  3680,13.90,86.10,0.00,0.00,0.00,48,1191.12,402.69,2597.84,5.92,147.90,0.92,22.92,
2024-02-27,18:54:54.220,0.16,2.50,0.06,1.12,0.08,15.01,0.99,0.40,0.0000,0.0018, 18520,0.61,0.51,99,46,8419.10,3368.69,2597.82,5.00,124.96,0.32,8.10,0.03,1.61,0.02,1.22,0.01,1.86,0.99,0.36,0.0000,0.0011, 25000,0.34,0.01,95,44,1672.84,1039.09,2597.82,3.22,80.50,0.06,1.61,5.81,76.66,0.00,17.52,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.22,0.11,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.34,52.45,4.48 ,4.36 ,487644.02 ,487599.83 ,3.00,3.00,0.45,2.89,0.16,1.12,0.01,2.31,1.00,0.10,0.0000,0.0020,  3680,14.05,85.95,0.00,0.00,0.00,47,1178.25,407.11,2597.82,5.79,144.71,0.91,22.68,
2024-02-27,18:54:55.220,0.16,2.24,0.07,1.12,0.19,14.09,0.99,0.42,0.0000,0.0017, 19800,0.68,0.57,97,45,8182.39,3657.18,2597.56,4.47,111.87,0.31,7.87,0.03,1.36,0.02,1.20,0.07,2.21,0.97,0.38,0.0000,0.0013, 23400,0.40,0.03,90,44,1650.85,1211.67,2597.56,2.72,68.12,0.06,1.59,6.31,79.77,0.01,13.91,0.00,100.00,0.00,0.00,0.00,0.00,1.95,32.14,0.19,65.72,0.00,100.00,0.00,0.00,0.00,0.00,78.90,53.44,4.52 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.45,2.89,0.16,1.12,0.01,2.15,1.00,0.11,0.0000,0.0018,  4200,14.05,85.95,0.00,0.00,0.00,48,1174.83,407.01,2597.56,5.77,144.32,0.90,22.61,
