System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-27,15:14:01.056,0.18,2.72,0.06,1.12,0.09,12.45,0.99,0.35,0.0000,0.0014, 14360,0.51,0.45,99,50,9131.82,3353.06,2599.01,5.45,136.17,0.35,8.78,0.04,1.60,0.03,1.19,0.05,2.40,0.98,0.84,0.0000,0.0011, 22440,0.33,0.02,96,47,2133.41,1329.76,2599.01,3.21,80.22,0.08,2.05,5.78,72.47,0.03,21.72,0.00,100.00,0.00,0.00,0.00,0.00,2.16,34.09,0.14,63.61,0.00,100.00,0.00,0.00,0.00,0.00,74.78,55.04,4.46 ,4.38 ,18862655.47 ,22653078.04 ,3.00,3.00,0.53,3.11,0.17,1.12,0.00,1.22,1.00,0.14,0.0000,0.0009,   200,15.36,84.64,0.00,0.00,0.00,55,1386.04,445.36,2599.01,6.22,155.61,1.07,26.66,
2024-02-27,15:14:02.055,0.15,2.31,0.06,1.12,0.08,15.36,0.99,0.40,0.0000,0.0020, 15520,0.72,0.63,99,50,7778.31,3365.78,2595.51,4.62,115.55,0.30,7.49,0.03,1.54,0.02,1.22,0.02,2.12,0.99,0.39,0.0000,0.0013, 21920,0.44,0.01,96,46,1629.10,1056.09,2595.51,3.09,77.13,0.06,1.57,5.81,77.05,0.00,17.13,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.31,0.14,69.88,0.00,100.00,0.00,0.00,0.00,0.00,76.58,51.85,4.56 ,4.38 ,0.00 ,0.00 ,3.00,3.00,0.43,2.76,0.16,1.12,0.00,1.55,1.00,0.14,0.0000,0.0014,   240,14.11,85.89,0.00,0.00,0.00,55,1128.46,408.61,2595.51,5.52,138.09,0.87,21.74,
2024-02-27,15:14:03.056,0.15,2.38,0.06,1.12,0.09,15.64,0.99,0.40,0.0000,0.0020, 15640,0.71,0.63,99,50,7892.62,3321.68,2598.17,4.75,118.80,0.30,7.59,0.03,1.64,0.02,1.22,0.02,2.08,0.99,0.40,0.0000,0.0013, 23080,0.44,0.01,96,47,1633.06,996.48,2598.17,3.28,81.94,0.06,1.57,5.73,77.19,0.01,17.07,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.59,0.12,69.72,0.00,100.00,0.00,0.00,0.00,0.00,76.80,52.05,4.54 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.44,2.82,0.16,1.12,0.00,1.58,1.00,0.15,0.0000,0.0014,   160,14.08,85.92,0.00,0.00,0.00,54,1149.82,407.91,2598.17,5.64,140.94,0.89,22.13,
2024-02-27,15:14:04.056,0.14,2.30,0.06,1.12,0.09,15.16,0.99,0.37,0.0000,0.0020, 16440,0.71,0.62,99,50,7436.14,3233.40,2597.86,4.60,114.99,0.29,7.16,0.03,1.50,0.02,1.19,0.01,2.20,0.99,0.66,0.0000,0.0012, 23240,0.42,0.01,95,46,1805.19,1204.06,2597.86,3.00,74.96,0.07,1.74,5.58,75.25,0.02,19.15,0.00,100.00,0.00,0.00,0.00,0.00,1.94,30.46,0.15,67.45,0.00,100.00,0.00,0.00,0.00,0.00,75.82,53.27,4.54 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.42,2.75,0.15,1.12,0.00,1.54,1.00,0.15,0.0000,0.0014,   200,13.71,86.29,0.00,0.00,0.00,54,1091.76,397.39,2597.86,5.49,137.37,0.84,21.01,
2024-02-27,15:14:05.057,0.15,2.35,0.06,1.12,0.09,15.85,0.99,0.40,0.0000,0.0020, 17000,0.70,0.62,99,49,7908.07,3365.88,2597.94,4.70,117.47,0.30,7.61,0.03,1.65,0.02,1.22,0.01,2.14,1.00,0.39,0.0000,0.0013, 23480,0.42,0.01,95,47,1655.08,1001.29,2597.94,3.31,82.65,0.06,1.59,5.81,77.05,0.03,17.12,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.49,0.13,69.81,0.00,100.00,0.00,0.00,0.00,0.00,76.88,51.96,4.55 ,4.38 ,0.00 ,0.03 ,3.00,3.00,0.44,2.78,0.16,1.12,0.00,1.62,1.00,0.15,0.0000,0.0014,   240,14.20,85.80,0.00,0.00,0.00,53,1141.87,411.34,2597.94,5.55,138.80,0.88,21.98,
2024-02-27,15:14:06.057,0.15,2.36,0.06,1.12,0.08,15.79,0.99,0.37,0.0000,0.0021, 17240,0.70,0.61,99,48,7680.22,3254.77,2597.88,4.72,117.98,0.30,7.39,0.03,1.54,0.02,1.20,0.01,2.03,0.99,0.63,0.0000,0.0012, 23800,0.43,0.01,95,46,1720.92,1115.48,2597.88,3.09,77.14,0.07,1.66,5.62,75.97,0.01,18.41,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.83,0.15,67.24,0.00,100.00,0.00,0.00,0.00,0.00,76.12,53.11,4.55 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.44,2.79,0.16,1.12,0.00,1.62,1.00,0.15,0.0000,0.0014,   240,14.00,86.00,0.00,0.00,0.00,53,1130.67,405.77,2597.88,5.57,139.32,0.87,21.76,
2024-02-27,15:14:07.056,0.15,2.36,0.06,1.12,0.08,15.68,1.00,0.40,0.0000,0.0020, 18040,0.69,0.61,99,49,7824.49,3311.57,2595.43,4.73,118.14,0.30,7.54,0.03,1.58,0.02,1.22,0.02,2.27,0.99,0.41,0.0000,0.0014, 23360,0.43,0.01,95,47,1640.82,1040.52,2595.43,3.15,78.85,0.06,1.58,5.72,77.03,0.00,17.25,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.43,0.14,69.79,0.00,100.00,0.00,0.00,0.00,0.00,76.88,52.01,4.54 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.44,2.80,0.16,1.12,0.00,1.61,1.00,0.15,0.0000,0.0014,   240,13.96,86.04,0.00,0.00,0.00,54,1133.73,404.26,2595.43,5.61,140.22,0.87,21.84,
2024-02-27,15:14:08.057,0.15,2.37,0.06,1.12,0.09,15.69,0.99,0.36,0.0000,0.0021, 17560,0.69,0.61,99,49,7592.77,3200.42,2597.88,4.74,118.62,0.29,7.31,0.04,1.65,0.02,1.20,0.01,2.06,1.00,0.69,0.0000,0.0011, 22640,0.42,0.01,95,46,1844.32,1118.46,2597.88,3.30,82.45,0.07,1.77,5.52,74.74,0.02,19.72,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.78,0.10,67.32,0.00,100.00,0.00,0.00,0.00,0.00,75.79,53.49,4.55 ,4.38 ,0.00 ,0.03 ,3.00,3.00,0.43,2.78,0.15,1.12,0.00,1.61,1.00,0.15,0.0000,0.0014,   320,13.88,86.12,0.00,0.00,0.00,54,1118.83,402.16,2597.88,5.56,139.10,0.86,21.53,
2024-02-27,15:14:09.057,0.14,2.03,0.07,1.12,0.19,15.01,0.99,0.32,0.0000,0.0021, 18520,0.70,0.66,97,49,7307.56,3599.65,2597.66,4.06,101.50,0.28,7.03,0.04,1.24,0.03,1.16,0.11,2.90,0.96,0.75,0.0001,0.0014, 23840,0.50,0.03,91,46,2080.25,1671.99,2597.66,2.49,62.21,0.08,2.00,6.21,75.87,0.15,17.77,0.00,100.00,0.00,0.00,0.00,0.00,2.78,37.90,0.26,59.07,0.00,100.00,0.00,0.00,0.00,0.00,75.49,56.45,4.52 ,4.42 ,0.00 ,63165.13 ,3.00,3.00,0.43,2.71,0.16,1.12,0.00,1.46,1.00,0.15,0.0000,0.0013,   240,14.10,85.90,0.00,0.00,0.00,53,1105.11,408.53,2597.66,5.41,135.25,0.85,21.27,
