,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-29,21:47:00.347,  135.32,  188.86,  494.66,  367.90,,,,,  629.97,  556.76,1835077988, 1186.73,  199.70,    8.77,  197.05,    5.88,,,,,  396.75,   14.65,1835594977,  411.40,   1026.73,    571.41,   1598.14
2024-02-29,21:47:01.346,  155.01,  214.44,  569.04,  421.10,,,,,  724.05,  635.54,2133785655, 1359.59,  223.35,    8.12,  220.19,    4.70,,,,,  443.54,   12.82,2133990585,  456.36,   1167.59,    648.35,   1815.95
2024-02-29,21:47:02.347,  152.31,  211.02,  561.66,  415.62,,,,,  713.97,  626.63,2134005708, 1340.61,  215.39,    5.43,  212.51,    1.99,,,,,  427.90,    7.43,2133632365,  435.32,   1141.87,    634.06,   1775.93
2024-02-29,21:47:03.347,  151.27,  208.82,  558.76,  412.78,,,,,  710.03,  621.60,2133153533, 1331.63,  211.32,    5.53,  208.82,    2.13,,,,,  420.13,    7.66,2133240630,  427.79,   1130.16,    629.26,   1759.42
2024-02-29,21:47:04.347,  149.63,  206.00,  553.50,  408.34,,,,,  703.12,  614.35,2133382430, 1317.47,  214.02,    6.99,  210.63,    3.57,,,,,  424.65,   10.56,2133497850,  435.21,   1127.78,    624.91,   1752.68
2024-02-29,21:47:05.347,  149.43,  205.24,  554.09,  408.08,,,,,  703.52,  613.32,2133257151, 1316.84,  219.61,    7.40,  216.21,    3.95,,,,,  435.82,   11.35,2133174172,  447.16,   1139.34,    624.67,   1764.01
2024-02-29,21:47:06.347,  148.09,  203.17,  549.66,  404.63,,,,,  697.75,  607.80,2133150748, 1305.55,  217.36,    6.50,  215.67,    3.05,,,,,  433.03,    9.55,2133036948,  442.58,   1130.78,    617.35,   1748.13
2024-02-29,21:47:07.347,  148.90,  207.36,  550.36,  408.69,,,,,  699.26,  616.05,2133497520, 1315.32,  223.43,   11.31,  221.60,    7.87,,,,,  445.03,   19.18,2133793486,  464.21,   1144.29,    635.24,   1779.53
2024-02-29,21:47:08.348,  139.96,  212.97,  519.41,  405.03,,,,,  659.37,  618.00,2133771493, 1277.37,  256.91,   18.44,  253.90,   15.03,,,,,  510.81,   33.47,2133348957,  544.27,   1170.17,    651.47,   1821.64
2024-02-29,21:47:09.348,  131.48,  196.40,  491.02,  380.45,,,,,  622.50,  576.85,2132987591, 1199.35,  220.80,    6.13,  217.21,    2.70,,,,,  438.00,    8.83,2133083154,  446.83,   1060.50,    585.68,   1646.18
2024-02-29,21:47:10.348,  130.19,  193.76,  487.92,  376.95,,,,,  618.11,  570.71,2132952434, 1188.82,  214.89,    5.83,  212.11,    2.40,,,,,  427.00,    8.24,2132953723,  435.24,   1045.11,    578.94,   1624.05
2024-02-29,21:47:11.347,  117.22,  144.96,  453.83,  317.68,,,,,  571.05,  462.64,2132774765, 1033.69,  153.71,    6.00,  150.58,    2.59,,,,,  304.29,    8.59,2132806182,  312.87,    875.34,    471.23,   1346.57
2024-02-29,21:47:12.348,  113.52,  125.01,  446.06,  295.49,,,,,  559.58,  420.51,2135033605,  980.09,  126.53,    5.30,  123.56,    1.88,,,,,  250.09,    7.19,2134898972,  257.28,    809.67,    427.69,   1237.36
2024-02-29,21:47:13.348,  114.44,  126.07,  448.56,  297.39,,,,,  563.00,  423.46,2132744945,  986.46,  128.79,    6.07,  125.33,    2.66,,,,,  254.12,    8.73,2132801870,  262.85,    817.13,    432.18,   1249.31
2024-02-29,21:47:14.348,  114.45,  126.21,  448.66,  297.58,,,,,  563.11,  423.80,2132738237,  986.91,  127.57,    5.40,  124.38,    1.99,,,,,  251.94,    7.40,2132632601,  259.34,    815.05,    431.20,   1246.25
2024-02-29,21:47:15.349,  114.33,  126.92,  448.23,  298.24,,,,,  562.55,  425.16,2132565400,  987.72,  128.48,    5.50,  125.12,    2.12,,,,,  253.60,    7.62,2132671934,  261.21,    816.15,    432.78,   1248.93
2024-02-29,21:47:16.349,  113.81,  126.63,  445.54,  296.92,,,,,  559.35,  423.55,2134816222,  982.90,  130.63,    6.22,  127.67,    2.80,,,,,  258.30,    9.02,2134764025,  267.32,    817.65,    432.57,   1250.22
2024-02-29,21:47:17.349,  114.38,  127.05,  446.76,  297.69,,,,,  561.14,  424.74,2132759742,  985.88,  129.21,    5.64,  126.40,    2.24,,,,,  255.61,    7.87,2132742842,  263.48,    816.74,    432.62,   1249.36
2024-02-29,21:47:18.349,  134.83,  154.02,  501.74,  340.26,,,,,  636.57,  494.28,2132778477, 1130.85,  159.09,   17.68,  155.40,   14.17,,,,,  314.49,   31.85,2132984243,  346.34,    951.06,    526.13,   1477.19
2024-02-29,21:47:19.350,  114.82,  128.97,  449.33,  300.75,,,,,  564.15,  429.72,2133088690,  993.86,  136.46,    6.64,  133.54,    3.21,,,,,  270.00,    9.85,2132912700,  279.85,    834.14,    439.56,   1273.71
2024-02-29,21:47:20.350,  114.08,  128.20,  446.23,  298.90,,,,,  560.31,  427.10,2135028819,  987.41,  130.92,    5.22,  128.03,    1.81,,,,,  258.95,    7.03,2135014498,  265.97,    819.26,    434.13,   1253.39
2024-02-29,21:47:21.350,  116.15,  130.21,  453.53,  302.90,,,,,  569.68,  433.11,2132947638, 1002.79,  131.76,    6.27,  129.81,    2.85,,,,,  261.57,    9.12,2132950869,  270.69,    831.25,    442.23,   1273.48
