Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11309046,2808526,1764602,95243078,8319248,140,368816
1,10632244,127176,4517016,10847284,0,27692,162484
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11507342,2940448,1786344,97567246,8180816,140,341782
1,10775940,127610,4500188,10261160,0,27524,162974
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11563496,3010196,1873172,97042918,8266776,140,347466
1,10771880,125972,4630682,10166940,0,27706,164430
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11570566,3019632,1875314,97917162,8193010,140,365372
1,10773924,127120,4640678,10168886,0,27636,166628
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9175474,2388694,4373502,73119732,8351616,112,518994
1,10795764,127288,5737214,14042798,0,27748,165718
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11960326,3511032,1796914,113028846,8094744,0,520058
1,10750292,125930,4659242,10418212,0,27818,166334
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11964736,3489430,1801674,103671708,8115184,0,558656
1,10755318,125706,4560976,11112948,0,28042,165802
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11996474,3509086,1756244,114654638,8158864,0,572432
1,10768184,124992,4600456,10287746,0,28126,166250
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11849978,3528532,1792672,115188010,8166116,0,565068
1,10644214,124558,7943600,9978066,0,27790,164122
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11836804,3548034,1749426,114760814,8149708,0,565418
1,10630214,125552,4493328,9986298,0,27832,163772
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11838624,3524794,1696618,117487594,8153292,0,560168
1,10651102,125104,4408572,10002146,0,27776,162190
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11854234,3540978,1841532,116897928,8146348,84,558572
1,10657556,125874,4638578,10181920,0,27832,163058
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11842642,3534454,1822520,116889864,8145382,140,522760
