System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-14,13:24:39.813,0.19,2.42,0.08,1.12,0.13,21.44,0.99,0.21,0.0000,0.0021, 13360,0.74,0.65,99,48,10125.13,4177.94,2600.01,4.85,121.17,0.39,9.74,0.04,1.55,0.03,1.22,0.05,2.99,0.98,0.39,0.0000,0.0013, 23680,0.46,0.02,96,44,2263.31,1456.84,2600.01,3.11,77.68,0.09,2.18,7.20,66.27,0.00,26.53,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.66,0.12,69.92,0.00,100.00,0.00,0.00,0.00,0.00,72.44,52.42,4.56 ,4.40 ,500679.07 ,502573.21 ,3.00,3.00,0.61,2.76,0.22,1.12,0.01,3.35,1.00,0.11,0.0000,0.0021,  3920,19.69,80.31,0.00,0.00,0.00,51,1576.21,570.91,2600.01,5.52,138.04,1.21,30.31,
2024-02-14,13:24:40.813,0.19,2.42,0.08,1.12,0.14,21.54,0.99,0.21,0.0000,0.0021, 15040,0.73,0.64,99,48,10084.46,4171.65,2595.75,4.83,120.87,0.39,9.71,0.04,1.59,0.03,1.22,0.01,2.93,1.00,0.39,0.0000,0.0013, 23360,0.43,0.01,95,44,2304.23,1450.90,2595.75,3.18,79.41,0.09,2.22,7.20,66.33,0.02,26.45,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.67,0.13,69.91,0.00,100.00,0.00,0.00,0.00,0.00,72.37,52.42,4.56 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.60,2.75,0.22,1.12,0.01,3.37,1.00,0.11,0.0000,0.0022,  3720,19.66,80.34,0.00,0.00,0.00,52,1567.71,569.20,2595.75,5.51,137.71,1.21,30.20,
2024-02-14,13:24:41.813,0.19,2.44,0.08,1.12,0.11,21.82,1.00,0.21,0.0000,0.0022, 15800,0.72,0.63,99,49,10104.74,4138.52,2598.14,4.88,122.08,0.39,9.72,0.04,1.59,0.03,1.22,0.01,2.94,1.00,0.39,0.0000,0.0013, 23000,0.41,0.01,96,43,2307.20,1454.26,2598.14,3.17,79.33,0.09,2.22,7.14,66.29,0.02,26.55,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.57,0.11,70.02,0.00,100.00,0.00,0.00,0.00,0.00,72.39,52.44,4.55 ,4.38 ,0.13 ,0.33 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.42,1.00,0.11,0.0000,0.0022,  4120,19.70,80.30,0.00,0.00,0.00,52,1565.01,570.87,2598.14,5.48,137.07,1.20,30.12,
2024-02-14,13:24:42.814,0.20,2.42,0.08,1.12,0.14,21.85,0.99,0.21,0.0000,0.0022, 16080,0.72,0.62,99,49,10136.24,4189.06,2597.83,4.84,120.98,0.39,9.75,0.04,1.58,0.03,1.22,0.01,2.92,1.00,0.39,0.0000,0.0013, 23280,0.41,0.01,95,43,2307.31,1464.66,2597.83,3.15,78.77,0.09,2.22,7.23,66.21,0.01,26.55,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.58,0.16,69.95,0.00,100.00,0.00,0.00,0.00,0.00,72.45,52.48,4.56 ,4.38 ,0.30 ,0.33 ,3.00,3.00,0.61,2.78,0.22,1.12,0.01,3.41,1.00,0.10,0.0000,0.0022,  4160,19.71,80.29,0.00,0.00,0.00,51,1585.96,571.02,2597.83,5.55,138.87,1.22,30.52,
2024-02-14,13:24:43.814,0.20,2.45,0.08,1.12,0.13,22.14,0.99,0.21,0.0000,0.0022, 16720,0.71,0.62,99,49,10196.95,4167.43,2597.97,4.89,122.34,0.39,9.81,0.04,1.58,0.03,1.22,0.01,2.94,1.00,0.39,0.0000,0.0013, 22800,0.41,0.01,95,43,2303.69,1456.54,2597.97,3.16,79.08,0.09,2.22,7.19,66.43,0.02,26.37,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.64,0.13,69.93,0.00,100.00,0.00,0.00,0.00,0.00,72.64,52.51,4.56 ,4.39 ,0.00 ,0.33 ,3.00,3.00,0.61,2.79,0.22,1.12,0.01,3.45,1.00,0.11,0.0000,0.0022,  4240,19.68,80.32,0.00,0.00,0.00,51,1591.03,570.22,2597.97,5.58,139.51,1.22,30.62,
2024-02-14,13:24:44.813,0.20,2.42,0.08,1.12,0.14,22.07,0.99,0.21,0.0000,0.0022, 15880,0.71,0.62,99,48,10162.43,4201.01,2595.51,4.84,120.95,0.39,9.79,0.04,1.55,0.03,1.21,0.04,3.09,0.99,0.39,0.0000,0.0014, 23040,0.43,0.01,95,42,2257.76,1460.81,2595.51,3.09,77.28,0.09,2.17,7.26,66.73,0.07,25.94,0.00,100.00,0.00,0.00,0.00,0.00,2.32,28.26,0.16,69.26,0.00,100.00,0.00,0.00,0.00,0.00,72.56,52.60,4.54 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.61,2.77,0.22,1.12,0.01,3.45,1.00,0.11,0.0000,0.0022,  3880,19.74,80.26,0.00,0.00,0.00,50,1581.37,571.44,2595.51,5.53,138.37,1.22,30.46,
2024-02-14,13:24:45.814,0.20,2.43,0.08,1.12,0.15,22.22,0.99,0.21,0.0000,0.0022, 17880,0.70,0.61,99,47,10198.29,4190.05,2597.85,4.87,121.70,0.39,9.81,0.04,1.58,0.03,1.22,0.01,3.01,1.00,0.39,0.0000,0.0013, 23040,0.43,0.01,95,42,2295.10,1455.02,2597.85,3.15,78.87,0.09,2.21,7.23,66.45,0.02,26.30,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.56,0.15,69.99,0.00,100.00,0.00,0.00,0.00,0.00,72.67,52.56,4.54 ,4.39 ,0.23 ,0.33 ,3.00,3.00,0.61,2.77,0.22,1.12,0.01,3.46,1.00,0.10,0.0000,0.0022,  4760,19.69,80.31,0.00,0.00,0.00,51,1581.63,570.59,2597.85,5.54,138.59,1.22,30.44,
2024-02-14,13:24:46.814,0.20,2.30,0.09,1.12,0.22,22.17,0.99,0.22,0.0000,0.0022, 18640,0.69,0.63,97,47,10199.51,4432.58,2598.08,4.60,115.05,0.39,9.81,0.04,1.33,0.03,1.19,0.12,3.70,0.97,0.46,0.0001,0.0016, 22920,0.52,0.05,91,43,2313.78,1737.61,2598.08,2.66,66.58,0.09,2.23,7.65,67.54,0.12,24.69,0.00,100.00,0.00,0.00,0.00,0.00,2.81,32.14,0.20,64.85,0.00,100.00,0.00,0.00,0.00,0.00,73.24,53.85,4.54 ,4.44 ,0.20 ,0.33 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.41,1.00,0.11,0.0000,0.0022,  4320,19.68,80.32,0.00,0.00,0.00,50,1564.43,570.31,2598.08,5.49,137.16,1.20,30.11,
2024-02-14,13:24:47.814,0.20,2.54,0.08,1.12,0.10,23.73,1.00,0.20,0.0000,0.0023, 19000,0.63,0.58,99,46,10531.89,4153.28,2598.66,5.07,126.79,0.41,10.13,0.04,1.58,0.03,1.22,0.02,2.95,0.99,0.39,0.0000,0.0013, 22360,0.44,0.01,96,43,2299.73,1454.60,2598.66,3.16,79.05,0.09,2.21,7.17,66.19,0.01,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.53,0.17,70.01,0.00,100.00,0.00,0.00,0.00,0.00,73.10,52.63,4.51 ,4.39 ,432073.41 ,335975.72 ,3.00,3.00,0.63,2.86,0.22,1.12,0.01,3.69,1.00,0.11,0.0000,0.0023,  4920,19.73,80.27,0.00,0.00,0.00,50,1637.95,571.73,2598.66,5.73,143.24,1.26,31.52,
