System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core5 (Socket 0)-EXEC,Core5 (Socket 0)-IPC,Core5 (Socket 0)-FREQ,Core5 (Socket 0)-AFREQ,Core5 (Socket 0)-L3MISS,Core5 (Socket 0)-L2MISS,Core5 (Socket 0)-L3HIT,Core5 (Socket 0)-L2HIT,Core5 (Socket 0)-L3MPI,Core5 (Socket 0)-L2MPI,Core5 (Socket 0)-L3OCC,Core5 (Socket 0)-C0res%,Core5 (Socket 0)-C1res%,Core5 (Socket 0)-C3res%,Core5 (Socket 0)-C6res%,Core5 (Socket 0)-C7res%,Core5 (Socket 0)-TEMP,Core5 (Socket 0)-INST,Core5 (Socket 0)-ACYC,Core5 (Socket 0)-TIME(ticks),Core5 (Socket 0)-PhysIPC,Core5 (Socket 0)-PhysIPC%,Core5 (Socket 0)-INSTnom,Core5 (Socket 0)-INSTnom%,-
2024-02-26,16:11:50.004,0.22,2.87,0.08,1.12,0.06,17.71,1.00,0.48,0.0000,0.0015, 16440,0.32,0.49,99,49,11607.33,4047.01,2598.83,5.74,143.41,0.45,11.16,0.03,1.46,0.02,1.22,0.05,3.46,0.99,0.71,0.0000,0.0020, 24440,0.46,0.01,98,47,1735.71,1190.30,2598.83,2.92,72.91,0.07,1.67,6.98,74.49,0.01,18.52,0.00,100.00,0.00,0.00,0.00,0.00,1.87,28.99,0.19,68.94,0.00,100.00,0.00,0.00,0.00,0.00,78.62,51.96,4.42 ,4.48 ,5280139.32 ,5572539.71 ,3.00,3.00,0.64,3.36,0.19,1.12,0.01,2.90,1.00,0.10,0.0000,0.0017,  6040,17.08,82.92,0.00,0.00,0.00,53,1663.55,494.99,2598.83,6.72,168.04,1.28,32.00,
2024-02-26,16:11:51.004,0.15,2.41,0.06,1.12,0.04,25.80,1.00,0.36,0.0000,0.0032, 16560,0.54,0.82,99,49,8012.96,3330.57,2597.68,4.81,120.29,0.31,7.71,0.03,1.45,0.02,1.22,0.03,3.10,0.99,0.41,0.0000,0.0020, 24640,0.80,0.01,98,47,1540.46,1058.90,2597.68,2.91,72.74,0.06,1.48,5.75,76.57,0.02,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.19,0.14,69.99,0.00,100.00,0.00,0.00,0.00,0.00,78.32,51.91,4.58 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.45,2.89,0.16,1.12,0.00,4.25,1.00,0.10,0.0000,0.0037,  5920,13.94,86.06,0.00,0.00,0.00,53,1165.52,403.76,2597.68,5.77,144.33,0.90,22.43,
2024-02-26,16:11:52.004,0.15,2.35,0.06,1.12,0.04,26.55,1.00,0.36,0.0000,0.0034, 16800,0.50,0.77,99,48,7833.56,3337.84,2597.74,4.69,117.34,0.30,7.54,0.03,1.53,0.02,1.22,0.01,3.12,1.00,0.40,0.0000,0.0020, 24320,0.77,0.01,98,47,1569.33,1026.69,2597.74,3.06,76.43,0.06,1.51,5.76,76.54,0.02,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.22,0.14,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.25,51.91,4.56 ,4.52 ,0.00 ,0.00 ,3.00,3.00,0.44,2.78,0.16,1.12,0.00,4.37,1.00,0.10,0.0000,0.0039,  5880,14.04,85.96,0.00,0.00,0.00,52,1130.44,406.92,2597.74,5.56,138.90,0.87,21.76,
2024-02-26,16:11:53.004,0.15,2.31,0.07,1.12,0.05,26.86,1.00,0.36,0.0000,0.0034, 16480,0.48,0.75,99,48,7808.46,3378.20,2597.28,4.62,115.57,0.30,7.52,0.03,1.52,0.02,1.22,0.01,3.22,1.00,0.40,0.0000,0.0021, 23760,0.77,0.01,97,47,1566.49,1028.02,2597.28,3.05,76.19,0.06,1.51,5.83,76.53,0.02,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.39,0.15,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.24,51.98,4.55 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.43,2.75,0.16,1.12,0.01,4.42,1.00,0.10,0.0000,0.0039,  5800,14.13,85.87,0.00,0.00,0.00,52,1123.65,409.34,2597.28,5.49,137.25,0.87,21.63,
2024-02-26,16:11:54.004,0.15,2.33,0.06,1.12,0.06,26.62,1.00,0.36,0.0000,0.0035, 17080,0.46,0.74,99,48,7586.53,3252.26,2597.16,4.67,116.63,0.29,7.30,0.03,1.54,0.02,1.22,0.02,3.16,1.00,0.40,0.0000,0.0020, 24080,0.77,0.01,98,47,1549.53,1003.74,2597.16,3.09,77.19,0.06,1.49,5.61,76.96,0.02,17.41,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.37,0.14,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.28,51.94,4.54 ,4.52 ,0.33 ,0.00 ,3.00,3.00,0.42,2.77,0.15,1.12,0.01,4.37,1.00,0.10,0.0000,0.0040,  6400,13.57,86.43,0.00,0.00,0.00,51,1088.96,393.06,2597.16,5.54,138.52,0.84,20.96,
2024-02-26,16:11:55.005,0.15,2.28,0.06,1.12,0.05,27.65,1.00,0.35,0.0000,0.0036, 17280,0.45,0.72,99,48,7662.86,3359.70,2597.20,4.56,114.04,0.30,7.38,0.03,1.48,0.02,1.22,0.04,3.11,0.99,0.41,0.0000,0.0021, 25160,0.78,0.01,98,47,1496.26,1012.70,2597.20,2.95,73.87,0.06,1.44,5.80,77.55,0.02,16.63,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.92,0.14,69.34,0.00,100.00,0.00,0.00,0.00,0.00,78.53,51.92,4.52 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.42,2.70,0.16,1.12,0.01,4.54,1.00,0.10,0.0000,0.0041,  6040,14.04,85.96,0.00,0.00,0.00,52,1097.72,406.81,2597.20,5.40,134.92,0.85,21.13,
2024-02-26,16:11:56.005,0.15,2.31,0.06,1.12,0.04,28.41,1.00,0.34,0.0000,0.0037, 17400,0.43,0.71,99,46,7745.29,3351.56,2597.32,4.62,115.55,0.30,7.46,0.03,1.49,0.02,1.22,0.01,3.26,1.00,0.40,0.0000,0.0021, 24360,0.78,0.01,98,47,1576.91,1056.37,2597.32,2.99,74.64,0.06,1.52,5.78,76.53,0.02,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.15,0.13,70.04,0.00,100.00,0.00,0.00,0.00,0.00,78.41,51.97,4.53 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.43,2.72,0.16,1.12,0.01,4.66,1.00,0.10,0.0000,0.0042,  6400,14.02,85.98,0.00,0.00,0.00,51,1105.96,406.14,2597.32,5.45,136.16,0.85,21.29,
2024-02-26,16:11:57.005,0.15,2.30,0.06,1.12,0.04,27.62,1.00,0.35,0.0000,0.0037, 17480,0.43,0.71,99,48,7545.73,3285.19,2597.31,4.59,114.84,0.29,7.26,0.03,1.61,0.02,1.23,0.01,3.15,1.00,0.40,0.0000,0.0020, 24560,0.78,0.01,97,46,1579.54,981.42,2597.31,3.22,80.47,0.06,1.52,5.67,76.70,0.03,17.60,0.00,100.00,0.00,0.00,0.00,0.00,1.54,28.25,0.13,70.08,0.00,100.00,0.00,0.00,0.00,0.00,78.31,51.96,4.52 ,4.52 ,0.33 ,0.00 ,3.00,3.00,0.41,2.68,0.15,1.12,0.01,4.54,1.00,0.10,0.0000,0.0042,  6560,13.88,86.12,0.00,0.00,0.00,51,1076.28,402.24,2597.31,5.35,133.79,0.83,20.72,
2024-02-26,16:11:58.005,0.15,2.30,0.06,1.12,0.04,28.01,1.00,0.34,0.0000,0.0037, 17760,0.42,0.70,99,47,7591.17,3300.41,2597.15,4.60,115.00,0.29,7.31,0.03,1.48,0.02,1.22,0.02,3.12,0.99,0.40,0.0000,0.0020, 24200,0.75,0.01,98,46,1550.45,1049.71,2597.15,2.95,73.85,0.06,1.49,5.70,76.63,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.14,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.47,52.00,4.51 ,4.52 ,0.33 ,0.00 ,3.00,3.00,0.42,2.71,0.15,1.12,0.01,4.60,1.00,0.10,0.0000,0.0042,  6160,13.78,86.22,0.00,0.00,0.00,51,1083.31,399.31,2597.15,5.43,135.65,0.83,20.86,
2024-02-26,16:11:59.006,0.15,2.23,0.07,1.12,0.11,27.43,1.00,0.35,0.0000,0.0036, 17480,0.45,0.76,98,47,7644.45,3429.17,2599.70,4.46,111.46,0.29,7.35,0.03,1.41,0.02,1.20,0.09,3.65,0.98,0.42,0.0001,0.0023, 23400,0.85,0.04,95,47,1580.50,1120.12,2599.70,2.82,70.55,0.06,1.52,5.91,77.27,0.06,16.75,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.77,0.25,67.19,0.00,100.00,0.00,0.00,0.00,0.00,78.73,52.78,4.55 ,4.56 ,0.33 ,0.00 ,3.00,3.00,0.42,2.69,0.16,1.12,0.01,4.47,1.00,0.10,0.0000,0.0041,  5720,14.01,85.99,0.00,0.00,0.00,50,1093.16,406.38,2599.70,5.38,134.50,0.84,21.02,
