System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core1 (Socket 0)-EXEC,Core1 (Socket 0)-IPC,Core1 (Socket 0)-FREQ,Core1 (Socket 0)-AFREQ,Core1 (Socket 0)-L3MISS,Core1 (Socket 0)-L2MISS,Core1 (Socket 0)-L3HIT,Core1 (Socket 0)-L2HIT,Core1 (Socket 0)-L3MPI,Core1 (Socket 0)-L2MPI,Core1 (Socket 0)-L3OCC,Core1 (Socket 0)-C0res%,Core1 (Socket 0)-C1res%,Core1 (Socket 0)-C3res%,Core1 (Socket 0)-C6res%,Core1 (Socket 0)-C7res%,Core1 (Socket 0)-TEMP,Core1 (Socket 0)-INST,Core1 (Socket 0)-ACYC,Core1 (Socket 0)-TIME(ticks),Core1 (Socket 0)-PhysIPC,Core1 (Socket 0)-PhysIPC%,Core1 (Socket 0)-INSTnom,Core1 (Socket 0)-INSTnom%,-
2024-02-26,16:11:50.449,0.16,2.38,0.07,1.12,0.05,25.07,1.00,0.37,0.0000,0.0031, 16440,0.57,0.86,99,49,8124.54,3417.20,2599.39,4.76,118.88,0.31,7.81,0.03,1.46,0.02,1.22,0.02,3.08,0.99,0.40,0.0000,0.0020, 24960,0.83,0.02,98,48,1568.17,1075.91,2599.39,2.92,72.88,0.06,1.51,5.89,75.59,0.00,18.51,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.21,0.14,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.16,51.97,4.59 ,4.55 ,1574990.71 ,1592482.86 ,3.00,3.00,0.41,2.56,0.16,1.12,0.00,4.54,1.00,0.42,0.0000,0.0043,   320,14.24,85.76,0.00,0.00,0.00,49,1056.17,412.81,2599.39,5.12,127.93,0.81,20.31,
2024-02-26,16:11:51.449,0.15,2.37,0.07,1.12,0.04,26.19,1.00,0.36,0.0000,0.0033, 16800,0.52,0.80,99,49,8032.18,3389.86,2597.52,4.74,118.47,0.31,7.73,0.03,1.54,0.02,1.22,0.01,3.19,1.00,0.40,0.0000,0.0020, 24480,0.78,0.01,98,47,1582.43,1025.94,2597.52,3.08,77.12,0.06,1.52,5.85,76.51,0.02,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.26,0.15,69.97,0.00,100.00,0.00,0.00,0.00,0.00,78.30,51.90,4.57 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.40,2.51,0.16,1.12,0.00,4.76,1.00,0.41,0.0000,0.0046,   280,14.33,85.67,0.00,0.00,0.00,48,1042.02,415.11,2597.52,5.02,125.51,0.80,20.06,
2024-02-26,16:11:52.449,0.15,2.36,0.06,1.12,0.05,26.21,1.00,0.36,0.0000,0.0034, 17040,0.49,0.76,99,49,7690.70,3255.21,2597.20,4.73,118.13,0.30,7.40,0.03,1.52,0.02,1.22,0.02,3.21,0.99,0.42,0.0000,0.0021, 24400,0.77,0.01,98,47,1545.36,1016.69,2597.20,3.04,76.00,0.06,1.49,5.62,76.71,0.02,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.29,0.14,69.97,0.00,100.00,0.00,0.00,0.00,0.00,78.22,51.94,4.56 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.38,2.51,0.15,1.12,0.00,4.75,1.00,0.41,0.0000,0.0048,   200,13.75,86.25,0.00,0.00,0.00,49,998.29,398.35,2597.20,5.01,125.30,0.77,19.22,
2024-02-26,16:11:53.449,0.15,2.30,0.07,1.12,0.04,27.06,1.00,0.35,0.0000,0.0035, 16880,0.47,0.74,99,48,7787.03,3388.08,2597.29,4.60,114.92,0.30,7.50,0.03,1.50,0.02,1.22,0.01,3.12,1.00,0.40,0.0000,0.0020, 23640,0.77,0.01,97,47,1553.87,1037.60,2597.29,3.00,74.88,0.06,1.50,5.85,76.70,0.01,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.42,0.14,69.80,0.00,100.00,0.00,0.00,0.00,0.00,78.28,51.96,4.55 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.39,2.44,0.16,1.12,0.00,4.91,1.00,0.40,0.0000,0.0048,   200,14.31,85.69,0.00,0.00,0.00,49,1011.95,414.64,2597.29,4.88,122.03,0.78,19.48,
2024-02-26,16:11:54.449,0.15,2.34,0.06,1.12,0.04,28.00,1.00,0.34,0.0000,0.0036, 17040,0.45,0.73,99,49,7822.49,3347.54,2597.32,4.67,116.84,0.30,7.53,0.03,1.54,0.02,1.22,0.01,3.11,1.00,0.41,0.0000,0.0020, 25200,0.77,0.01,98,47,1570.64,1017.71,2597.32,3.09,77.17,0.06,1.51,5.78,76.91,0.02,17.29,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.51,0.14,69.74,0.00,100.00,0.00,0.00,0.00,0.00,78.33,51.95,4.54 ,4.52 ,467121.54 ,0.00 ,3.00,3.00,0.39,2.48,0.16,1.12,0.00,5.08,1.00,0.40,0.0000,0.0050,   240,14.19,85.81,0.00,0.00,0.00,49,1018.94,411.19,2597.32,4.96,123.90,0.78,19.62,
2024-02-26,16:11:55.449,0.15,2.26,0.07,1.12,0.05,27.53,1.00,0.35,0.0000,0.0036, 17080,0.44,0.72,99,48,7687.75,3394.97,2597.18,4.53,113.22,0.30,7.40,0.03,1.51,0.02,1.22,0.04,3.26,0.99,0.40,0.0000,0.0021, 24600,0.79,0.01,97,46,1560.98,1037.13,2597.18,3.01,75.25,0.06,1.50,5.86,77.18,0.03,16.93,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.63,0.15,69.58,0.00,100.00,0.00,0.00,0.00,0.00,78.48,51.93,4.52 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.38,2.44,0.16,1.12,0.00,4.98,1.00,0.40,0.0000,0.0050,   200,14.14,85.86,0.00,0.00,0.00,48,998.59,409.70,2597.18,4.87,121.87,0.77,19.22,
2024-02-26,16:11:56.450,0.15,2.34,0.06,1.12,0.05,27.74,1.00,0.34,0.0000,0.0036, 17960,0.43,0.71,99,48,7607.86,3248.63,2597.24,4.68,117.09,0.29,7.32,0.03,1.54,0.02,1.22,0.02,3.21,0.99,0.41,0.0000,0.0021, 24600,0.78,0.01,98,46,1521.85,989.65,2597.24,3.08,76.89,0.06,1.46,5.61,76.75,0.03,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.29,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.36,51.97,4.52 ,4.53 ,0.30 ,0.33 ,3.00,3.00,0.38,2.46,0.16,1.12,0.00,5.03,1.00,0.40,0.0000,0.0051,   280,13.91,86.09,0.00,0.00,0.00,47,991.55,402.97,2597.24,4.92,123.03,0.76,19.09,
2024-02-26,16:11:57.450,0.15,2.26,0.07,1.12,0.04,28.28,1.00,0.35,0.0000,0.0037, 17600,0.42,0.70,99,48,7669.53,3392.76,2597.56,4.52,113.03,0.30,7.38,0.03,1.47,0.02,1.22,0.01,3.10,1.00,0.40,0.0000,0.0020, 24160,0.77,0.01,97,47,1576.88,1072.98,2597.56,2.94,73.48,0.06,1.52,5.86,76.48,0.02,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.10,0.12,70.08,0.00,100.00,0.00,0.00,0.00,0.00,78.42,51.98,4.52 ,4.52 ,0.30 ,0.33 ,3.00,3.00,0.38,2.41,0.16,1.12,0.00,5.13,1.00,0.40,0.0000,0.0052,   200,14.24,85.76,0.00,0.00,0.00,48,994.07,412.43,2597.56,4.82,120.51,0.77,19.13,
2024-02-26,16:11:58.450,0.15,2.28,0.07,1.12,0.04,28.54,1.00,0.34,0.0000,0.0037, 17360,0.42,0.70,99,47,7702.26,3381.20,2597.31,4.56,113.90,0.30,7.41,0.03,1.55,0.02,1.22,0.01,3.15,1.00,0.40,0.0000,0.0020, 24080,0.75,0.01,98,46,1581.94,1022.60,2597.31,3.09,77.35,0.06,1.52,5.84,76.52,0.01,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.19,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.56,52.02,4.51 ,4.52 ,0.27 ,0.33 ,3.00,3.00,0.39,2.43,0.16,1.12,0.00,5.17,1.00,0.40,0.0000,0.0051,   160,14.33,85.67,0.00,0.00,0.00,48,1007.08,415.10,2597.31,4.85,121.31,0.78,19.39,
2024-02-26,16:11:59.450,0.15,2.25,0.06,1.12,0.11,27.09,1.00,0.36,0.0000,0.0036, 17640,0.45,0.76,98,47,7549.98,3350.58,2597.38,4.51,112.67,0.29,7.27,0.03,1.45,0.02,1.20,0.09,3.55,0.97,0.43,0.0001,0.0023, 23760,0.88,0.04,96,46,1550.80,1071.55,2597.38,2.89,72.36,0.06,1.49,5.78,77.35,0.07,16.80,0.00,100.00,0.00,0.00,0.00,0.00,1.71,30.83,0.27,67.18,0.00,100.00,0.00,0.00,0.00,0.00,78.71,52.73,4.54 ,4.57 ,0.30 ,0.33 ,3.00,3.00,0.37,2.46,0.15,1.12,0.00,4.80,1.00,0.41,0.0000,0.0049,   120,13.67,86.33,0.00,0.00,0.00,47,972.00,395.90,2597.38,4.91,122.76,0.75,18.71,
