System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core2 (Socket 0)-EXEC,Core2 (Socket 0)-IPC,Core2 (Socket 0)-FREQ,Core2 (Socket 0)-AFREQ,Core2 (Socket 0)-L3MISS,Core2 (Socket 0)-L2MISS,Core2 (Socket 0)-L3HIT,Core2 (Socket 0)-L2HIT,Core2 (Socket 0)-L3MPI,Core2 (Socket 0)-L2MPI,Core2 (Socket 0)-L3OCC,Core2 (Socket 0)-C0res%,Core2 (Socket 0)-C1res%,Core2 (Socket 0)-C3res%,Core2 (Socket 0)-C6res%,Core2 (Socket 0)-C7res%,Core2 (Socket 0)-TEMP,Core2 (Socket 0)-INST,Core2 (Socket 0)-ACYC,Core2 (Socket 0)-TIME(ticks),Core2 (Socket 0)-PhysIPC,Core2 (Socket 0)-PhysIPC%,Core2 (Socket 0)-INSTnom,Core2 (Socket 0)-INSTnom%,-
2024-02-26,16:11:50.476,0.16,2.47,0.06,1.12,0.04,25.46,1.00,0.37,0.0000,0.0031, 16920,0.57,0.86,99,49,8271.69,3350.96,2599.18,4.94,123.42,0.32,7.96,0.03,1.54,0.02,1.22,0.04,3.25,0.99,0.42,0.0000,0.0021, 25040,0.83,0.02,98,48,1578.36,1024.83,2599.18,3.08,77.01,0.06,1.52,5.78,75.95,0.01,18.26,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.30,0.16,69.92,0.00,100.00,0.00,0.00,0.00,0.00,78.26,51.97,4.59 ,4.55 ,669039.78 ,672186.31 ,3.00,3.00,0.25,1.54,0.16,1.12,0.01,3.88,1.00,0.19,0.0000,0.0061,  3680,14.25,85.75,0.00,0.00,0.00,54,637.83,413.05,2599.18,3.09,77.21,0.49,12.27,
2024-02-26,16:11:51.476,0.15,2.32,0.07,1.12,0.07,25.66,1.00,0.36,0.0000,0.0033, 16800,0.52,0.80,99,49,7864.84,3390.91,2597.11,4.64,115.97,0.30,7.57,0.03,1.43,0.02,1.21,0.02,3.21,0.99,0.40,0.0000,0.0021, 24560,0.78,0.01,98,47,1537.06,1077.33,2597.11,2.85,71.34,0.06,1.48,5.85,76.51,0.02,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.71,28.16,0.15,69.98,0.00,100.00,0.00,0.00,0.00,0.00,78.30,51.85,4.57 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.23,1.49,0.16,1.12,0.01,3.83,1.00,0.19,0.0000,0.0063,  3640,13.98,86.02,0.00,0.00,0.00,53,603.90,404.86,2597.11,2.98,74.58,0.47,11.63,
2024-02-26,16:11:52.476,0.15,2.41,0.06,1.12,0.03,26.74,1.00,0.36,0.0000,0.0034, 17400,0.49,0.76,99,48,7929.50,3291.31,2596.80,4.82,120.46,0.31,7.63,0.03,1.63,0.02,1.23,0.01,3.18,1.00,0.40,0.0000,0.0020, 24520,0.77,0.01,98,47,1558.28,955.21,2596.80,3.26,81.57,0.06,1.50,5.68,76.65,0.02,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.50,28.41,0.14,69.96,0.00,100.00,0.00,0.00,0.00,0.00,78.22,51.94,4.56 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.24,1.54,0.16,1.12,0.00,3.95,1.00,0.19,0.0000,0.0063,  3680,14.04,85.96,0.00,0.00,0.00,53,624.89,406.60,2596.80,3.07,76.84,0.48,12.03,
2024-02-26,16:11:53.476,0.15,2.30,0.07,1.12,0.04,27.09,1.00,0.35,0.0000,0.0035, 16640,0.47,0.74,99,49,7775.93,3376.73,2596.94,4.61,115.14,0.30,7.49,0.03,1.45,0.02,1.21,0.02,3.11,0.99,0.41,0.0000,0.0020, 23680,0.77,0.01,98,47,1577.48,1090.91,2596.94,2.89,72.30,0.06,1.52,5.83,76.72,0.01,17.45,0.00,100.00,0.00,0.00,0.00,0.00,1.73,28.32,0.14,69.81,0.00,100.00,0.00,0.00,0.00,0.00,78.28,51.97,4.55 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.24,1.54,0.16,1.12,0.00,3.97,1.00,0.19,0.0000,0.0063,  3720,14.08,85.92,0.00,0.00,0.00,52,630.20,407.98,2596.94,3.09,77.23,0.49,12.13,
2024-02-26,16:11:54.476,0.15,2.29,0.07,1.12,0.03,27.80,1.00,0.35,0.0000,0.0036, 16960,0.45,0.73,99,49,7819.12,3414.66,2597.09,4.58,114.49,0.30,7.53,0.03,1.52,0.02,1.22,0.01,3.11,1.00,0.40,0.0000,0.0020, 25280,0.77,0.01,98,47,1578.86,1036.19,2597.09,3.05,76.19,0.06,1.52,5.89,76.80,0.01,17.29,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.49,0.14,69.74,0.00,100.00,0.00,0.00,0.00,0.00,78.33,51.95,4.54 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.25,1.57,0.16,1.12,0.00,4.03,1.00,0.19,0.0000,0.0062,  3840,14.26,85.74,0.00,0.00,0.00,52,646.73,413.03,2597.09,3.13,78.29,0.50,12.45,
2024-02-26,16:11:55.476,0.15,2.33,0.06,1.12,0.06,27.05,1.00,0.35,0.0000,0.0036, 17200,0.44,0.72,99,48,7610.37,3259.90,2596.81,4.67,116.73,0.29,7.33,0.03,1.54,0.02,1.22,0.02,3.25,0.99,0.40,0.0000,0.0022, 24640,0.79,0.01,97,46,1508.85,979.47,2596.81,3.08,77.02,0.06,1.45,5.63,77.42,0.03,16.92,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.72,0.14,69.58,0.00,100.00,0.00,0.00,0.00,0.00,78.48,51.98,4.51 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.25,1.60,0.15,1.12,0.01,3.91,1.00,0.19,0.0000,0.0061,  3800,13.71,86.29,0.00,0.00,0.00,52,636.41,397.25,2596.81,3.20,80.10,0.49,12.25,
2024-02-26,16:11:56.477,0.15,2.27,0.07,1.12,0.04,28.17,1.00,0.34,0.0000,0.0037, 17680,0.43,0.71,99,48,7704.60,3401.32,2599.58,4.53,113.26,0.30,7.41,0.03,1.51,0.02,1.22,0.02,3.16,0.99,0.40,0.0000,0.0020, 24680,0.78,0.01,98,46,1568.33,1037.96,2599.58,3.02,75.55,0.06,1.51,5.87,76.49,0.03,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.20,0.14,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.45,51.97,4.52 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.25,1.58,0.16,1.12,0.01,4.05,1.00,0.19,0.0000,0.0062,  3800,14.17,85.83,0.00,0.00,0.00,52,650.14,410.88,2599.58,3.16,79.12,0.50,12.50,
2024-02-26,16:11:57.477,0.15,2.34,0.06,1.12,0.04,28.63,1.00,0.35,0.0000,0.0037, 17720,0.42,0.70,99,47,7817.44,3335.40,2596.88,4.69,117.19,0.30,7.53,0.03,1.58,0.02,1.23,0.01,3.12,1.00,0.40,0.0000,0.0020, 24240,0.77,0.01,97,46,1584.90,1003.68,2596.88,3.16,78.95,0.06,1.53,5.76,76.58,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.21,0.11,70.10,0.00,100.00,0.00,0.00,0.00,0.00,78.34,51.97,4.52 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.26,1.62,0.16,1.12,0.01,4.09,1.00,0.19,0.0000,0.0061,  3840,14.21,85.79,0.00,0.00,0.00,51,667.05,411.45,2596.88,3.24,81.06,0.51,12.84,
2024-02-26,16:11:58.477,0.15,2.25,0.07,1.12,0.05,28.13,1.00,0.35,0.0000,0.0037, 17160,0.42,0.70,99,47,7587.71,3377.68,2596.73,4.49,112.32,0.29,7.30,0.03,1.45,0.02,1.21,0.01,3.14,1.00,0.40,0.0000,0.0020, 24120,0.75,0.01,98,46,1548.64,1071.37,2596.73,2.89,72.27,0.06,1.49,5.83,76.52,0.01,17.63,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.10,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.50,52.02,4.51 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.25,1.61,0.16,1.12,0.01,4.01,1.00,0.19,0.0000,0.0061,  3760,14.02,85.98,0.00,0.00,0.00,51,652.25,406.10,2596.73,3.21,80.31,0.50,12.56,
2024-02-26,16:11:59.477,0.15,2.28,0.07,1.12,0.10,27.35,1.00,0.36,0.0000,0.0035, 17480,0.45,0.76,98,47,7743.28,3395.19,2596.75,4.56,114.03,0.30,7.45,0.03,1.48,0.02,1.21,0.11,3.90,0.97,0.45,0.0001,0.0025, 23960,0.88,0.04,96,47,1575.50,1063.70,2596.75,2.96,74.06,0.06,1.52,5.86,77.27,0.07,16.81,0.00,100.00,0.00,0.00,0.00,0.00,1.70,31.09,0.27,66.94,0.00,100.00,0.00,0.00,0.00,0.00,78.71,52.80,4.54 ,4.57 ,480588.27 ,0.00 ,3.00,3.00,0.24,1.55,0.16,1.12,0.01,3.89,1.00,0.20,0.0000,0.0062,  3920,13.97,86.03,0.00,0.00,0.00,51,628.47,404.66,2596.75,3.11,77.65,0.48,12.10,
