System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-13,10:00:38.657,0.23,2.41,0.10,1.12,0.13,19.39,0.99,0.43,0.0000,0.0016, 18000,0.63,0.55,99,48,12078.19,5016.18,2599.87,4.82,120.39,0.46,11.61,0.04,1.48,0.03,1.22,0.05,3.30,0.99,0.61,0.0000,0.0015, 23280,0.39,0.01,97,47,2271.83,1534.10,2599.87,2.96,74.04,0.09,2.18,8.65,72.51,0.07,18.77,0.00,100.00,0.00,0.00,0.00,0.00,2.43,28.29,0.25,69.03,0.00,100.00,0.00,0.00,0.00,0.00,76.50,52.22,4.48 ,4.39 ,2280757.76 ,2327478.22 ,3.00,3.00,0.64,2.75,0.23,1.12,0.01,2.82,1.00,0.08,0.0000,0.0017,  4280,21.00,79.00,0.00,0.00,0.00,52,1674.82,609.02,2599.87,5.50,137.50,1.29,32.21,
2024-02-13,10:00:39.656,0.21,2.29,0.09,1.12,0.13,21.40,0.99,0.40,0.0000,0.0020, 18760,0.73,0.63,99,49,10831.47,4721.30,2595.91,4.59,114.71,0.42,10.43,0.04,1.55,0.03,1.22,0.02,3.05,0.99,0.39,0.0000,0.0013, 23800,0.44,0.01,96,46,2277.54,1472.02,2595.91,3.09,77.36,0.09,2.19,8.15,73.70,0.02,18.13,0.00,100.00,0.00,0.00,0.00,0.00,2.33,27.54,0.17,69.96,0.00,100.00,0.00,0.00,0.00,0.00,76.55,52.09,4.56 ,4.37 ,0.03 ,0.10 ,3.00,3.00,0.57,2.59,0.22,1.12,0.01,3.12,1.00,0.08,0.0000,0.0021,  4960,19.80,80.20,0.00,0.00,0.00,50,1481.91,573.16,2595.91,5.17,129.28,1.14,28.54,
2024-02-13,10:00:40.656,0.21,2.30,0.09,1.12,0.13,21.54,0.99,0.39,0.0000,0.0020, 19360,0.73,0.63,99,47,10932.59,4755.37,2598.14,4.60,114.95,0.42,10.52,0.04,1.56,0.03,1.22,0.01,2.92,1.00,0.40,0.0000,0.0013, 24120,0.42,0.01,96,46,2288.99,1463.78,2598.14,3.13,78.19,0.09,2.20,8.21,74.34,0.02,17.44,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.55,0.15,69.98,0.00,100.00,0.00,0.00,0.00,0.00,76.88,52.24,4.55 ,4.39 ,48979.48 ,97909.14 ,3.00,3.00,0.58,2.60,0.22,1.12,0.01,3.13,1.00,0.08,0.0000,0.0021,  5080,19.81,80.19,0.00,0.00,0.00,49,1493.91,574.16,2598.14,5.20,130.10,1.15,28.75,
2024-02-13,10:00:41.657,0.22,2.37,0.09,1.12,0.09,27.54,1.00,0.38,0.0000,0.0025, 18960,0.67,0.72,99,47,11187.39,4730.02,2597.70,4.73,118.26,0.43,10.77,0.04,1.52,0.03,1.22,0.01,3.54,1.00,0.41,0.0000,0.0016, 23720,0.56,0.01,97,47,2231.04,1468.85,2597.70,3.04,75.95,0.09,2.15,8.16,74.29,0.01,17.55,0.00,100.00,0.00,0.00,0.00,0.00,2.32,27.41,0.14,70.13,0.00,100.00,0.00,0.00,0.00,0.00,77.80,52.16,4.55 ,4.41 ,0.13 ,0.00 ,3.00,3.00,0.59,2.67,0.22,1.12,0.01,4.02,1.00,0.08,0.0000,0.0026,  4680,19.75,80.25,0.00,0.00,0.00,50,1526.12,572.32,2597.70,5.33,133.33,1.17,29.37,
2024-02-13,10:00:42.657,0.22,2.38,0.09,1.12,0.08,29.16,1.00,0.38,0.0000,0.0026, 19040,0.64,0.73,99,47,11241.91,4728.08,2597.63,4.76,118.88,0.43,10.82,0.04,1.52,0.03,1.22,0.02,3.67,1.00,0.41,0.0000,0.0017, 24200,0.58,0.01,97,46,2224.41,1460.59,2597.63,3.05,76.15,0.09,2.14,8.16,74.28,0.03,17.53,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.54,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,77.99,52.16,4.55 ,4.41 ,0.00 ,0.03 ,3.00,3.00,0.59,2.70,0.22,1.12,0.01,4.26,1.00,0.08,0.0000,0.0028,  4560,19.73,80.27,0.00,0.00,0.00,50,1543.49,571.52,2597.63,5.40,135.03,1.19,29.71,
2024-02-13,10:00:43.657,0.22,2.37,0.09,1.12,0.09,29.44,1.00,0.37,0.0000,0.0026, 19320,0.63,0.71,99,46,11206.31,4722.47,2597.43,4.75,118.65,0.43,10.79,0.04,1.51,0.03,1.21,0.02,3.74,1.00,0.40,0.0000,0.0017, 24040,0.59,0.01,97,45,2222.42,1467.56,2597.43,3.03,75.72,0.09,2.14,8.15,74.53,0.02,17.31,0.00,100.00,0.00,0.00,0.00,0.00,2.33,27.99,0.22,69.47,0.00,100.00,0.00,0.00,0.00,0.00,78.11,52.23,4.54 ,4.42 ,0.33 ,0.37 ,3.00,3.00,0.59,2.69,0.22,1.12,0.01,4.29,1.00,0.08,0.0000,0.0028,  4200,19.75,80.25,0.00,0.00,0.00,49,1538.21,572.26,2597.43,5.38,134.40,1.18,29.61,
2024-02-13,10:00:44.657,0.22,2.36,0.09,1.12,0.09,29.57,1.00,0.37,0.0000,0.0026, 18920,0.62,0.71,99,46,11174.62,4730.41,2597.41,4.72,118.11,0.43,10.76,0.04,1.52,0.03,1.22,0.01,3.69,1.00,0.41,0.0000,0.0017, 24240,0.59,0.01,97,46,2224.27,1461.06,2597.41,3.04,76.12,0.09,2.14,8.16,74.25,0.02,17.57,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.52,0.16,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.10,52.23,4.55 ,4.40 ,0.00 ,0.03 ,3.00,3.00,0.59,2.69,0.22,1.12,0.01,4.31,1.00,0.08,0.0000,0.0028,  4000,19.74,80.26,0.00,0.00,0.00,49,1538.90,571.97,2597.41,5.38,134.53,1.18,29.62,
2024-02-13,10:00:45.657,0.21,2.37,0.09,1.12,0.07,29.82,1.00,0.37,0.0000,0.0027, 18960,0.62,0.70,99,46,11155.40,4704.47,2597.70,4.74,118.56,0.43,10.74,0.04,1.52,0.03,1.22,0.02,3.70,1.00,0.41,0.0000,0.0017, 23920,0.59,0.01,97,45,2230.67,1463.08,2597.70,3.05,76.23,0.09,2.15,8.12,74.21,0.00,17.67,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.44,0.12,70.13,0.00,100.00,0.00,0.00,0.00,0.00,78.21,52.24,4.55 ,4.42 ,0.00 ,0.03 ,3.00,3.00,0.59,2.69,0.22,1.12,0.01,4.35,1.00,0.08,0.0000,0.0028,  4320,19.72,80.28,0.00,0.00,0.00,48,1534.09,571.30,2597.70,5.37,134.26,1.18,29.53,
2024-02-13,10:00:46.658,0.21,2.34,0.09,1.12,0.09,29.80,1.00,0.37,0.0000,0.0027, 19600,0.61,0.70,99,46,11122.63,4758.70,2597.28,4.67,116.87,0.43,10.71,0.04,1.50,0.03,1.21,0.01,3.63,1.00,0.41,0.0000,0.0016, 23800,0.57,0.01,97,45,2231.18,1489.50,2597.28,3.00,74.90,0.09,2.15,8.21,74.16,0.01,17.62,0.00,100.00,0.00,0.00,0.00,0.00,2.36,27.99,0.14,69.51,0.00,100.00,0.00,0.00,0.00,0.00,78.18,52.45,4.54 ,4.41 ,0.00 ,0.03 ,3.00,3.00,0.58,2.66,0.22,1.12,0.01,4.34,1.00,0.08,0.0000,0.0029,  4120,19.70,80.30,0.00,0.00,0.00,49,1516.71,570.77,2597.28,5.31,132.87,1.17,29.20,
