System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core5 (Socket 0)-EXEC,Core5 (Socket 0)-IPC,Core5 (Socket 0)-FREQ,Core5 (Socket 0)-AFREQ,Core5 (Socket 0)-L3MISS,Core5 (Socket 0)-L2MISS,Core5 (Socket 0)-L3HIT,Core5 (Socket 0)-L2HIT,Core5 (Socket 0)-L3MPI,Core5 (Socket 0)-L2MPI,Core5 (Socket 0)-L3OCC,Core5 (Socket 0)-C0res%,Core5 (Socket 0)-C1res%,Core5 (Socket 0)-C3res%,Core5 (Socket 0)-C6res%,Core5 (Socket 0)-C7res%,Core5 (Socket 0)-TEMP,Core5 (Socket 0)-INST,Core5 (Socket 0)-ACYC,Core5 (Socket 0)-TIME(ticks),Core5 (Socket 0)-PhysIPC,Core5 (Socket 0)-PhysIPC%,Core5 (Socket 0)-INSTnom,Core5 (Socket 0)-INSTnom%,-
2024-02-13,10:00:38.781,0.21,2.26,0.09,1.12,0.13,21.31,0.99,0.40,0.0000,0.0020, 17200,0.72,0.62,99,48,10886.63,4811.12,2599.28,4.53,113.14,0.42,10.47,0.04,1.56,0.03,1.22,0.03,2.97,0.99,0.40,0.0000,0.0013, 23320,0.45,0.01,97,47,2259.06,1447.62,2599.28,3.12,78.03,0.09,2.17,8.30,72.70,0.06,18.94,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.70,0.18,69.84,0.00,100.00,0.00,0.00,0.00,0.00,76.20,52.13,4.54 ,4.39 ,478858.53 ,480514.35 ,3.00,3.00,0.62,2.75,0.22,1.12,0.01,3.41,1.00,0.11,0.0000,0.0021,  4760,20.06,79.94,0.00,0.00,0.00,51,1600.64,581.47,2599.28,5.51,137.64,1.23,30.79,
2024-02-13,10:00:39.781,0.21,2.30,0.09,1.12,0.12,21.69,0.99,0.40,0.0000,0.0020, 18560,0.73,0.63,99,48,11035.65,4790.54,2598.26,4.61,115.18,0.42,10.62,0.04,1.57,0.03,1.22,0.02,3.03,0.99,0.40,0.0000,0.0013, 23800,0.44,0.01,96,46,2289.40,1455.51,2598.26,3.15,78.65,0.09,2.20,8.27,73.60,0.02,18.12,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.49,0.16,70.06,0.00,100.00,0.00,0.00,0.00,0.00,76.63,52.12,4.57 ,4.38 ,0.03 ,0.13 ,3.00,3.00,0.62,2.76,0.22,1.12,0.01,3.47,1.00,0.11,0.0000,0.0022,  4480,20.06,79.94,0.00,0.00,0.00,51,1604.24,581.47,2598.26,5.52,137.95,1.23,30.87,
2024-02-13,10:00:40.782,0.21,2.31,0.09,1.12,0.14,21.81,0.99,0.39,0.0000,0.0020, 19320,0.73,0.63,99,48,11102.29,4810.99,2598.22,4.62,115.38,0.43,10.68,0.04,1.58,0.03,1.22,0.01,2.91,1.00,0.40,0.0000,0.0013, 24000,0.42,0.01,96,46,2287.58,1447.72,2598.22,3.16,79.01,0.09,2.20,8.30,74.24,0.02,17.44,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.59,0.16,69.97,0.00,100.00,0.00,0.00,0.00,0.00,76.90,52.19,4.55 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.62,2.76,0.22,1.12,0.01,3.48,1.00,0.11,0.0000,0.0022,  5320,20.04,79.96,0.00,0.00,0.00,51,1601.27,580.65,2598.22,5.52,137.89,1.23,30.81,
2024-02-13,10:00:41.781,0.22,2.39,0.09,1.12,0.09,28.86,1.00,0.37,0.0000,0.0025, 19400,0.66,0.73,99,48,11456.98,4789.23,2595.56,4.78,119.61,0.44,11.04,0.04,1.54,0.03,1.22,0.02,3.62,0.99,0.41,0.0000,0.0016, 23720,0.58,0.01,97,46,2234.83,1448.77,2595.56,3.09,77.13,0.09,2.15,8.27,74.17,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.44,0.14,70.14,0.00,100.00,0.00,0.00,0.00,0.00,77.85,52.16,4.54 ,4.41 ,0.00 ,0.00 ,3.00,3.00,0.64,2.87,0.22,1.12,0.01,4.68,1.00,0.11,0.0000,0.0028,  5840,20.07,79.93,0.00,0.00,0.00,51,1667.37,581.02,2595.56,5.74,143.49,1.28,32.12,
2024-02-13,10:00:42.781,0.22,2.39,0.09,1.12,0.10,29.46,1.00,0.37,0.0000,0.0026, 18720,0.64,0.72,99,47,11426.23,4788.98,2597.51,4.77,119.30,0.44,11.00,0.04,1.54,0.03,1.22,0.01,3.66,1.00,0.40,0.0000,0.0016, 24240,0.58,0.01,97,46,2230.74,1444.18,2597.51,3.09,77.23,0.09,2.15,8.26,74.17,0.02,17.54,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.58,0.15,69.99,0.00,100.00,0.00,0.00,0.00,0.00,78.00,52.16,4.55 ,4.41 ,0.03 ,0.10 ,3.00,3.00,0.64,2.87,0.22,1.12,0.01,4.77,1.00,0.11,0.0000,0.0029,  5640,20.05,79.95,0.00,0.00,0.00,50,1669.95,580.89,2597.51,5.75,143.74,1.29,32.14,
2024-02-13,10:00:43.781,0.22,2.39,0.09,1.12,0.08,29.67,1.00,0.37,0.0000,0.0026, 19120,0.63,0.71,99,46,11429.46,4774.66,2597.45,4.79,119.69,0.44,11.00,0.04,1.53,0.03,1.22,0.02,3.72,1.00,0.40,0.0000,0.0017, 24000,0.59,0.01,97,46,2220.23,1447.88,2597.45,3.07,76.67,0.09,2.14,8.24,74.44,0.01,17.31,0.00,100.00,0.00,0.00,0.00,0.00,2.29,28.03,0.21,69.47,0.00,100.00,0.00,0.00,0.00,0.00,78.12,52.23,4.54 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.64,2.86,0.22,1.12,0.01,4.81,1.00,0.11,0.0000,0.0029,  5320,20.05,79.95,0.00,0.00,0.00,51,1661.91,581.02,2597.45,5.72,143.02,1.28,31.99,
2024-02-13,10:00:44.782,0.22,2.37,0.09,1.12,0.10,29.91,1.00,0.37,0.0000,0.0026, 18920,0.62,0.70,99,46,11376.83,4804.73,2597.35,4.74,118.39,0.44,10.95,0.04,1.54,0.03,1.22,0.02,3.73,1.00,0.41,0.0000,0.0017, 24080,0.60,0.01,97,46,2228.98,1451.42,2597.35,3.07,76.79,0.09,2.15,8.29,74.13,0.01,17.56,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.54,0.16,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.18,52.23,4.55 ,4.40 ,0.03 ,0.10 ,3.00,3.00,0.64,2.86,0.22,1.12,0.01,4.84,1.00,0.11,0.0000,0.0029,  5560,20.06,79.94,0.00,0.00,0.00,50,1660.06,581.19,2597.35,5.71,142.81,1.28,31.96,
2024-02-13,10:00:45.782,0.22,2.38,0.09,1.12,0.09,30.09,1.00,0.37,0.0000,0.0026, 19400,0.62,0.69,99,47,11373.20,4783.67,2597.67,4.76,118.88,0.44,10.95,0.04,1.54,0.03,1.22,0.02,3.69,1.00,0.41,0.0000,0.0017, 24000,0.59,0.01,97,45,2232.63,1449.73,2597.67,3.08,77.00,0.09,2.15,8.26,74.07,0.00,17.67,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.46,0.13,70.13,0.00,100.00,0.00,0.00,0.00,0.00,78.14,52.24,4.54 ,4.41 ,0.03 ,0.10 ,3.00,3.00,0.64,2.85,0.22,1.12,0.01,4.87,1.00,0.11,0.0000,0.0029,  5920,20.05,79.95,0.00,0.00,0.00,49,1653.51,580.96,2597.67,5.69,142.31,1.27,31.83,
2024-02-13,10:00:46.793,0.22,2.34,0.09,1.12,0.10,30.12,1.00,0.37,0.0000,0.0027, 20880,0.61,0.70,99,46,11328.43,4841.03,2597.85,4.68,117.00,0.44,10.89,0.04,1.50,0.03,1.22,0.02,3.64,1.00,0.41,0.0000,0.0016, 23840,0.57,0.01,96,46,2229.72,1491.06,2597.85,2.99,74.77,0.09,2.15,8.35,74.08,0.00,17.57,0.00,100.00,0.00,0.00,0.00,0.00,2.36,28.00,0.13,69.51,0.00,100.00,0.00,0.00,0.00,0.00,78.19,52.44,4.54 ,4.41 ,0.03 ,0.10 ,3.00,3.00,0.63,2.83,0.22,1.12,0.02,4.88,1.00,0.11,0.0000,0.0030,  5320,20.05,79.95,0.00,0.00,0.00,50,1646.95,581.04,2597.85,5.67,141.72,1.27,31.70,
2024-02-13,10:00:47.782,0.22,2.33,0.09,1.12,0.16,30.57,0.99,0.37,0.0000,0.0027, 19200,0.58,0.69,98,46,11441.80,4920.47,2597.71,4.65,116.27,0.44,11.02,0.04,1.44,0.03,1.20,0.11,4.30,0.97,0.42,0.0001,0.0019, 24560,0.69,0.04,95,45,2245.00,1563.72,2597.71,2.87,71.78,0.09,2.16,8.50,74.48,0.05,16.98,0.00,100.00,0.00,0.00,0.00,0.00,2.50,29.95,0.26,67.29,0.00,100.00,0.00,0.00,0.00,0.00,78.62,52.99,4.51 ,4.45 ,0.00 ,0.00 ,3.00,3.00,0.64,2.87,0.22,1.12,0.01,4.91,1.00,0.11,0.0000,0.0029,  5520,20.05,79.95,0.00,0.00,0.00,49,1665.52,580.79,2597.71,5.74,143.38,1.28,32.06,
