System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core1 (Socket 0)-EXEC,Core1 (Socket 0)-IPC,Core1 (Socket 0)-FREQ,Core1 (Socket 0)-AFREQ,Core1 (Socket 0)-L3MISS,Core1 (Socket 0)-L2MISS,Core1 (Socket 0)-L3HIT,Core1 (Socket 0)-L2HIT,Core1 (Socket 0)-L3MPI,Core1 (Socket 0)-L2MPI,Core1 (Socket 0)-L3OCC,Core1 (Socket 0)-C0res%,Core1 (Socket 0)-C1res%,Core1 (Socket 0)-C3res%,Core1 (Socket 0)-C6res%,Core1 (Socket 0)-C7res%,Core1 (Socket 0)-TEMP,Core1 (Socket 0)-INST,Core1 (Socket 0)-ACYC,Core1 (Socket 0)-TIME(ticks),Core1 (Socket 0)-PhysIPC,Core1 (Socket 0)-PhysIPC%,Core1 (Socket 0)-INSTnom,Core1 (Socket 0)-INSTnom%,-
2024-02-26,14:04:21.216,0.15,2.47,0.06,1.12,0.05,25.05,1.00,0.28,0.0000,0.0033, 12240,0.55,0.82,99,46,7666.92,3106.65,2599.54,4.94,123.40,0.29,7.37,0.04,1.59,0.02,1.19,0.05,3.20,0.98,0.73,0.0000,0.0017, 22880,0.80,0.02,98,43,1925.72,1212.92,2599.54,3.18,79.38,0.07,1.85,5.36,72.27,0.01,22.36,0.00,100.00,0.00,0.00,0.00,0.00,1.96,32.91,0.11,65.01,0.00,100.00,0.00,0.00,0.00,0.00,76.21,55.39,4.59 ,4.55 ,729794.90 ,733708.24 ,3.00,3.00,0.40,2.53,0.16,1.12,0.00,4.58,1.00,0.41,0.0000,0.0045,   360,14.01,85.99,0.00,0.00,0.00,47,1028.01,406.15,2599.54,5.06,126.56,0.79,19.77,
2024-02-26,14:04:22.216,0.15,2.37,0.06,1.12,0.04,26.19,1.00,0.35,0.0000,0.0033, 12200,0.52,0.80,99,46,7866.11,3322.62,2597.56,4.73,118.37,0.30,7.57,0.03,1.49,0.02,1.22,0.01,3.15,1.00,0.40,0.0000,0.0020, 23800,0.78,0.01,98,41,1539.01,1035.08,2597.56,2.97,74.34,0.06,1.48,5.73,76.67,0.02,17.58,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.30,0.15,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.86,52.71,4.57 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.39,2.49,0.16,1.12,0.00,4.78,1.00,0.41,0.0000,0.0047,   320,13.96,86.04,0.00,0.00,0.00,45,1007.99,404.59,2597.56,4.98,124.57,0.78,19.40,
2024-02-26,14:04:23.216,0.15,2.30,0.07,1.12,0.05,27.21,1.00,0.34,0.0000,0.0035, 12560,0.49,0.76,99,45,7803.57,3390.41,2597.13,4.60,115.08,0.30,7.51,0.03,1.41,0.02,1.22,0.01,3.12,1.00,0.40,0.0000,0.0020, 24040,0.77,0.01,98,42,1539.34,1088.83,2597.13,2.83,70.69,0.06,1.48,5.85,76.58,0.02,17.55,0.00,100.00,0.00,0.00,0.00,0.00,1.72,28.28,0.16,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.82,52.81,4.56 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.38,2.44,0.16,1.12,0.00,4.98,1.00,0.40,0.0000,0.0050,   320,14.13,85.87,0.00,0.00,0.00,45,997.78,409.37,2597.13,4.87,121.87,0.77,19.21,
2024-02-26,14:04:24.216,0.15,2.37,0.06,1.12,0.06,27.89,1.00,0.34,0.0000,0.0035, 13480,0.46,0.74,99,45,7860.09,3318.11,2597.24,4.74,118.44,0.30,7.57,0.03,1.58,0.02,1.22,0.02,3.19,1.00,0.41,0.0000,0.0020, 24080,0.77,0.01,98,42,1574.25,998.69,2597.24,3.15,78.82,0.06,1.52,5.73,76.76,0.02,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.49,0.15,69.80,0.00,100.00,0.00,0.00,0.00,0.00,78.87,52.81,4.55 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.39,2.47,0.16,1.12,0.00,5.09,1.00,0.39,0.0000,0.0050,   480,14.12,85.88,0.00,0.00,0.00,45,1009.45,409.04,2597.24,4.94,123.39,0.78,19.43,
2024-02-26,14:04:25.216,0.14,2.27,0.06,1.12,0.05,27.11,1.00,0.34,0.0000,0.0036, 13000,0.45,0.72,99,45,7460.40,3289.34,2597.09,4.54,113.40,0.29,7.18,0.03,1.46,0.02,1.21,0.02,3.07,0.99,0.41,0.0000,0.0020, 24040,0.77,0.01,98,42,1509.47,1031.45,2597.09,2.93,73.17,0.06,1.45,5.68,76.80,0.02,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.47,0.14,69.75,0.00,100.00,0.00,0.00,0.00,0.00,78.89,52.80,4.53 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.37,2.40,0.15,1.12,0.00,4.94,1.00,0.39,0.0000,0.0052,   280,13.74,86.26,0.00,0.00,0.00,45,955.00,397.95,2597.09,4.80,119.99,0.74,18.39,
2024-02-26,14:04:26.217,0.15,2.31,0.07,1.12,0.07,27.83,1.00,0.34,0.0000,0.0036, 13960,0.47,0.77,98,45,7827.31,3393.43,2597.09,4.61,115.33,0.30,7.53,0.03,1.43,0.02,1.20,0.12,3.81,0.97,0.43,0.0001,0.0024, 25280,0.87,0.05,95,42,1610.11,1124.56,2597.09,2.86,71.59,0.06,1.55,5.86,77.98,0.08,16.08,0.00,100.00,0.00,0.00,0.00,0.00,1.80,31.23,0.18,66.79,0.00,100.00,0.00,0.00,0.00,0.00,79.19,53.48,4.55 ,4.57 ,0.33 ,0.33 ,3.00,3.00,0.38,2.42,0.16,1.12,0.00,5.03,1.00,0.40,0.0000,0.0050,   280,14.23,85.77,0.00,0.00,0.00,45,998.73,412.09,2597.09,4.85,121.18,0.77,19.23,
2024-02-26,14:04:27.217,0.15,2.30,0.06,1.12,0.02,29.14,1.00,0.33,0.0000,0.0038, 14640,0.40,0.70,99,45,7651.34,3328.90,2597.24,4.60,114.92,0.29,7.36,0.03,1.53,0.02,1.22,0.02,3.12,0.99,0.40,0.0000,0.0020, 24760,0.82,0.01,98,42,1566.63,1022.92,2597.24,3.06,76.58,0.06,1.51,5.75,76.54,0.01,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.23,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,79.01,52.82,4.49 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.38,2.42,0.16,1.12,0.00,5.33,1.00,0.39,0.0000,0.0054,   280,14.10,85.90,0.00,0.00,0.00,45,986.65,408.48,2597.24,4.83,120.77,0.76,18.99,
2024-02-26,14:04:28.217,0.15,2.28,0.06,1.12,0.05,28.99,1.00,0.34,0.0000,0.0038, 15080,0.39,0.69,99,43,7574.10,3320.17,2597.25,4.56,114.06,0.29,7.29,0.03,1.53,0.02,1.22,0.02,3.19,0.99,0.41,0.0000,0.0021, 24680,0.79,0.01,98,41,1535.84,1002.82,2597.25,3.06,76.58,0.06,1.48,5.73,76.57,0.01,17.69,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.27,0.13,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.94,52.84,4.49 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.38,2.41,0.16,1.12,0.00,5.27,1.00,0.39,0.0000,0.0054,   280,14.00,86.00,0.00,0.00,0.00,43,976.48,405.65,2597.25,4.81,120.36,0.75,18.80,
2024-02-26,14:04:29.217,0.14,2.27,0.06,1.12,0.07,28.90,1.00,0.33,0.0000,0.0038, 15240,0.39,0.69,99,44,7512.98,3313.52,2596.97,4.53,113.37,0.29,7.23,0.03,1.50,0.02,1.22,0.01,3.09,1.00,0.40,0.0000,0.0020, 24560,0.77,0.01,98,41,1535.25,1021.08,2596.97,3.01,75.18,0.06,1.48,5.72,76.59,0.02,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.19,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,79.08,52.85,4.51 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.37,2.37,0.16,1.12,0.00,5.24,1.00,0.39,0.0000,0.0055,   280,13.93,86.07,0.00,0.00,0.00,44,957.98,403.54,2596.97,4.75,118.70,0.74,18.44,
2024-02-26,14:04:30.217,0.15,2.24,0.07,1.12,0.04,29.48,1.00,0.33,0.0000,0.0039, 15080,0.38,0.68,99,43,7581.33,3380.72,2597.06,4.49,112.13,0.29,7.30,0.03,1.49,0.02,1.22,0.02,3.25,0.99,0.41,0.0000,0.0021, 24400,0.76,0.01,98,42,1568.80,1052.34,2597.06,2.98,74.54,0.06,1.51,5.84,76.45,0.05,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.23,0.15,69.96,0.00,100.00,0.00,0.00,0.00,0.00,79.08,52.87,4.49 ,4.53 ,436024.38 ,338961.26 ,3.00,3.00,0.37,2.37,0.16,1.12,0.00,5.37,1.00,0.39,0.0000,0.0055,   360,14.17,85.83,0.00,0.00,0.00,43,973.23,410.47,2597.06,4.74,118.55,0.75,18.74,
