SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  153.90,  202.48,  562.77,  405.87,  716.66,  608.35,2062904627, 1325.02,  219.24,    6.78,  222.84,    9.92,  442.09,   16.69,2063333079,  458.78,   1158.75,    625.05,   1783.80
  155.08,  206.96,  571.55,  414.60,  726.64,  621.56,2133957791, 1348.20,  216.08,    2.10,  219.44,    5.40,  435.52,    7.50,2133911878,  443.02,   1162.16,    629.06,   1791.22
  153.08,  204.81,  566.29,  411.15,  719.37,  615.96,2133338429, 1335.33,  207.24,    1.83,  211.78,    5.12,  419.02,    6.95,2133246309,  425.97,   1138.39,    622.91,   1761.30
  152.27,  203.66,  564.05,  409.08,  716.32,  612.74,2133116633, 1329.06,  201.99,    1.66,  207.26,    4.96,  409.25,    6.61,2133091837,  415.87,   1125.57,    619.36,   1744.93
  151.11,  202.86,  560.09,  407.37,  711.20,  610.22,2133009398, 1321.43,  201.26,    1.85,  205.97,    5.14,  407.23,    6.99,2132868273,  414.22,   1118.43,    617.22,   1735.65
  150.63,  201.68,  558.36,  405.75,  708.99,  607.43,2134993279, 1316.43,  209.68,    3.44,  212.74,    6.74,  422.42,   10.17,2134967367,  432.59,   1131.41,    617.61,   1749.02
  157.37,  223.12,  575.74,  431.58,  733.10,  654.69,2132854652, 1387.80,  226.15,    8.93,  229.30,   12.25,  455.45,   21.18,2132931500,  476.63,   1188.55,    675.87,   1864.42
  122.61,  196.57,  459.97,  371.10,  582.57,  567.66,2132900723, 1150.23,  232.56,    6.39,  235.61,    9.65,  468.17,   16.04,2132882577,  484.21,   1050.74,    583.70,   1634.44
  116.57,  185.92,  441.97,  354.96,  558.54,  540.88,2132817672, 1099.41,  216.29,    1.99,  219.49,    5.27,  435.78,    7.27,2132829060,  443.05,    994.32,    548.15,   1542.47
  116.94,  185.30,  443.91,  355.08,  560.86,  540.37,2134892327, 1101.23,  208.67,    1.55,  212.12,    4.85,  420.79,    6.40,2134815817,  427.19,    981.65,    546.77,   1528.42
