System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-08,19:35:03.260,0.19,2.63,0.07,1.12,0.05,21.18,1.00,0.44,0.0000,0.0022, 14760,0.38,0.59,99,48,9811.42,3727.41,2599.53,5.26,131.61,0.38,9.43,0.03,1.38,0.02,1.22,0.04,3.03,0.99,0.72,0.0000,0.0019, 23560,0.56,0.01,98,45,1571.89,1138.48,2599.53,2.76,69.03,0.06,1.51,6.43,74.84,0.03,18.70,0.00,100.00,0.00,0.00,0.00,0.00,1.80,28.80,0.16,69.24,0.00,100.00,0.00,0.00,0.00,0.00,78.83,52.38,4.46 ,4.47 ,663300.08 ,666459.16 ,3.00,3.00,0.54,3.05,0.18,1.12,0.00,1.95,1.00,0.11,0.0000,0.0014,   280,15.77,84.23,0.00,0.00,0.00,51,1395.95,457.32,2599.53,6.10,152.62,1.07,26.85,
2024-03-08,19:35:04.261,0.16,2.44,0.06,1.12,0.03,25.86,1.00,0.37,0.0000,0.0032, 16160,0.53,0.81,99,48,8146.09,3336.89,2598.16,4.88,122.06,0.31,7.84,0.03,1.56,0.02,1.22,0.01,3.16,1.00,0.40,0.0000,0.0020, 24160,0.78,0.01,98,45,1580.67,1011.27,2598.16,3.13,78.15,0.06,1.52,5.76,76.62,0.01,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.29,0.16,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.73,52.39,4.56 ,4.50 ,0.00 ,0.03 ,3.00,3.00,0.44,2.79,0.16,1.12,0.00,2.46,1.00,0.12,0.0000,0.0021,   320,14.15,85.85,0.00,0.00,0.00,52,1144.44,410.06,2598.16,5.58,139.54,0.88,22.02,
2024-03-08,19:35:05.261,0.15,2.37,0.06,1.12,0.07,26.17,1.00,0.37,0.0000,0.0033, 16200,0.49,0.78,99,46,7927.12,3340.75,2597.72,4.75,118.64,0.31,7.63,0.03,1.51,0.02,1.22,0.03,3.15,0.99,0.40,0.0000,0.0020, 24240,0.76,0.01,98,45,1554.82,1028.00,2597.72,3.02,75.62,0.06,1.50,5.76,76.63,0.00,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.32,0.13,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.72,52.39,4.55 ,4.50 ,0.13 ,0.10 ,3.00,3.00,0.43,2.71,0.16,1.12,0.00,2.50,1.00,0.12,0.0000,0.0023,   480,14.02,85.98,0.00,0.00,0.00,51,1104.85,407.90,2597.72,5.42,135.43,0.85,21.27,
2024-03-08,19:35:06.261,0.15,2.35,0.06,1.12,0.05,26.79,1.00,0.35,0.0000,0.0034, 16320,0.46,0.74,99,46,7820.60,3329.44,2597.62,4.70,117.45,0.30,7.53,0.03,1.49,0.02,1.22,0.02,3.26,0.99,0.39,0.0000,0.0021, 23720,0.77,0.01,98,45,1559.29,1044.11,2597.62,2.99,74.67,0.06,1.50,5.75,76.74,0.01,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.30,0.13,69.92,0.00,100.00,0.00,0.00,0.00,0.00,78.67,52.35,4.52 ,4.50 ,0.00 ,0.20 ,3.00,3.00,0.42,2.68,0.16,1.12,0.00,2.62,1.00,0.12,0.0000,0.0024,   400,14.00,86.00,0.00,0.00,0.00,51,1086.61,405.53,2597.62,5.36,133.98,0.84,20.92,
2024-03-08,19:35:07.261,0.15,2.32,0.06,1.12,0.05,26.68,1.00,0.36,0.0000,0.0035, 16480,0.45,0.73,99,47,7657.12,3299.19,2597.68,4.64,116.05,0.29,7.37,0.03,1.55,0.02,1.22,0.01,3.03,1.00,0.40,0.0000,0.0020, 22920,0.76,0.01,98,46,1522.11,982.49,2597.68,3.10,77.46,0.06,1.46,5.69,76.90,0.01,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.39,0.13,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.69,52.38,4.52 ,4.49 ,0.00 ,0.03 ,3.00,3.00,0.40,2.61,0.15,1.12,0.00,2.60,1.00,0.12,0.0000,0.0025,   440,13.80,86.20,0.00,0.00,0.00,50,1043.67,399.96,2597.68,5.22,130.47,0.80,20.09,
2024-03-08,19:35:08.262,0.15,2.33,0.06,1.12,0.03,27.64,1.00,0.35,0.0000,0.0035, 16240,0.43,0.71,99,46,7797.10,3340.00,2597.67,4.67,116.72,0.30,7.50,0.03,1.47,0.02,1.21,0.01,3.15,1.00,0.40,0.0000,0.0020, 23760,0.76,0.01,98,45,1577.47,1070.22,2597.67,2.95,73.70,0.06,1.52,5.76,77.20,0.02,17.02,0.00,100.00,0.00,0.00,0.00,0.00,1.70,29.09,0.16,69.05,0.00,100.00,0.00,0.00,0.00,0.00,78.81,52.53,4.52 ,4.50 ,0.33 ,0.03 ,3.00,3.00,0.41,2.62,0.16,1.12,0.00,2.74,1.00,0.13,0.0000,0.0026,   480,14.09,85.91,0.00,0.00,0.00,51,1068.00,408.29,2597.67,5.23,130.79,0.82,20.56,
2024-03-08,19:35:09.261,0.15,2.30,0.06,1.12,0.05,27.80,1.00,0.34,0.0000,0.0036, 16200,0.42,0.71,99,46,7687.70,3339.70,2595.07,4.60,115.10,0.30,7.41,0.03,1.56,0.02,1.23,0.02,3.23,0.99,0.40,0.0000,0.0020, 23360,0.77,0.01,98,45,1580.94,1011.22,2595.07,3.13,78.17,0.06,1.52,5.77,76.64,0.01,17.58,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.24,0.12,70.05,0.00,100.00,0.00,0.00,0.00,0.00,78.66,52.34,4.52 ,4.50 ,0.03 ,0.03 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,2.78,1.00,0.13,0.0000,0.0026,   600,14.12,85.88,0.00,0.00,0.00,50,1064.71,408.63,2595.07,5.21,130.28,0.82,20.51,
2024-03-08,19:35:10.261,0.14,2.29,0.06,1.12,0.06,27.15,1.00,0.36,0.0000,0.0036, 16680,0.41,0.70,99,46,7525.85,3279.72,2597.71,4.59,114.73,0.29,7.24,0.03,1.46,0.02,1.22,0.02,3.17,0.99,0.39,0.0000,0.0021, 22600,0.77,0.01,98,45,1495.56,1025.08,2597.71,2.92,72.95,0.06,1.44,5.66,76.76,0.01,17.57,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.19,0.13,70.06,0.00,100.00,0.00,0.00,0.00,0.00,78.77,52.42,4.50 ,4.51 ,0.00 ,0.03 ,3.00,3.00,0.39,2.55,0.15,1.12,0.01,2.69,1.00,0.13,0.0000,0.0026,   520,13.76,86.24,0.00,0.00,0.00,50,1015.16,398.61,2597.71,5.09,127.34,0.78,19.54,
2024-03-08,19:35:11.261,0.15,2.16,0.07,1.12,0.15,25.68,0.99,0.38,0.0000,0.0033, 16440,0.49,0.83,97,46,7800.59,3606.52,2597.74,4.33,108.15,0.30,7.51,0.03,1.25,0.02,1.20,0.05,3.39,0.98,0.41,0.0000,0.0022, 24640,0.84,0.03,94,45,1537.47,1227.79,2597.74,2.50,62.61,0.06,1.48,6.22,78.26,0.03,15.49,0.00,100.00,0.00,0.00,0.00,0.00,1.98,32.68,0.28,65.06,0.00,100.00,0.00,0.00,0.00,0.00,79.25,53.54,4.55 ,4.53 ,0.00 ,48492.84 ,3.00,3.00,0.42,2.68,0.16,1.12,0.00,2.43,1.00,0.12,0.0000,0.0022,   280,14.06,85.94,0.00,0.00,0.00,50,1090.69,407.34,2597.74,5.36,133.88,0.84,20.99,
