System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-14,13:24:39.476,0.30,2.88,0.10,1.12,0.14,17.95,0.99,0.25,0.0000,0.0012, 12280,0.49,0.43,99,49,15474.16,5382.31,2599.20,5.75,143.75,0.60,14.88,0.05,1.39,0.04,1.21,0.09,3.91,0.98,0.75,0.0000,0.0015, 23720,0.31,0.01,96,44,2595.72,1865.00,2599.20,2.78,69.59,0.10,2.50,9.28,64.68,0.08,25.97,0.00,100.00,0.00,0.00,0.00,0.00,2.95,27.94,0.19,68.92,0.00,100.00,0.00,0.00,0.00,0.00,73.09,52.39,4.37 ,4.38 ,2361782.90 ,2400083.11 ,3.00,3.00,0.87,3.05,0.29,1.12,0.01,2.54,1.00,0.12,0.0000,0.0011,  3400,25.57,74.43,0.00,0.00,0.00,51,2260.68,741.36,2599.20,6.10,152.47,1.74,43.49,
2024-02-14,13:24:40.475,0.19,2.45,0.08,1.12,0.14,21.60,0.99,0.21,0.0000,0.0021, 14160,0.73,0.64,99,48,10122.39,4135.87,2595.47,4.89,122.37,0.39,9.75,0.04,1.56,0.03,1.22,0.02,3.02,1.00,0.40,0.0000,0.0013, 23320,0.44,0.01,95,44,2299.41,1477.15,2595.47,3.11,77.83,0.09,2.21,7.14,66.37,0.02,26.46,0.00,100.00,0.00,0.00,0.00,0.00,2.34,27.63,0.14,69.90,0.00,100.00,0.00,0.00,0.00,0.00,72.27,52.36,4.55 ,4.38 ,0.00 ,0.03 ,3.00,3.00,0.59,2.68,0.22,1.12,0.01,3.08,1.00,0.11,0.0000,0.0020,  4200,19.56,80.44,0.00,0.00,0.00,50,1520.13,566.37,2595.47,5.37,134.20,1.17,29.28,
2024-02-14,13:24:41.476,0.20,2.47,0.08,1.12,0.12,21.80,0.99,0.21,0.0000,0.0021, 15680,0.72,0.63,99,48,10145.17,4104.31,2598.40,4.94,123.59,0.39,9.76,0.04,1.58,0.03,1.22,0.01,3.03,1.00,0.39,0.0000,0.0013, 22880,0.42,0.01,96,45,2301.97,1457.83,2598.40,3.16,78.95,0.09,2.21,7.08,66.37,0.02,26.54,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.53,0.12,70.04,0.00,100.00,0.00,0.00,0.00,0.00,72.48,52.46,4.56 ,4.39 ,0.00 ,48711.70 ,3.00,3.00,0.59,2.71,0.22,1.12,0.01,3.10,1.00,0.12,0.0000,0.0020,  4360,19.55,80.45,0.00,0.00,0.00,51,1536.81,566.57,2598.40,5.42,135.62,1.18,29.57,
2024-02-14,13:24:42.476,0.20,2.47,0.08,1.12,0.13,21.93,0.99,0.21,0.0000,0.0022, 16120,0.72,0.63,99,49,10159.33,4111.92,2598.24,4.94,123.53,0.39,9.78,0.04,1.58,0.03,1.22,0.01,3.04,1.00,0.39,0.0000,0.0013, 23480,0.41,0.01,95,44,2297.36,1453.95,2598.24,3.16,79.00,0.09,2.21,7.09,66.34,0.01,26.56,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.64,0.15,69.92,0.00,100.00,0.00,0.00,0.00,0.00,72.42,52.49,4.56 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.60,2.73,0.22,1.12,0.01,3.11,1.00,0.12,0.0000,0.0020,  4080,19.54,80.46,0.00,0.00,0.00,50,1547.61,566.26,2598.24,5.47,136.65,1.19,29.78,
2024-02-14,13:24:43.476,0.20,2.48,0.08,1.12,0.13,22.13,0.99,0.21,0.0000,0.0022, 16520,0.71,0.62,99,47,10147.84,4092.56,2595.61,4.96,123.98,0.39,9.77,0.04,1.58,0.03,1.22,0.01,3.01,1.00,0.39,0.0000,0.0013, 22880,0.41,0.01,95,43,2287.44,1445.46,2595.61,3.16,79.12,0.09,2.20,7.07,66.48,0.01,26.44,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.67,0.12,69.93,0.00,100.00,0.00,0.00,0.00,0.00,72.46,52.44,4.55 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.13,1.00,0.12,0.0000,0.0020,  4600,19.55,80.45,0.00,0.00,0.00,50,1548.87,566.09,2595.61,5.47,136.81,1.19,29.84,
2024-02-14,13:24:44.477,0.20,2.47,0.08,1.12,0.13,22.26,0.99,0.21,0.0000,0.0022, 16040,0.71,0.61,99,47,10175.73,4122.62,2598.54,4.94,123.41,0.39,9.79,0.04,1.57,0.03,1.22,0.02,3.11,0.99,0.39,0.0000,0.0014, 23320,0.42,0.01,95,44,2289.42,1456.61,2598.54,3.14,78.59,0.09,2.20,7.11,66.83,0.05,26.00,0.00,100.00,0.00,0.00,0.00,0.00,2.30,28.07,0.17,69.46,0.00,100.00,0.00,0.00,0.00,0.00,72.72,52.59,4.55 ,4.40 ,0.33 ,0.27 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.15,1.00,0.12,0.0000,0.0020,  4040,19.55,80.45,0.00,0.00,0.00,50,1553.29,566.61,2598.54,5.48,137.07,1.20,29.89,
2024-02-14,13:24:45.476,0.20,2.49,0.08,1.12,0.12,22.21,0.99,0.21,0.0000,0.0022, 16720,0.70,0.61,99,47,10236.28,4115.88,2596.85,4.97,124.35,0.39,9.85,0.04,1.54,0.03,1.22,0.02,3.02,0.99,0.39,0.0000,0.0013, 23240,0.43,0.01,95,43,2295.70,1489.95,2596.85,3.08,77.04,0.09,2.21,7.11,66.38,0.05,26.47,0.00,100.00,0.00,0.00,0.00,0.00,2.36,27.65,0.15,69.85,0.00,100.00,0.00,0.00,0.00,0.00,72.58,52.53,4.54 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.60,2.75,0.22,1.12,0.01,3.14,1.00,0.12,0.0000,0.0020,  4600,19.55,80.45,0.00,0.00,0.00,49,1559.72,566.21,2596.85,5.51,137.73,1.20,30.03,
2024-02-14,13:24:46.477,0.20,2.37,0.08,1.12,0.21,21.92,0.99,0.22,0.0000,0.0021, 17640,0.72,0.64,97,47,10236.51,4324.17,2597.95,4.73,118.36,0.39,9.85,0.04,1.35,0.03,1.19,0.11,3.72,0.97,0.42,0.0000,0.0016, 22520,0.50,0.05,91,43,2304.06,1707.93,2597.95,2.70,67.45,0.09,2.22,7.46,67.96,0.11,24.47,0.00,100.00,0.00,0.00,0.00,0.00,2.77,32.21,0.19,64.84,0.00,100.00,0.00,0.00,0.00,0.00,73.06,53.92,4.54 ,4.44 ,0.33 ,0.00 ,3.00,3.00,0.59,2.71,0.22,1.12,0.01,3.05,1.00,0.12,0.0000,0.0020,  4080,19.51,80.49,0.00,0.00,0.00,49,1529.96,565.23,2597.95,5.41,135.34,1.18,29.44,
2024-02-14,13:24:47.477,0.20,2.59,0.08,1.12,0.08,23.81,1.00,0.20,0.0000,0.0023, 18240,0.63,0.58,99,47,10540.85,4076.25,2598.08,5.17,129.30,0.41,10.14,0.04,1.59,0.03,1.22,0.02,2.93,0.99,0.40,0.0000,0.0013, 22600,0.45,0.01,96,42,2304.74,1450.97,2598.08,3.18,79.42,0.09,2.22,7.03,66.34,0.02,26.61,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.57,0.16,69.98,0.00,100.00,0.00,0.00,0.00,0.00,73.09,52.62,4.51 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.63,2.90,0.22,1.12,0.00,3.30,1.00,0.12,0.0000,0.0020,  4040,19.57,80.43,0.00,0.00,0.00,49,1644.99,567.14,2598.08,5.80,145.03,1.27,31.66,
