System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-02-26,14:04:19.528,1.32,3.40,0.39,1.12,0.13,16.91,0.99,0.72,0.0000,0.0002, 10480,0.02,0.02,95,46,68487.96,20137.32,2598.65,6.80,170.05,2.64,65.89,0.17,1.32,0.13,1.21,0.13,10.02,0.99,0.90,0.0000,0.0011, 16000,0.02,0.01,89,43,8917.57,6747.21,2598.65,2.64,66.08,0.34,8.58,34.74,43.67,0.01,21.58,0.00,100.00,0.00,0.00,0.00,0.00,10.76,18.34,0.05,70.85,0.00,100.00,0.00,0.00,0.00,0.00,78.86,52.91,3.87 ,4.28 ,1916.12 ,442.76 ,3.00,3.00,3.81,3.85,0.99,1.12,0.00,2.10,1.00,0.12,0.0000,0.0002,   480,88.77,11.23,0.00,0.00,0.00,47,9896.94,2573.12,2598.65,7.69,192.31,7.62,190.42,
2024-02-26,14:04:20.528,0.28,3.20,0.09,1.12,0.06,14.00,1.00,0.28,0.0000,0.0010, 11320,0.16,0.25,99,45,14509.82,4534.89,2597.06,6.40,159.98,0.56,13.97,0.06,1.44,0.04,1.17,0.08,3.66,0.98,0.89,0.0000,0.0012, 22320,0.23,18446744073.71,98,43,3065.61,2122.80,2597.06,2.89,72.21,0.12,2.95,7.83,66.33,0.05,25.79,0.00,100.00,0.00,0.00,0.00,0.00,3.50,36.39,0.17,59.94,0.00,100.00,0.00,0.00,0.00,0.00,75.03,57.49,4.20 ,4.41 ,22796624.68 ,28616182.81 ,3.00,3.00,0.85,3.59,0.24,1.12,0.00,1.64,1.00,0.12,0.0000,0.0007,   480,21.26,78.74,0.00,0.00,0.00,47,2212.93,615.91,2597.06,7.19,179.65,1.70,42.60,
2024-02-26,14:04:21.529,0.15,2.40,0.06,1.12,0.06,25.97,1.00,0.32,0.0000,0.0033, 11400,0.55,0.83,99,46,7895.96,3285.81,2597.63,4.81,120.15,0.30,7.60,0.03,1.58,0.02,1.21,0.02,3.07,0.99,0.61,0.0000,0.0018, 23160,0.81,0.01,98,42,1709.26,1084.15,2597.63,3.15,78.83,0.07,1.65,5.67,74.67,0.02,19.64,0.00,100.00,0.00,0.00,0.00,0.00,1.73,30.21,0.16,67.91,0.00,100.00,0.00,0.00,0.00,0.00,77.71,53.79,4.58 ,4.54 ,469066.25 ,468684.33 ,3.00,3.00,0.44,2.81,0.16,1.12,0.01,3.30,1.00,0.12,0.0000,0.0029,   800,14.19,85.81,0.00,0.00,0.00,47,1153.59,411.17,2597.63,5.61,140.28,0.89,22.20,
2024-02-26,14:04:22.529,0.15,2.36,0.06,1.12,0.03,26.77,1.00,0.35,0.0000,0.0034, 12640,0.51,0.78,99,46,7876.19,3336.24,2597.36,4.72,118.04,0.30,7.58,0.03,1.43,0.02,1.22,0.01,3.17,1.00,0.40,0.0000,0.0021, 24200,0.77,0.01,98,42,1535.57,1075.51,2597.36,2.86,71.39,0.06,1.48,5.76,76.62,0.01,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.26,0.14,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.84,52.73,4.57 ,4.53 ,0.00 ,0.07 ,3.00,3.00,0.44,2.76,0.16,1.12,0.00,3.43,1.00,0.12,0.0000,0.0030,  1040,14.21,85.79,0.00,0.00,0.00,47,1134.66,411.78,2597.36,5.51,137.78,0.87,21.84,
2024-02-26,14:04:23.529,0.15,2.27,0.06,1.12,0.04,26.77,1.00,0.35,0.0000,0.0035, 13080,0.48,0.75,99,46,7662.06,3368.50,2597.52,4.55,113.73,0.29,7.37,0.03,1.46,0.02,1.21,0.02,3.22,0.99,0.40,0.0000,0.0021, 23760,0.77,0.01,98,43,1563.71,1073.02,2597.52,2.91,72.87,0.06,1.51,5.81,76.60,0.02,17.57,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.33,0.13,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.84,52.83,4.56 ,4.53 ,0.33 ,0.23 ,3.00,3.00,0.43,2.72,0.16,1.12,0.00,3.47,1.00,0.12,0.0000,0.0031,  1200,14.02,85.98,0.00,0.00,0.00,47,1104.08,406.25,2597.52,5.44,135.89,0.85,21.25,
2024-02-26,14:04:24.529,0.15,2.33,0.06,1.12,0.04,27.62,1.00,0.34,0.0000,0.0036, 13800,0.46,0.73,99,44,7679.33,3292.99,2597.15,4.66,116.60,0.30,7.39,0.03,1.52,0.02,1.22,0.03,3.16,0.99,0.43,0.0000,0.0020, 24120,0.78,0.01,98,41,1557.64,1023.23,2597.15,3.04,76.11,0.06,1.50,5.68,76.82,0.02,17.47,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.45,0.16,69.77,0.00,100.00,0.00,0.00,0.00,0.00,78.88,52.75,4.55 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.41,2.66,0.16,1.12,0.00,3.49,1.00,0.12,0.0000,0.0032,   920,13.99,86.01,0.00,0.00,0.00,46,1077.57,405.20,2597.15,5.32,132.97,0.83,20.75,
2024-02-26,14:04:25.529,0.15,2.29,0.06,1.12,0.05,27.78,1.00,0.34,0.0000,0.0036, 13960,0.44,0.72,99,45,7727.53,3372.20,2597.13,4.58,114.58,0.30,7.44,0.03,1.48,0.02,1.22,0.02,3.12,0.99,0.41,0.0000,0.0020, 24400,0.77,0.01,98,42,1530.11,1036.54,2597.13,2.95,73.81,0.06,1.47,5.82,76.95,0.01,17.22,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.64,0.13,69.59,0.00,100.00,0.00,0.00,0.00,0.00,78.97,52.80,4.53 ,4.53 ,0.00 ,0.00 ,3.00,3.00,0.42,2.69,0.16,1.12,0.00,3.61,1.00,0.12,0.0000,0.0033,  1200,14.07,85.93,0.00,0.00,0.00,46,1095.00,407.67,2597.13,5.37,134.30,0.84,21.08,
2024-02-26,14:04:26.529,0.15,2.26,0.06,1.12,0.08,27.18,1.00,0.35,0.0000,0.0036, 14240,0.46,0.77,98,45,7593.18,3360.03,2597.08,4.52,112.99,0.29,7.31,0.03,1.50,0.02,1.21,0.08,3.65,0.98,0.42,0.0001,0.0023, 25000,0.89,0.05,95,42,1577.17,1052.74,2597.08,3.00,74.91,0.06,1.52,5.80,77.68,0.08,16.44,0.00,100.00,0.00,0.00,0.00,0.00,1.68,31.13,0.21,66.98,0.00,100.00,0.00,0.00,0.00,0.00,79.15,53.54,4.54 ,4.58 ,0.30 ,0.00 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,3.43,1.00,0.12,0.0000,0.0032,  1320,14.18,85.82,0.00,0.00,0.00,46,1067.68,410.78,2597.08,5.20,129.96,0.82,20.56,
2024-02-26,14:04:27.529,0.15,2.28,0.06,1.12,0.04,28.76,1.00,0.34,0.0000,0.0038, 14880,0.40,0.70,99,45,7579.49,3325.73,2597.40,4.56,113.95,0.29,7.30,0.03,1.47,0.02,1.22,0.02,3.17,0.99,0.40,0.0000,0.0020, 24280,0.81,0.01,98,42,1548.07,1050.23,2597.40,2.95,73.70,0.06,1.49,5.74,76.58,0.01,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.14,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,79.01,52.81,4.49 ,4.54 ,0.00 ,0.33 ,3.00,3.00,0.41,2.64,0.15,1.12,0.00,3.65,1.00,0.13,0.0000,0.0035,  1200,13.82,86.18,0.00,0.00,0.00,46,1055.02,400.38,2597.40,5.27,131.75,0.81,20.31,
2024-02-26,14:04:28.529,0.15,2.26,0.06,1.12,0.04,29.32,1.00,0.33,0.0000,0.0039, 15560,0.39,0.69,99,44,7603.06,3360.73,2597.19,4.52,113.12,0.29,7.32,0.03,1.55,0.02,1.22,0.01,3.07,1.00,0.41,0.0000,0.0020, 24360,0.78,0.01,98,41,1541.85,996.71,2597.19,3.09,77.35,0.06,1.48,5.80,76.49,0.01,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.31,0.13,70.00,0.00,100.00,0.00,0.00,0.00,0.00,79.04,52.86,4.50 ,4.53 ,0.00 ,0.33 ,3.00,3.00,0.41,2.58,0.16,1.12,0.00,3.76,1.00,0.13,0.0000,0.0035,  1560,14.20,85.80,0.00,0.00,0.00,46,1059.47,411.28,2597.19,5.15,128.80,0.82,20.40,
