,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,189.89849588553,185.19070283417,9.677,11180045777.0,11006821457.0,11098731479.0,11200543006.0,10913246059.0,2192871603.0,2160705701.0,2189724313.0,2209718943.0,2162972702.0,8228549.0,8137474.0,8200785.0,8195402.0,8329479.0,8231863.0,8140264.0,8201186.0,8196613.0,8396893.0,4297.0,3181.0,3082.0,3151.0,3272.0,2169824.0,3164375.0,1751626.0,1812090.0,2323197.0,2893599749.0,2893450870.0,2893544591.0,2893462508.0,2893506555.0,2429272.0,3433866.0,1863225.0,1984314.0,2558036.0,3445284697.0,3392916650.0,3424191286.0,3446481974.0,3427328712.0,2114.0,1276.0,1351.0,1163.0,738.0,904398.0,1096999.0,630222.0,678290.0,952029.0,1446705.0,2313229.0,1274859.0,1295433.0,1621677.0
1,514.56836568059,528.33510685561,7.04,11200948366.0,11038020269.0,11130749511.0,11222886856.0,11054215430.0,2183834511.0,2152945928.0,2192965988.0,2211859499.0,2182009120.0,8331906.0,8149267.0,8224508.0,8137317.0,8134047.0,8332010.0,8148860.0,8224293.0,8137749.0,8101315.0,1696.0,635.0,920.0,910.0,820.0,2370230.0,3427219.0,1930658.0,1987065.0,2518017.0,2892468316.0,2892233003.0,2892382209.0,2892268488.0,2892711103.0,2544090.0,3567515.0,2002440.0,2119987.0,2772603.0,3428400019.0,3377660788.0,3407910638.0,3435818008.0,3410001155.0,1445.0,695.0,1070.0,1070.0,736.0,920496.0,1105321.0,635095.0,680451.0,920625.0,1435692.0,2310936.0,1289572.0,1311266.0,1618838.0
2,528.27869707417,528.26797752232,6.624,11180321931.0,11028779112.0,11018957197.0,11116555126.0,10935403957.0,2203495434.0,2174286963.0,2176064909.0,2196382608.0,2164924507.0,8071287.0,8154893.0,8296008.0,8174653.0,8078976.0,8073490.0,8156421.0,8026219.0,8133542.0,8122760.0,900.0,645.0,934.0,750.0,784.0,2400837.0,3435484.0,1942897.0,2003128.0,2576039.0,2892291986.0,2891991760.0,2892375577.0,2892240410.0,2892427536.0,2586151.0,3597037.0,2002067.0,2121797.0,2818137.0,3441447397.0,3391816484.0,3422523930.0,3421283368.0,3424144265.0,938.0,438.0,950.0,963.0,600.0,921953.0,1103794.0,636395.0,676586.0,922101.0,1436968.0,2286527.0,1298890.0,1315896.0,1634398.0
3,528.31320203205,528.33973404671,7.056,11197159517.0,11034041834.0,11030361196.0,10511773562.0,11040007875.0,2205535029.0,2173759421.0,2177362839.0,2075995977.0,2179589512.0,8224876.0,8172603.0,8210008.0,7773734.0,8101906.0,8225711.0,8174850.0,8070779.0,7874362.0,8099050.0,1595.0,815.0,935.0,895.0,935.0,2369241.0,3420556.0,1949289.0,2003989.0,2615961.0,2892316561.0,2892174878.0,2892163468.0,2799189550.0,2892173978.0,2588254.0,3620114.0,2018078.0,2133621.0,2821319.0,3430777303.0,3380839324.0,3408977232.0,3248866007.0,3409154631.0,2310.0,1699.0,1595.0,1888.0,1554.0,910205.0,1090650.0,610914.0,655143.0,919749.0,1447530.0,2324289.0,1278759.0,1289440.0,1581050.0
4,528.30994359864,528.27981261188,7.433,11191116977.0,10839748034.0,10955864831.0,11050483740.0,10969105385.0,2205043129.0,2136083168.0,2166949834.0,2186605591.0,2170034047.0,8293576.0,8040539.0,8231420.0,8236817.0,8054819.0,8259683.0,8003138.0,8075281.0,8168474.0,8052720.0,1307.0,826.0,1157.0,1035.0,843.0,2345335.0,3355153.0,1933890.0,1987664.0,2547160.0,2892081692.0,2836681934.0,2892192378.0,2892188061.0,2892127843.0,2602426.0,3618455.0,2028855.0,2152097.0,2789275.0,3425103025.0,3273425899.0,3404048446.0,3385426893.0,3388459305.0,1175.0,1386.0,941.0,913.0,684.0,908121.0,1096644.0,613514.0,656407.0,908481.0,1441843.0,2298529.0,1283267.0,1296436.0,1559368.0
5,528.19260218421,528.21548403227,6.531,11003613496.0,10844807059.0,10941162175.0,10537481374.0,10950947200.0,2179058372.0,2148370913.0,2164960534.0,2086792124.0,2167607557.0,8083430.0,8006676.0,8179169.0,8180656.0,8249982.0,8167774.0,8050117.0,8172982.0,8177885.0,8245490.0,2003.0,1021.0,1517.0,1540.0,1443.0,2377444.0,3434365.0,1930324.0,1985206.0,2578919.0,2892205135.0,2892026992.0,2892347559.0,2891997309.0,2892360805.0,2573648.0,3620088.0,2018215.0,2138471.0,2800628.0,3445633765.0,3394466089.0,3424303323.0,3433497035.0,3426152266.0,1313.0,500.0,1075.0,738.0,638.0,905707.0,1087251.0,613196.0,659001.0,925688.0,1443866.0,2322174.0,1267654.0,1284528.0,1586658.0
6,528.27993856403,528.2737404235,6.499,11100398409.0,10937029292.0,11029809614.0,11120415339.0,11031524940.0,2193028212.0,2161496735.0,2178231485.0,2189218046.0,2178269564.0,8120728.0,8044196.0,8076427.0,8280859.0,8119116.0,8085344.0,8114500.0,8076931.0,8286984.0,8120363.0,1575.0,760.0,965.0,980.0,1050.0,2364973.0,3409786.0,1919525.0,1969038.0,2510130.0,2891865615.0,2892012488.0,2892190707.0,2892074341.0,2892144652.0,2575407.0,3598742.0,2017146.0,2138620.0,2795533.0,3425958212.0,3374390438.0,3403780431.0,3398852382.0,3423333332.0,1334.0,361.0,1111.0,1167.0,542.0,892075.0,1071777.0,624060.0,663852.0,945638.0,1444101.0,2291361.0,1283680.0,1298284.0,1606814.0
7,528.19171294504,528.20798947546,8.647,9860616263.0,10836189555.0,10948852336.0,10952399794.0,11056279567.0,1937355923.0,2144894438.0,2165457681.0,2172167476.0,2168590215.0,7168194.0,8241787.0,8034169.0,8127306.0,8201956.0,7083588.0,8144560.0,8028209.0,8121654.0,8202359.0,1028.0,633.0,984.0,800.0,878.0,2367871.0,3418874.0,1947996.0,2004190.0,2557125.0,2645632259.0,2892141132.0,2892377940.0,2892245639.0,2892402868.0,2547989.0,3582535.0,2008075.0,2127748.0,2759828.0,3225300697.0,3390944141.0,3423498342.0,3452953273.0,3408232940.0,725.0,275.0,500.0,850.0,763.0,906194.0,1081065.0,622509.0,666873.0,947526.0,1401225.0,2265103.0,1265342.0,1280970.0,1588086.0
8,528.28925272177,528.27906327145,6.825,11103008272.0,10937691277.0,11031409128.0,11128972898.0,11106392912.0,2193307572.0,2161023197.0,2178190407.0,2198013680.0,2176397344.0,8235354.0,8173683.0,8078845.0,8206576.0,8115536.0,8235561.0,8174437.0,8080379.0,8207848.0,8119038.0,1730.0,640.0,1055.0,940.0,700.0,2420007.0,3499158.0,1924224.0,1985897.0,2566370.0,2892139837.0,2891991545.0,2892109085.0,2891789382.0,2892089768.0,2742295.0,3858117.0,2113682.0,2244299.0,2952686.0,3419471695.0,3365456279.0,3399229848.0,3430318135.0,3414473890.0,1651.0,513.0,988.0,763.0,663.0,959769.0,1127158.0,663303.0,690250.0,998726.0,1496452.0,2325076.0,1288716.0,1262865.0,1607365.0
9,549.64995284253,563.17796417249,7.657,10594042660.0,10352341583.0,10378665872.0,10702509969.0,10621787336.0,2099394384.0,2052255799.0,2045113758.0,2119132381.0,2063229266.0,7926542.0,7811601.0,7637457.0,8034478.0,7915325.0,7924387.0,7809343.0,7611475.0,8033956.0,7913500.0,9274.0,4309.0,3416.0,4598.0,2600.0,4341236.0,6235748.0,3612234.0,3738957.0,4725366.0,2891892026.0,2891330564.0,2796434277.0,2891633505.0,2891053611.0,4597480.0,6496566.0,3672678.0,3906106.0,5057137.0,3297943176.0,3221650396.0,3239998396.0,3342909073.0,3237131088.0,10003.0,3557.0,3126.0,4140.0,2473.0,1610888.0,2022121.0,1166662.0,1261071.0,1736221.0,2655111.0,4131172.0,2415183.0,2456470.0,2960843.0
10,1056.6493014702,1056.622072305,18.5,10563612344.0,10350048885.0,10781531125.0,10928282446.0,10669692827.0,2093474151.0,2052533013.0,2093311692.0,2123461110.0,2101153332.0,7962546.0,8034333.0,7814884.0,7992865.0,7812289.0,7963147.0,8033134.0,7815893.0,7994047.0,7811989.0,2217.0,1550.0,1478.0,2547.0,1256.0,4566132.0,6584778.0,3803874.0,3913964.0,4899027.0,2891733199.0,2891986869.0,2892073595.0,2891813031.0,2891970389.0,4881041.0,6919004.0,3848119.0,4080540.0,5310141.0,3315266239.0,3244929992.0,3314145044.0,3357430509.0,3272360658.0,3138.0,800.0,1675.0,1701.0,1313.0,1699320.0,2078812.0,1222000.0,1313761.0,1813218.0,2755628.0,4341645.0,2463975.0,2483642.0,3073614.0
11,1056.4865865995,1056.4591252662,7.959,10692218333.0,10474955269.0,10794935076.0,10937500588.0,10688537536.0,2112925723.0,2071249043.0,2110471347.0,2140839086.0,2104731742.0,7962182.0,7876835.0,8059730.0,8032064.0,7884611.0,7960718.0,7875068.0,8059849.0,8032991.0,7883750.0,2341.0,1200.0,1495.0,1410.0,1340.0,4565448.0,6594682.0,3807642.0,3911634.0,4909776.0,2892030909.0,2891915514.0,2891924749.0,2891967704.0,2891899311.0,4857939.0,6867468.0,3849682.0,4070958.0,5288971.0,3317680230.0,3250113194.0,3301190930.0,3343977653.0,3264520117.0,1764.0,861.0,1367.0,1492.0,1389.0,1773777.0,2166082.0,1236177.0,1321467.0,1829720.0,2776651.0,4385259.0,2546285.0,2560765.0,3083001.0
12,1056.1761664853,1056.2045062989,6.372,10713197150.0,10494877692.0,10785360860.0,10933209993.0,10670305545.0,2100514342.0,2058369953.0,2112141114.0,2142435931.0,2103391179.0,8123855.0,8150578.0,7828307.0,8120833.0,7915526.0,8126720.0,8155669.0,7829319.0,8123890.0,8066775.0,2071.0,1254.0,1837.0,1643.0,1541.0,4628513.0,6689769.0,3840236.0,3939572.0,4925671.0,2891953385.0,2891974283.0,2892126162.0,2891894869.0,2891989476.0,4887496.0,6930638.0,3900832.0,4123746.0,5338493.0,3298118687.0,3230802440.0,3298809589.0,3340996674.0,3262335059.0,1200.0,550.0,1726.0,1113.0,738.0,1762477.0,2150097.0,1232239.0,1322380.0,1839442.0,2798089.0,4436073.0,2534660.0,2548754.0,3095814.0
13,1056.6328792193,1056.6259913654,6.404,10796051604.0,10579959915.0,10783614080.0,10924692348.0,10460319732.0,2112161866.0,2071052519.0,2123639544.0,2153916616.0,2073247926.0,7946182.0,7868572.0,7868385.0,8022612.0,7962094.0,7949202.0,7871037.0,7871264.0,8026432.0,7884102.0,2243.0,2222.0,2190.0,1704.0,1555.0,4590654.0,6656685.0,3787207.0,3899477.0,4903823.0,2892119690.0,2891938338.0,2891991549.0,2891963862.0,2891943675.0,4876768.0,6920984.0,3872104.0,4101694.0,5292083.0,3317749786.0,3249845997.0,3318509109.0,3362030724.0,3282625841.0,1783.0,804.0,1663.0,1751.0,1146.0,1761727.0,2144181.0,1244241.0,1331942.0,1840820.0,2780000.0,4437500.0,2518291.0,2532867.0,3112616.0
14,1056.5634426904,1056.5836206529,8.147,10788582888.0,10568295296.0,10787969457.0,10924539326.0,10574507160.0,2099156290.0,2057795369.0,2124877616.0,2154224063.0,2086920947.0,8037622.0,7950299.0,7975583.0,8004457.0,7885266.0,8039587.0,7953462.0,7975709.0,8005403.0,7962375.0,2341.0,1340.0,1971.0,1610.0,1831.0,4623592.0,6686632.0,3804305.0,3910845.0,4885083.0,2892086386.0,2891905839.0,2891946767.0,2891837322.0,2891715317.0,4882984.0,6930145.0,3891581.0,4116041.0,5349430.0,3294869210.0,3227106287.0,3295509240.0,3337801213.0,3257041387.0,1973.0,1056.0,1653.0,1667.0,945.0,1770452.0,2168278.0,1231043.0,1321559.0,1791906.0,2786707.0,4458506.0,2546883.0,2562560.0,3085717.0
15,1056.6176020913,1056.6079432764,12.678,10791280834.0,10580789721.0,10688062999.0,10821533846.0,10482978454.0,2126281098.0,2085642838.0,2110823976.0,2139427554.0,2075344460.0,7920941.0,8030958.0,7870254.0,8076467.0,7946150.0,7921832.0,8032406.0,8152279.0,8031496.0,7870640.0,1478.0,834.0,1673.0,1256.0,1095.0,4615776.0,6639230.0,3825848.0,3917927.0,4954935.0,2892119853.0,2891970677.0,2892014713.0,2891943976.0,2892025591.0,4938895.0,6995018.0,3914158.0,4130697.0,5421228.0,3314507183.0,3248767231.0,3317790858.0,3359896409.0,3278564405.0,1163.0,888.0,1150.0,1075.0,963.0,1787514.0,2177368.0,1247159.0,1332545.0,1828782.0,2824844.0,4531033.0,2562658.0,2567379.0,3115985.0
16,1056.6869430446,1056.6629519907,6.246,10785241423.0,10572681628.0,10700061407.0,10837610908.0,10591009526.0,2125896818.0,2084831810.0,2111605697.0,2141240654.0,2091553151.0,7964211.0,7876354.0,7874939.0,8027760.0,7972610.0,7964970.0,7878045.0,7874645.0,8029087.0,7970774.0,2131.0,1030.0,1495.0,1555.0,1075.0,4583408.0,6623816.0,3799290.0,3900339.0,4914920.0,2892039612.0,2891964759.0,2891969415.0,2891955546.0,2892081737.0,4866591.0,6891027.0,3873035.0,4101066.0,5353878.0,3300834144.0,3234043553.0,3301029482.0,3344680688.0,3264081255.0,2075.0,2226.0,2392.0,2077.0,1800.0,1753685.0,2144503.0,1216537.0,1299946.0,1781358.0,2784375.0,4454793.0,2514344.0,2531972.0,3015405.0
17,1056.4390411837,1056.4426672297,6.72,10780003616.0,10566327636.0,10589202878.0,10733392049.0,10489983495.0,2124603995.0,2084149970.0,2095867671.0,2124875186.0,2076253197.0,7950177.0,7876894.0,8017052.0,7977856.0,7843213.0,7908742.0,7833524.0,7870772.0,8023984.0,7841551.0,3733.0,1837.0,1954.0,3829.0,1294.0,4602109.0,6641149.0,3819259.0,3918669.0,4928195.0,2891844469.0,2891851091.0,2891859047.0,2891895041.0,2891788083.0,4871966.0,6898915.0,3870916.0,4092252.0,5366682.0,3296177661.0,3230000255.0,3297743703.0,3340343604.0,3260186998.0,1653.0,962.0,1789.0,1385.0,1117.0,1767940.0,2168482.0,1227161.0,1317817.0,1824238.0,2821144.0,4486068.0,2544518.0,2572563.0,3075953.0
18,1056.5891097553,1056.5824696265,8.877,10592379670.0,10378333398.0,10595272634.0,10729260334.0,10477817958.0,2097996312.0,2057131228.0,2096904774.0,2126021451.0,2075315541.0,8312300.0,7833960.0,8008041.0,7977405.0,7951463.0,7947828.0,7878268.0,8008766.0,7978655.0,7951399.0,2537.0,1541.0,3116.0,1778.0,1813.0,4659876.0,6711601.0,3846971.0,3960096.0,4945668.0,2892065208.0,2891818685.0,2891908577.0,2891925171.0,2891835564.0,4940802.0,6993132.0,3899948.0,4119797.0,5372274.0,3309264318.0,3241606589.0,3315731281.0,3358753006.0,3281142203.0,1707.0,909.0,1401.0,875.0,1051.0,1934899.0,2374267.0,1335250.0,1431642.0,1960691.0,3066539.0,4860291.0,2798853.0,2817859.0,3339315.0
19,1099.9227334178,1127.3404857788,6.775,9935292839.0,9674697630.0,10116713167.0,10262380916.0,9733732458.0,1964836637.0,1914762729.0,1996718015.0,2029427831.0,1922370767.0,7669280.0,7771029.0,7709149.0,7770804.0,7516794.0,7888129.0,7722185.0,7708682.0,7770916.0,7516325.0,3736.0,2131.0,3162.0,2892.0,1966.0,8631784.0,12036176.0,7197370.0,7377569.0,9084789.0,2891720943.0,2891436960.0,2891666463.0,2891471388.0,2891775462.0,8993495.0,12399051.0,7337038.0,7777386.0,9669409.0,3076404023.0,2988352912.0,3122870793.0,3164719047.0,3020138511.0,2403.0,1070.0,2181.0,1931.0,1390.0,3222529.0,4018990.0,2309608.0,2465324.0,3483650.0,5390285.0,8054322.0,4777510.0,4782197.0,5580190.0
20,2113.1150155593,2110.5159269618,8.34,9907391845.0,9570143526.0,9917656177.0,10056783124.0,9686273151.0,1966421362.0,1899999191.0,1964489804.0,1996287548.0,1896449452.0,7648223.0,7534495.0,7474415.0,7824957.0,7394820.0,7710013.0,7588986.0,7474978.0,7832039.0,7393119.0,13033.0,6041.0,5558.0,6274.0,4194.0,7798738.0,10741474.0,6478456.0,6698656.0,8146341.0,2891699140.0,2891580960.0,2891637997.0,2891352525.0,2891708313.0,8290701.0,11296578.0,6699854.0,7133581.0,8690479.0,3117315515.0,3010192098.0,3124432043.0,3167743595.0,2975374573.0,10268.0,3739.0,4776.0,4814.0,2238.0,2831688.0,3660044.0,2037689.0,2199232.0,3068934.0,5013952.0,7228090.0,4358484.0,4441727.0,4885468.0
21,2112.6496081452,2111.6281791303,19.616,9912487966.0,9660094320.0,10092656098.0,10241027094.0,9813403189.0,1961251705.0,1913325190.0,1992757582.0,2026347438.0,1918684624.0,7663634.0,7649103.0,7520563.0,7760857.0,7498496.0,7666948.0,7651830.0,7525050.0,7764493.0,7500177.0,3049.0,1690.0,3070.0,2425.0,2432.0,8803192.0,12286333.0,7313850.0,7496666.0,9281356.0,2891870136.0,2891743317.0,2891837504.0,2891759033.0,2891788130.0,9265068.0,12793784.0,7520846.0,7959602.0,9999722.0,3056861316.0,2975604544.0,3116269299.0,3158383467.0,3007641567.0,2526.0,1238.0,2213.0,1888.0,1374.0,3258084.0,4061441.0,2344026.0,2513336.0,3483485.0,5420000.0,8058543.0,4817137.0,4813308.0,5672734.0
22,2113.202022242,2109.038914241,6.73,9833074218.0,9569075487.0,10013268388.0,10155582135.0,9829678350.0,1948982451.0,1897515854.0,1980179462.0,2012677588.0,1908993891.0,8059887.0,7748957.0,7481971.0,8053200.0,7461823.0,8061886.0,7752226.0,7482626.0,8056137.0,7478805.0,3249.0,2989.0,3321.0,3026.0,2601.0,8711934.0,12145902.0,7274849.0,7457776.0,9250293.0,2891589864.0,2891658386.0,2891508573.0,2891659889.0,2891588101.0,9288321.0,12813820.0,7418984.0,7848061.0,9763410.0,3056549935.0,2973772889.0,3133856165.0,3178725512.0,2988747418.0,2376.0,1404.0,1904.0,2265.0,2195.0,3285554.0,4102241.0,2380974.0,2542739.0,3481738.0,5392452.0,8006915.0,4838254.0,4846533.0,5728139.0
23,2113.1477575997,2110.1809500212,6.528,9807191436.0,9548093751.0,10213138864.0,10356032345.0,9836630632.0,1945702249.0,1897116460.0,1976923950.0,2009431384.0,1937469091.0,7906441.0,8097041.0,7471551.0,7706924.0,7454574.0,7907345.0,8101051.0,7473073.0,7711409.0,7452903.0,3657.0,2501.0,3106.0,3173.0,2595.0,8743446.0,12201795.0,7322029.0,7502188.0,9115448.0,2892056736.0,2891730235.0,2892063699.0,2891817107.0,2892007697.0,9259020.0,12796655.0,7448893.0,7875280.0,9876231.0,3077831109.0,2995731089.0,3135759597.0,3180577356.0,3013483290.0,2513.0,963.0,2251.0,2176.0,1675.0,3271927.0,4088839.0,2392299.0,2566024.0,3485319.0,5347243.0,7956044.0,4837051.0,4849413.0,5767037.0
24,2113.1960391037,2109.8586939007,8.372,9938308055.0,9681551305.0,10217230242.0,10366946554.0,9823208637.0,1965117399.0,1916171478.0,1996116823.0,2029562056.0,1935636369.0,7794173.0,7649715.0,7530651.0,7769113.0,7505916.0,7795135.0,7649718.0,7531448.0,7771347.0,7506129.0,2756.0,1670.0,2626.0,2461.0,1875.0,8711310.0,12173635.0,7342531.0,7524927.0,9161234.0,2891813492.0,2891770211.0,2891900338.0,2891812486.0,2891778395.0,9167535.0,12650116.0,7434816.0,7851652.0,9818553.0,3060971860.0,2977948399.0,3099777170.0,3143581303.0,2992831488.0,3055.0,2088.0,3642.0,2608.0,3219.0,3386926.0,4221611.0,2393861.0,2557464.0,3495954.0,5380953.0,7996730.0,4963906.0,4969426.0,5765449.0
25,2113.2532568405,2110.1659997816,13.801,9521887680.0,9669549448.0,10206944304.0,10358864659.0,9810729609.0,1848789873.0,1896853091.0,1995139077.0,2028760782.0,1933891580.0,7319091.0,7572238.0,7673756.0,7718003.0,7503649.0,7250780.0,7568478.0,7676884.0,7719092.0,7457235.0,3984.0,2552.0,3708.0,3497.0,2555.0,8744816.0,12275899.0,7317156.0,7491772.0,9118500.0,2648556981.0,2891705457.0,2891879586.0,2891799637.0,2891571571.0,9098215.0,12552716.0,7348611.0,7775689.0,9831793.0,2914332238.0,2976053382.0,3117744972.0,3163958868.0,2993274623.0,2703.0,1331.0,2578.0,2313.0,1775.0,3342196.0,4169907.0,2365549.0,2542404.0,3473016.0,5375311.0,8023230.0,4906886.0,4930902.0,5718229.0
26,2112.9754739286,2110.3679741377,9.581,10031142576.0,9761003356.0,10206860674.0,10362740228.0,9403294627.0,1960678341.0,1911332750.0,2009238941.0,2043829571.0,1864118448.0,7661724.0,7640473.0,7721499.0,7759830.0,7316140.0,7663474.0,7642097.0,7718931.0,7764235.0,7378952.0,3400.0,2090.0,3415.0,2640.0,3363.0,8859446.0,12383332.0,7314375.0,7494073.0,9230221.0,2891765435.0,2891587279.0,2891567707.0,2891684374.0,2841791395.0,9320336.0,12839138.0,7489936.0,7940023.0,9928825.0,3078087483.0,2995671609.0,3135753498.0,3180855302.0,2960106827.0,2611.0,1438.0,2863.0,2763.0,1401.0,3336987.0,4159863.0,2378333.0,2549178.0,3509942.0,5333076.0,7998653.0,4895805.0,4912686.0,5740483.0
27,2112.9493921996,2109.6713353317,7.862,10037482734.0,9768034217.0,9592569533.0,10361234452.0,9677582184.0,1950871610.0,1900687881.0,1889107447.0,2044590189.0,1912175109.0,7741379.0,7705679.0,7044372.0,7720593.0,7477633.0,7744767.0,7635122.0,6966322.0,7721790.0,7433622.0,3951.0,24881.0,3321.0,2881.0,2341.0,8764077.0,12281549.0,7159369.0,7370553.0,9071375.0,2891995606.0,2891729901.0,2557177881.0,2891706958.0,2891623674.0,9180917.0,12619620.0,7365587.0,7823251.0,9887255.0,3057654357.0,2971789419.0,2779763760.0,3110107953.0,2970680701.0,3598.0,1876.0,4070.0,2986.0,1250.0,3339189.0,4175073.0,2385542.0,2541677.0,3437490.0,5429407.0,8152345.0,4886071.0,4920865.0,5781138.0
28,2113.1203332442,2106.394250824,7.824,10018738819.0,9767535805.0,10063775405.0,10210882712.0,9579726616.0,1976039923.0,1928759715.0,1988454511.0,2022031892.0,1900134988.0,7602031.0,7578718.0,7511630.0,7749239.0,7443944.0,7605569.0,7580572.0,7466441.0,7701643.0,7507008.0,3862.0,2256.0,3145.0,3318.0,2117.0,8720380.0,12164735.0,7254295.0,7423481.0,9076490.0,2891916181.0,2891670891.0,2891841424.0,2891776240.0,2891812051.0,9260621.0,12755639.0,7485768.0,7926475.0,9884945.0,3078055820.0,2996232300.0,3134872581.0,3178119035.0,3010034730.0,2775.0,1525.0,2638.0,2675.0,3188.0,3465501.0,4360610.0,2448266.0,2627314.0,3467779.0,5659713.0,8409128.0,5142120.0,5154598.0,5877684.0
29,2157.7415096222,2180.5480322443,10.906,9441978477.0,9164011464.0,9613325298.0,9764063755.0,9063913424.0,1862110230.0,1810987060.0,1896383913.0,1932252470.0,1790576595.0,7612622.0,7613743.0,7264745.0,7575614.0,7241912.0,7613466.0,7612032.0,7446876.0,7575680.0,7243019.0,4001.0,2441.0,4096.0,3541.0,2521.0,12225740.0,16523629.0,10298834.0,10561895.0,12611176.0,2891721358.0,2891612215.0,2891549906.0,2891494185.0,2891602013.0,12860108.0,17187950.0,10511847.0,11114592.0,13394552.0,2875587266.0,2785424481.0,2962851119.0,3010795399.0,2789672340.0,4013.0,4138.0,2997.0,3901.0,1826.0,4561906.0,5849822.0,3301980.0,3541025.0,4611350.0,7628961.0,10660356.0,6952039.0,6954501.0,7719734.0
30,3164.6019497759,3159.9275538671,13.098,9522399884.0,9197856357.0,9516265563.0,9674309290.0,9007475312.0,1878720019.0,1818031936.0,1881169487.0,1919040929.0,1784684469.0,7545091.0,7465869.0,7255163.0,7542134.0,7207817.0,7490208.0,7410341.0,7304213.0,7594065.0,7202583.0,7412.0,4312.0,6055.0,6124.0,3681.0,11448847.0,15343548.0,9607385.0,9894184.0,11671830.0,2891269077.0,2890963592.0,2891418738.0,2891119279.0,2890367196.0,12073518.0,16046823.0,9921239.0,10524368.0,12660129.0,2897992901.0,2793383118.0,2956564713.0,3006238445.0,2785423228.0,6587.0,3139.0,4265.0,4500.0,2613.0,4229477.0,5498854.0,3072496.0,3316864.0,4369154.0,7261662.0,9971354.0,6571060.0,6618014.0,7224048.0
31,3163.5983904526,3158.8988551617,10.928,9317698690.0,8336461572.0,9425085310.0,9580686423.0,8976790487.0,1849886265.0,1660215032.0,1867573233.0,1904870955.0,1780758469.0,7623536.0,7088734.0,7227731.0,7488951.0,7204048.0,7537094.0,7014962.0,7239219.0,7503082.0,7202596.0,7423.0,4773.0,6047.0,6367.0,4101.0,11129477.0,14821287.0,9436846.0,9724263.0,11434028.0,2891655698.0,2715168311.0,2891020243.0,2891385320.0,2891263248.0,11473579.0,15057785.0,9403176.0,10031407.0,11943475.0,2948155798.0,2665553279.0,2980592886.0,3028766742.0,2834906665.0,7599.0,3811.0,4264.0,4951.0,2764.0,4092664.0,5373450.0,2962811.0,3195781.0,4235779.0,7071444.0,9557226.0,6441357.0,6498261.0,6969005.0
32,3163.2819369086,3158.7482657111,11.866,9338975991.0,9057244561.0,9614667556.0,9761540617.0,9064666973.0,1848904388.0,1796585487.0,1896728572.0,1932853193.0,1790724791.0,7469825.0,7452979.0,7278718.0,7585169.0,7240633.0,7424665.0,7410751.0,7276756.0,7586528.0,7244142.0,4746.0,3101.0,4554.0,3777.0,2691.0,12107127.0,16356842.0,10165136.0,10412016.0,12423904.0,2891808195.0,2891632669.0,2891619406.0,2891495164.0,2891561990.0,12783280.0,17114537.0,10490070.0,11114209.0,13318300.0,2872469812.0,2784704985.0,2963898684.0,3007761013.0,2806993185.0,3640.0,1598.0,3460.0,2543.0,1834.0,4430420.0,5674759.0,3254648.0,3474640.0,4839982.0,7653140.0,10715475.0,6770821.0,6773269.0,7582489.0
33,3163.0652049848,3158.9831974851,7.271,9237957938.0,8959346893.0,9510769684.0,9654538710.0,9054808345.0,1832220508.0,1780138948.0,1881063295.0,1916408843.0,1774011462.0,7417573.0,7406316.0,7220676.0,7702993.0,7182342.0,7467731.0,7453337.0,7221812.0,7708704.0,7180216.0,4962.0,3596.0,4821.0,4468.0,3379.0,12059124.0,16270590.0,10177599.0,10413660.0,12587439.0,2891821502.0,2891574389.0,2891442222.0,2891532640.0,2891611272.0,12758897.0,17044368.0,10399911.0,11001208.0,13220539.0,2894344688.0,2805549545.0,2979912661.0,3027046437.0,2786365577.0,3639.0,1588.0,3263.0,3213.0,1976.0,4468536.0,5741935.0,3236872.0,3481341.0,4738730.0,7621293.0,10629947.0,6820541.0,6863394.0,7606154.0
