System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-26,12:13:13.504,0.30,3.34,0.09,1.12,0.08,6.66,0.99,0.51,0.0000,0.0004, 13480,0.14,0.12,99,45,15581.78,4661.76,2599.39,6.68,167.12,0.60,14.98,0.06,1.37,0.04,1.19,0.06,2.63,0.98,0.92,0.0000,0.0009, 21840,0.09,0.00,96,38,3048.55,2230.29,2599.39,2.73,68.34,0.12,2.93,8.04,65.90,0.05,26.01,0.00,100.00,0.00,0.00,0.00,0.00,3.61,34.04,0.18,62.17,0.00,100.00,0.00,0.00,0.00,0.00,75.12,57.36,4.13 ,4.32 ,1467454.94 ,1486947.32 ,3.00,3.00,0.90,3.62,0.25,1.12,0.00,0.72,1.00,0.83,0.0000,0.0003,   600,22.29,77.71,0.00,0.00,0.00,45,2336.40,646.17,2599.39,7.23,180.79,1.80,44.94,
2024-02-26,12:13:14.505,0.15,2.35,0.06,1.12,0.09,15.37,0.99,0.33,0.0000,0.0020, 15040,0.73,0.64,99,43,7569.88,3223.06,2598.67,4.70,117.43,0.29,7.28,0.04,1.65,0.02,1.20,0.02,2.12,0.99,0.73,0.0000,0.0011, 23640,0.46,0.02,96,37,1928.87,1167.28,2598.67,3.30,82.62,0.07,1.86,5.56,73.83,0.04,20.58,0.00,100.00,0.00,0.00,0.00,0.00,1.88,31.99,0.14,66.00,0.00,100.00,0.00,0.00,0.00,0.00,75.76,55.22,4.57 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.46,2.88,0.16,1.12,0.00,1.74,1.00,0.15,0.0000,0.0015,   640,14.31,85.69,0.00,0.00,0.00,45,1194.22,414.67,2598.67,5.76,144.00,0.92,22.98,
2024-02-26,12:13:15.505,0.15,2.37,0.06,1.12,0.09,15.75,0.99,0.35,0.0000,0.0020, 15840,0.71,0.63,99,43,7758.88,3272.22,2598.06,4.74,118.56,0.30,7.47,0.03,1.58,0.02,1.20,0.02,2.06,0.99,0.66,0.0000,0.0011, 24200,0.44,0.01,96,38,1805.24,1144.62,2598.06,3.15,78.86,0.07,1.74,5.65,74.91,0.01,19.43,0.00,100.00,0.00,0.00,0.00,0.00,1.84,30.53,0.17,67.47,0.00,100.00,0.00,0.00,0.00,0.00,76.59,54.44,4.57 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.47,2.95,0.16,1.12,0.00,1.79,1.00,0.14,0.0000,0.0015,   600,14.34,85.66,0.00,0.00,0.00,45,1226.81,415.52,2598.06,5.90,147.62,0.94,23.61,
2024-02-26,12:13:16.505,0.15,2.37,0.06,1.12,0.08,15.42,0.99,0.40,0.0000,0.0020, 16280,0.71,0.62,99,43,7750.41,3276.37,2595.62,4.73,118.28,0.30,7.46,0.03,1.61,0.02,1.22,0.01,2.09,0.99,0.37,0.0000,0.0013, 24520,0.43,0.01,96,37,1630.32,1012.11,2595.62,3.22,80.54,0.06,1.57,5.66,77.17,0.01,17.16,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.49,0.15,69.76,0.00,100.00,0.00,0.00,0.00,0.00,77.73,53.10,4.55 ,4.39 ,0.00 ,503922.74 ,3.00,3.00,0.46,2.95,0.16,1.12,0.00,1.76,1.00,0.15,0.0000,0.0015,   920,13.94,86.06,0.00,0.00,0.00,45,1190.93,403.47,2595.62,5.90,147.59,0.92,22.94,
2024-02-26,12:13:17.505,0.15,2.35,0.06,1.12,0.08,15.90,1.00,0.39,0.0000,0.0020, 16680,0.70,0.61,99,44,7917.40,3375.20,2598.07,4.69,117.29,0.30,7.62,0.03,1.57,0.02,1.22,0.01,2.09,1.00,0.37,0.0000,0.0013, 24440,0.42,0.01,96,36,1640.71,1042.01,2598.07,3.15,78.73,0.06,1.58,5.82,76.99,0.00,17.18,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.48,0.12,69.76,0.00,100.00,0.00,0.00,0.00,0.00,77.87,53.18,4.55 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.47,2.93,0.16,1.12,0.00,1.82,1.00,0.13,0.0000,0.0015,   680,14.37,85.63,0.00,0.00,0.00,45,1220.11,416.41,2598.07,5.86,146.50,0.94,23.48,
2024-02-26,12:13:18.505,0.15,2.39,0.06,1.12,0.09,16.11,0.99,0.39,0.0000,0.0020, 16840,0.70,0.61,99,42,7998.86,3350.19,2598.13,4.78,119.38,0.31,7.70,0.03,1.58,0.02,1.22,0.01,2.10,0.99,0.37,0.0000,0.0013, 24160,0.42,0.01,96,38,1617.07,1026.48,2598.13,3.15,78.77,0.06,1.56,5.78,77.38,0.02,16.82,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.80,0.13,69.45,0.00,100.00,0.00,0.00,0.00,0.00,78.06,53.16,4.55 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.47,2.98,0.16,1.12,0.00,1.84,1.00,0.14,0.0000,0.0015,   800,14.25,85.75,0.00,0.00,0.00,44,1229.75,412.82,2598.13,5.96,148.95,0.95,23.67,
2024-02-26,12:13:19.505,0.15,2.33,0.06,1.12,0.08,15.78,0.99,0.38,0.0000,0.0020, 17520,0.69,0.60,99,43,7777.80,3333.92,2596.20,4.67,116.65,0.30,7.49,0.03,1.63,0.02,1.22,0.01,2.02,1.00,0.38,0.0000,0.0012, 23560,0.43,0.01,96,37,1619.17,993.31,2596.20,3.26,81.50,0.06,1.56,5.76,77.19,0.02,17.03,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.62,0.17,69.65,0.00,100.00,0.00,0.00,0.00,0.00,77.93,53.06,4.56 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.46,2.92,0.16,1.12,0.00,1.80,1.00,0.14,0.0000,0.0015,  1040,14.22,85.78,0.00,0.00,0.00,44,1202.29,411.72,2596.20,5.84,146.01,0.93,23.15,
2024-02-26,12:13:20.506,0.15,2.41,0.06,1.12,0.07,15.89,1.00,0.35,0.0000,0.0021, 17720,0.69,0.60,99,44,7709.28,3198.30,2598.02,4.82,120.52,0.30,7.42,0.04,1.57,0.02,1.20,0.02,2.09,0.99,0.67,0.0000,0.0012, 24040,0.42,0.01,96,38,1818.69,1159.68,2598.02,3.14,78.41,0.07,1.75,5.52,75.15,0.01,19.32,0.00,100.00,0.00,0.00,0.00,0.00,1.86,30.49,0.12,67.54,0.00,100.00,0.00,0.00,0.00,0.00,76.83,54.53,4.57 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.47,2.98,0.16,1.12,0.00,1.82,1.00,0.13,0.0000,0.0015,   880,14.05,85.95,0.00,0.00,0.00,44,1211.87,407.02,2598.02,5.95,148.87,0.93,23.32,
2024-02-26,12:13:21.510,0.14,1.98,0.07,1.12,0.18,15.15,0.99,0.38,0.0000,0.0020, 19360,0.73,0.66,97,43,7409.99,3736.10,2598.56,3.97,99.17,0.29,7.13,0.03,1.22,0.03,1.18,0.06,2.41,0.98,0.58,0.0000,0.0014, 24840,0.48,0.03,91,38,1669.99,1368.95,2598.56,2.44,61.00,0.06,1.61,6.44,77.77,0.07,15.72,0.00,100.00,0.00,0.00,0.00,0.00,2.24,36.11,0.23,61.42,0.00,100.00,0.00,0.00,0.00,0.00,77.61,55.60,4.59 ,4.41 ,0.33 ,0.00 ,3.01,3.00,0.45,2.84,0.16,1.12,0.00,1.67,1.00,0.13,0.0000,0.0014,   600,14.29,85.71,0.00,0.00,0.00,44,1177.44,414.34,2598.56,5.68,142.08,0.91,22.65,
2024-02-26,12:13:22.505,0.16,2.44,0.06,1.12,0.08,17.52,1.00,0.34,0.0000,0.0022, 19080,0.61,0.58,98,42,8060.31,3306.95,2595.30,4.87,121.87,0.31,7.77,0.04,1.55,0.02,1.19,0.03,2.13,0.99,0.68,0.0000,0.0012, 24040,0.47,0.02,95,37,1836.72,1188.46,2595.30,3.09,77.27,0.07,1.77,5.71,74.40,0.02,19.87,0.00,100.00,0.00,0.00,0.00,0.00,1.92,31.85,0.21,66.02,0.00,100.00,0.00,0.00,0.00,0.00,76.88,54.98,4.50 ,4.41 ,0.33 ,0.00 ,2.99,3.00,0.48,3.02,0.16,1.12,0.00,2.01,1.00,0.12,0.0000,0.0016,   800,14.34,85.66,0.00,0.00,0.00,43,1252.38,415.09,2595.30,6.03,150.86,0.97,24.13,
2024-02-26,12:13:23.506,0.16,2.45,0.06,1.12,0.07,16.95,1.00,0.39,0.0000,0.0021, 18640,0.60,0.57,99,42,8085.73,3297.48,2598.14,4.90,122.60,0.31,7.78,0.03,1.61,0.02,1.22,0.01,2.09,0.99,0.38,0.0000,0.0013, 23040,0.44,0.01,96,36,1629.36,1009.69,2598.14,3.23,80.69,0.06,1.57,5.69,76.71,0.01,17.59,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.60,0.14,69.67,0.00,100.00,0.00,0.00,0.00,0.00,78.75,53.17,4.51 ,4.40 ,0.00 ,0.00 ,3.00,3.00,0.48,3.07,0.16,1.12,0.00,1.95,1.00,0.12,0.0000,0.0016,   880,13.93,86.07,0.00,0.00,0.00,43,1238.23,403.62,2598.14,6.14,153.39,0.95,23.83,
2024-02-26,12:13:24.506,0.16,2.44,0.07,1.12,0.06,17.53,1.00,0.38,0.0000,0.0021, 18320,0.60,0.56,99,42,8285.91,3389.82,2597.91,4.89,122.22,0.32,7.97,0.03,1.55,0.02,1.21,0.01,2.07,0.99,0.40,0.0000,0.0013, 22960,0.43,0.01,96,37,1651.40,1066.51,2597.91,3.10,77.42,0.06,1.59,5.85,77.15,0.01,17.00,0.00,100.00,0.00,0.00,0.00,0.00,1.69,29.14,0.12,69.05,0.00,100.00,0.00,0.00,0.00,0.00,78.94,53.36,4.51 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.48,3.02,0.16,1.12,0.00,2.03,1.00,0.12,0.0000,0.0016,   960,14.40,85.60,0.00,0.00,0.00,44,1259.59,417.35,2597.91,6.04,150.90,0.97,24.24,
2024-02-26,12:13:25.506,0.17,2.64,0.06,1.12,0.06,13.93,1.00,0.40,0.0000,0.0016, 19560,0.55,0.44,99,42,8871.63,3357.23,2595.43,5.29,132.13,0.34,8.55,0.03,1.61,0.02,1.22,0.02,1.81,0.99,0.35,0.0000,0.0011, 23160,0.29,0.01,95,36,1673.78,1039.79,2595.43,3.22,80.49,0.06,1.61,5.80,76.62,0.00,17.58,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.22,0.11,70.02,0.00,100.00,0.00,0.00,0.00,0.00,79.27,53.10,4.43 ,4.35 ,0.33 ,0.33 ,3.00,3.00,0.51,3.23,0.16,1.12,0.00,1.63,1.00,0.13,0.0000,0.0012,   960,14.26,85.74,0.00,0.00,0.00,42,1331.90,412.93,2595.43,6.45,161.28,1.03,25.66,
2024-02-26,12:13:26.506,0.17,2.65,0.06,1.12,0.08,12.79,0.99,0.41,0.0000,0.0014, 19080,0.54,0.42,99,42,8933.62,3374.47,2597.52,5.29,132.37,0.34,8.60,0.03,1.68,0.02,1.22,0.01,1.54,1.00,0.35,0.0000,0.0009, 24280,0.26,0.01,94,37,1666.08,994.10,2597.52,3.35,83.80,0.06,1.60,5.82,76.62,0.01,17.55,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.31,0.11,70.01,0.00,100.00,0.00,0.00,0.00,0.00,79.54,53.15,4.41 ,4.36 ,0.33 ,0.33 ,3.00,3.00,0.52,3.23,0.16,1.12,0.00,1.49,1.00,0.13,0.0000,0.0011,  1000,14.28,85.72,0.00,0.00,0.00,43,1338.51,413.85,2597.52,6.47,161.72,1.03,25.76,
2024-02-26,12:13:27.506,0.17,2.67,0.06,1.12,0.06,12.73,1.00,0.41,0.0000,0.0014, 19720,0.54,0.42,99,42,8877.67,3326.83,2597.99,5.34,133.43,0.34,8.54,0.03,1.38,0.02,1.20,0.01,1.54,0.99,0.36,0.0000,0.0009, 23800,0.26,0.01,94,36,1686.85,1220.12,2597.99,2.77,69.13,0.06,1.62,5.74,77.37,0.00,16.89,0.00,100.00,0.00,0.00,0.00,0.00,1.96,30.76,0.10,67.18,0.00,100.00,0.00,0.00,0.00,0.00,79.86,54.12,4.43 ,4.35 ,0.33 ,0.33 ,3.00,3.00,0.51,3.28,0.16,1.12,0.00,1.49,1.00,0.12,0.0000,0.0011,  1040,13.99,86.01,0.00,0.00,0.00,43,1329.98,405.53,2597.99,6.56,163.98,1.02,25.60,
2024-02-26,12:13:28.506,0.17,2.63,0.06,1.12,0.07,12.87,0.99,0.41,0.0000,0.0015, 19520,0.54,0.42,99,43,8875.29,3372.06,2597.90,5.26,131.60,0.34,8.54,0.03,1.68,0.02,1.22,0.01,1.60,0.99,0.48,0.0000,0.0009, 23360,0.26,0.01,94,36,1716.03,1020.96,2597.90,3.36,84.04,0.07,1.65,5.82,76.18,0.00,17.99,0.00,100.00,0.00,0.00,0.00,0.00,1.61,29.01,0.10,69.28,0.00,100.00,0.00,0.00,0.00,0.00,79.24,53.48,4.42 ,4.36 ,0.33 ,0.33 ,3.00,3.00,0.51,3.21,0.16,1.12,0.00,1.50,1.00,0.13,0.0000,0.0011,   720,14.33,85.67,0.00,0.00,0.00,43,1331.50,415.24,2597.90,6.41,160.33,1.03,25.63,
2024-02-26,12:13:29.507,0.17,2.66,0.06,1.12,0.07,13.00,0.99,0.39,0.0000,0.0015, 19360,0.54,0.42,99,42,8855.11,3331.67,2597.29,5.32,132.89,0.34,8.52,0.03,1.59,0.02,1.20,0.02,1.70,0.99,0.62,0.0000,0.0010, 23760,0.26,0.01,94,36,1761.85,1111.02,2597.29,3.17,79.29,0.07,1.70,5.75,75.91,0.04,18.30,0.00,100.00,0.00,0.00,0.00,0.00,1.78,30.05,0.11,68.07,0.00,100.00,0.00,0.00,0.00,0.00,78.96,54.03,4.43 ,4.36 ,0.28 ,0.17 ,3.00,3.00,0.52,3.25,0.16,1.12,0.00,1.52,1.00,0.13,0.0000,0.0011,   920,14.36,85.64,0.00,0.00,0.00,42,1350.67,415.99,2597.29,6.49,162.34,1.04,26.00,
2024-02-26,12:13:30.507,0.17,2.66,0.06,1.12,0.07,12.61,0.99,0.42,0.0000,0.0014, 19640,0.54,0.42,99,41,8816.89,3315.71,2597.29,5.32,132.96,0.34,8.49,0.03,1.66,0.02,1.22,0.03,1.54,0.98,0.36,0.0000,0.0009, 24120,0.27,0.01,95,36,1654.79,997.32,2597.29,3.32,82.96,0.06,1.59,5.72,76.94,0.01,17.32,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.77,0.12,69.54,0.00,100.00,0.00,0.00,0.00,0.00,79.63,53.24,4.41 ,4.35 ,0.33 ,0.33 ,3.00,3.00,0.51,3.26,0.16,1.12,0.00,1.47,1.00,0.13,0.0000,0.0011,   920,13.99,86.01,0.00,0.00,0.00,43,1319.42,405.34,2597.29,6.51,162.75,1.02,25.40,
2024-02-26,12:13:31.507,0.17,2.63,0.07,1.12,0.07,12.93,0.99,0.41,0.0000,0.0014, 20080,0.54,0.42,99,41,8974.01,3411.98,2597.36,5.26,131.51,0.35,8.64,0.03,1.62,0.02,1.22,0.01,1.62,0.99,0.35,0.0000,0.0010, 24280,0.27,0.01,95,36,1698.02,1046.04,2597.36,3.25,81.16,0.07,1.63,5.89,76.56,0.00,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.18,0.11,70.06,0.00,100.00,0.00,0.00,0.00,0.00,79.64,53.15,4.43 ,4.35 ,0.33 ,0.33 ,3.00,3.00,0.52,3.22,0.16,1.12,0.00,1.51,1.00,0.12,0.0000,0.0011,  1120,14.39,85.61,0.00,0.00,0.00,42,1340.89,416.93,2597.36,6.43,160.81,1.03,25.81,
2024-02-26,12:13:32.507,0.17,2.63,0.07,1.12,0.08,12.48,0.99,0.43,0.0000,0.0014, 20600,0.59,0.45,96,41,8936.55,3393.29,2597.38,5.27,131.68,0.34,8.60,0.03,1.45,0.02,1.20,0.09,2.15,0.96,0.42,0.0001,0.0013, 24360,0.33,0.05,89,36,1699.71,1172.54,2597.38,2.90,72.48,0.07,1.64,5.86,77.26,0.04,16.84,0.00,100.00,0.00,0.00,0.00,0.00,1.89,32.83,0.29,64.99,0.00,100.00,0.00,0.00,0.00,0.00,79.50,54.49,4.47 ,4.39 ,565907.91 ,0.00 ,3.00,3.00,0.52,3.26,0.16,1.12,0.00,1.45,1.00,0.14,0.0000,0.0011,   720,14.24,85.76,0.00,0.00,0.00,43,1346.02,412.46,2597.38,6.53,163.17,1.04,25.91,
