System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-05,09:30:52.373,0.34,3.38,0.10,1.12,0.12,4.02,0.97,0.64,0.0000,0.0002, 16080,0.13,0.07,99,41,17571.32,5192.32,2599.43,6.77,169.20,0.68,16.90,0.05,1.44,0.04,1.19,0.10,2.44,0.96,0.91,0.0000,0.0009, 23000,0.03,0.00,89,35,2851.02,1985.16,2599.43,2.87,71.81,0.11,2.74,8.95,68.09,0.06,22.90,0.00,100.00,0.00,0.00,0.00,0.00,3.20,32.66,0.10,64.04,0.00,100.00,0.00,0.00,0.00,0.00,78.21,56.90,4.17 ,4.30 ,683368.24 ,687862.83 ,3.00,3.00,0.98,3.74,0.26,1.12,0.01,0.44,0.99,0.19,0.0000,0.0002,   320,23.46,76.54,0.00,0.00,0.00,41,2546.14,680.11,2599.43,7.49,187.19,1.96,48.98,
2024-03-05,09:30:53.373,0.19,2.97,0.06,1.12,0.13,5.49,0.98,0.49,0.0000,0.0006, 18400,0.55,0.30,99,40,9833.50,3309.09,2598.19,5.94,148.58,0.38,9.46,0.04,1.70,0.02,1.20,0.02,1.13,0.98,0.72,0.0000,0.0006, 23400,0.11,0.01,90,33,1922.16,1133.30,2598.19,3.39,84.80,0.07,1.85,5.71,74.43,0.03,19.83,0.00,100.00,0.00,0.00,0.00,0.00,1.81,30.25,0.14,67.80,0.00,100.00,0.00,0.00,0.00,0.00,79.40,54.97,4.37 ,4.28 ,0.20 ,0.00 ,3.00,3.00,0.55,3.48,0.16,1.12,0.00,0.63,1.00,0.18,0.0000,0.0004,   600,14.27,85.73,0.00,0.00,0.00,41,1440.87,413.51,2598.19,6.97,174.23,1.11,27.73,
2024-03-05,09:30:54.373,0.19,2.93,0.06,1.12,0.14,5.50,0.97,0.55,0.0000,0.0006, 19160,0.54,0.30,99,40,9837.14,3352.55,2597.82,5.87,146.71,0.38,9.47,0.03,1.68,0.02,1.22,0.01,1.13,0.99,0.31,0.0000,0.0007, 23720,0.11,0.01,90,34,1711.49,1020.49,2597.82,3.35,83.86,0.07,1.65,5.79,76.32,0.02,17.88,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.13,0.13,70.14,0.00,100.00,0.00,0.00,0.00,0.00,80.54,53.79,4.38 ,4.26 ,0.00 ,0.33 ,3.00,3.00,0.54,3.43,0.16,1.12,0.00,0.63,1.00,0.18,0.0000,0.0004,   320,14.16,85.84,0.00,0.00,0.00,42,1407.99,410.41,2597.82,6.86,171.54,1.08,27.10,
2024-03-05,09:30:55.372,0.19,2.87,0.07,1.12,0.14,5.40,0.97,0.57,0.0000,0.0006, 19400,0.55,0.30,99,40,9754.88,3402.61,2595.16,5.73,143.34,0.38,9.40,0.03,1.67,0.02,1.22,0.01,1.15,0.99,0.31,0.0000,0.0007, 23960,0.11,0.01,87,34,1684.72,1007.87,2595.16,3.34,83.58,0.06,1.62,5.88,76.59,0.02,17.51,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.34,0.12,69.95,0.00,100.00,0.00,0.00,0.00,0.00,80.51,53.78,4.36 ,4.28 ,0.00 ,0.03 ,3.00,3.00,0.53,3.39,0.16,1.12,0.00,0.61,1.00,0.18,0.0000,0.0004,   400,14.10,85.90,0.00,0.00,0.00,41,1384.30,408.02,2595.16,6.79,169.64,1.07,26.67,
2024-03-05,09:30:56.373,0.19,2.98,0.06,1.12,0.12,5.51,0.98,0.55,0.0000,0.0005, 19600,0.54,0.30,99,39,10027.35,3369.42,2597.53,5.95,148.80,0.39,9.65,0.03,1.65,0.02,1.22,0.01,1.09,0.99,0.30,0.0000,0.0006, 23840,0.10,0.01,90,34,1737.37,1053.42,2597.53,3.30,82.46,0.07,1.67,5.81,76.46,0.01,17.71,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.40,0.12,69.81,0.00,100.00,0.00,0.00,0.00,0.00,80.60,53.89,4.38 ,4.28 ,0.33 ,0.03 ,3.00,3.00,0.55,3.48,0.16,1.12,0.00,0.63,1.00,0.18,0.0000,0.0004,   440,14.18,85.82,0.00,0.00,0.00,41,1429.84,410.74,2597.53,6.96,174.06,1.10,27.52,
2024-03-05,09:30:57.373,0.18,2.98,0.06,1.12,0.13,5.45,0.98,0.45,0.0000,0.0006, 20440,0.55,0.30,99,40,9585.68,3218.90,2597.38,5.96,148.90,0.37,9.23,0.04,1.75,0.02,1.19,0.01,1.06,0.99,0.82,0.0000,0.0005, 23360,0.10,0.01,88,34,2013.03,1147.34,2597.38,3.51,87.73,0.08,1.94,5.56,73.06,0.05,21.33,0.00,100.00,0.00,0.00,0.00,0.00,1.85,32.34,0.15,65.66,0.00,100.00,0.00,0.00,0.00,0.00,78.42,56.11,4.37 ,4.27 ,0.33 ,0.07 ,3.00,3.00,0.54,3.42,0.16,1.12,0.00,0.63,1.00,0.18,0.0000,0.0004,   440,14.29,85.71,0.00,0.00,0.00,41,1414.01,413.94,2597.38,6.83,170.80,1.09,27.22,
2024-03-05,09:30:58.373,0.19,2.93,0.06,1.12,0.14,5.44,0.98,0.56,0.0000,0.0006, 20560,0.54,0.30,99,39,9800.02,3348.34,2597.47,5.85,146.34,0.38,9.43,0.03,1.65,0.02,1.22,0.02,1.17,0.98,0.41,0.0000,0.0007, 23280,0.11,0.01,90,34,1713.92,1040.60,2597.47,3.29,82.35,0.07,1.65,5.78,76.74,0.02,17.46,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.61,0.15,69.60,0.00,100.00,0.00,0.00,0.00,0.00,80.56,53.95,4.35 ,4.27 ,0.07 ,0.03 ,3.00,3.00,0.54,3.47,0.15,1.12,0.00,0.61,1.00,0.18,0.0000,0.0004,   640,13.88,86.12,0.00,0.00,0.00,40,1396.28,402.07,2597.47,6.95,173.64,1.08,26.88,
2024-03-05,09:30:59.373,0.19,2.93,0.07,1.12,0.13,5.43,0.98,0.55,0.0000,0.0005, 20800,0.55,0.30,99,38,9908.95,3378.96,2597.58,5.87,146.63,0.38,9.54,0.03,1.70,0.02,1.22,0.01,1.09,0.99,0.30,0.0000,0.0006, 23720,0.10,0.01,88,33,1706.36,1003.76,2597.58,3.40,85.00,0.07,1.64,5.83,76.52,0.01,17.63,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.24,0.13,70.05,0.00,100.00,0.00,0.00,0.00,0.00,80.58,53.91,4.38 ,4.29 ,0.23 ,0.00 ,3.00,3.00,0.54,3.41,0.16,1.12,0.00,0.62,1.00,0.18,0.0000,0.0004,   560,14.27,85.73,0.00,0.00,0.00,42,1411.26,413.44,2597.58,6.83,170.67,1.09,27.16,
2024-03-05,09:31:00.374,0.17,2.69,0.06,1.12,0.23,5.36,0.96,0.31,0.0000,0.0006, 22000,0.62,0.36,96,40,9016.52,3348.38,2597.79,5.39,134.64,0.35,8.68,0.05,1.52,0.03,1.16,0.07,1.52,0.96,0.87,0.0000,0.0006, 23800,0.15,0.03,75,33,2403.51,1584.66,2597.79,3.03,75.84,0.09,2.31,5.78,71.55,0.11,22.55,0.00,100.00,0.00,0.00,0.00,0.00,2.63,39.66,0.18,57.53,0.00,100.00,0.00,0.00,0.00,0.00,76.52,59.51,4.42 ,4.31 ,0.00 ,0.00 ,3.00,3.00,0.54,3.42,0.16,1.12,0.00,0.56,1.00,0.18,0.0000,0.0004,   320,14.23,85.77,0.00,0.00,0.00,41,1410.60,412.46,2597.79,6.84,171.00,1.09,27.15,
