System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-05,09:30:52.217,0.41,3.29,0.12,1.12,0.17,4.63,0.96,0.70,0.0000,0.0002, 16800,0.05,0.03,99,41,21201.60,6434.54,2599.87,6.59,164.75,0.82,20.39,0.06,1.35,0.04,1.20,0.10,2.89,0.96,0.90,0.0000,0.0009, 22440,0.01,0.00,85,34,3129.57,2317.05,2599.87,2.70,67.53,0.12,3.01,11.09,67.42,0.05,21.43,0.00,100.00,0.00,0.00,0.00,0.00,3.73,30.94,0.09,65.24,0.00,100.00,0.00,0.00,0.00,0.00,79.22,56.09,4.11 ,4.30 ,922479.35 ,930153.28 ,3.00,3.00,1.20,3.82,0.31,1.12,0.00,0.62,1.00,0.11,0.0000,0.0002,  3000,28.17,71.83,0.00,0.00,0.00,42,3122.38,816.90,2599.87,7.64,191.11,2.40,60.05,
2024-03-05,09:30:53.217,0.19,2.97,0.06,1.12,0.14,5.44,0.97,0.47,0.0000,0.0006, 17640,0.55,0.30,99,40,9661.00,3256.46,2597.89,5.93,148.34,0.37,9.30,0.04,1.67,0.02,1.19,0.03,1.16,0.97,0.80,0.0000,0.0006, 23440,0.12,0.02,90,33,2005.11,1199.42,2597.89,3.34,83.59,0.08,1.93,5.62,73.15,0.03,21.21,0.00,100.00,0.00,0.00,0.00,0.00,1.93,31.56,0.12,66.39,0.00,100.00,0.00,0.00,0.00,0.00,78.53,55.76,4.37 ,4.28 ,0.33 ,0.00 ,3.00,3.00,0.56,3.54,0.16,1.12,0.00,0.79,1.00,0.08,0.0000,0.0005,  3320,14.30,85.70,0.00,0.00,0.00,42,1466.34,414.33,2597.89,7.08,176.95,1.13,28.22,
2024-03-05,09:30:54.217,0.19,2.96,0.07,1.12,0.12,5.54,0.98,0.54,0.0000,0.0006, 19800,0.54,0.30,99,40,10025.67,3392.18,2597.07,5.91,147.78,0.39,9.65,0.03,1.72,0.02,1.22,0.03,1.15,0.97,0.30,0.0000,0.0007, 23760,0.11,0.01,90,33,1696.92,987.18,2597.07,3.44,85.95,0.07,1.63,5.86,76.24,0.02,17.88,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.19,0.15,70.11,0.00,100.00,0.00,0.00,0.00,0.00,80.53,53.78,4.38 ,4.26 ,0.33 ,0.00 ,3.00,3.00,0.57,3.59,0.16,1.12,0.00,0.82,1.00,0.09,0.0000,0.0006,  3920,14.28,85.72,0.00,0.00,0.00,42,1485.17,413.68,2597.07,7.18,179.51,1.14,28.59,
2024-03-05,09:30:55.217,0.19,2.90,0.06,1.12,0.16,5.41,0.97,0.56,0.0000,0.0006, 19520,0.55,0.30,99,40,9733.44,3358.30,2597.02,5.80,144.92,0.37,9.37,0.03,1.64,0.02,1.22,0.01,1.15,0.99,0.31,0.0000,0.0007, 24080,0.11,0.01,87,33,1727.06,1052.94,2597.02,3.28,82.01,0.07,1.66,5.80,76.62,0.02,17.57,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.27,0.12,69.95,0.00,100.00,0.00,0.00,0.00,0.00,80.59,53.78,4.37 ,4.28 ,0.33 ,0.00 ,3.00,3.00,0.56,3.52,0.16,1.12,0.00,0.79,1.00,0.09,0.0000,0.0005,  3920,14.20,85.80,0.00,0.00,0.00,42,1448.87,411.39,2597.02,7.04,176.10,1.12,27.90,
2024-03-05,09:30:56.217,0.19,2.93,0.06,1.12,0.12,5.44,0.98,0.56,0.0000,0.0005, 19360,0.54,0.30,99,40,9891.18,3371.38,2597.11,5.87,146.69,0.38,9.52,0.03,1.69,0.02,1.22,0.01,1.12,0.99,0.30,0.0000,0.0006, 23840,0.10,0.01,89,34,1728.97,1023.89,2597.11,3.38,84.43,0.07,1.66,5.82,76.52,0.01,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.45,0.11,69.83,0.00,100.00,0.00,0.00,0.00,0.00,80.59,53.88,4.38 ,4.28 ,0.33 ,0.00 ,3.00,3.00,0.56,3.60,0.16,1.12,0.00,0.80,1.00,0.08,0.0000,0.0005,  3680,13.98,86.02,0.00,0.00,0.00,41,1459.22,404.97,2597.11,7.21,180.16,1.12,28.09,
2024-03-05,09:30:57.217,0.19,2.97,0.06,1.12,0.14,5.51,0.97,0.49,0.0000,0.0006, 20480,0.55,0.30,99,40,9738.84,3282.49,2597.15,5.93,148.35,0.37,9.37,0.04,1.70,0.02,1.20,0.01,1.07,0.99,0.77,0.0000,0.0006, 23480,0.10,0.01,88,34,1913.43,1125.75,2597.15,3.40,84.98,0.07,1.84,5.67,74.26,0.05,20.02,0.00,100.00,0.00,0.00,0.00,0.00,1.80,30.75,0.14,67.31,0.00,100.00,0.00,0.00,0.00,0.00,79.21,55.32,4.36 ,4.27 ,0.33 ,0.00 ,3.00,3.00,0.57,3.55,0.16,1.12,0.00,0.80,1.00,0.08,0.0000,0.0005,  4000,14.30,85.70,0.00,0.00,0.00,41,1471.11,414.36,2597.15,7.10,177.51,1.13,28.32,
2024-03-05,09:30:58.217,0.19,2.95,0.06,1.12,0.13,5.53,0.98,0.51,0.0000,0.0006, 21200,0.54,0.30,99,40,9816.60,3330.96,2597.17,5.89,147.35,0.38,9.45,0.03,1.69,0.02,1.21,0.02,1.20,0.98,0.63,0.0000,0.0007, 23280,0.11,0.01,90,33,1810.83,1073.23,2597.17,3.37,84.36,0.07,1.74,5.75,75.46,0.02,18.77,0.00,100.00,0.00,0.00,0.00,0.00,1.71,30.19,0.16,67.94,0.00,100.00,0.00,0.00,0.00,0.00,79.78,54.73,4.37 ,4.28 ,0.00 ,0.00 ,3.00,3.00,0.57,3.56,0.16,1.12,0.00,0.82,1.00,0.08,0.0000,0.0006,  4440,14.39,85.61,0.00,0.00,0.00,41,1483.55,416.99,2597.17,7.12,177.89,1.14,28.56,
2024-03-05,09:30:59.218,0.19,2.92,0.06,1.12,0.14,5.37,0.97,0.56,0.0000,0.0006, 21560,0.55,0.30,99,39,9706.13,3320.71,2597.27,5.85,146.15,0.37,9.34,0.03,1.71,0.02,1.22,0.01,1.08,0.99,0.31,0.0000,0.0006, 23720,0.10,0.01,88,33,1735.97,1015.58,2597.27,3.42,85.47,0.07,1.67,5.73,76.61,0.02,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.20,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,80.58,53.92,4.36 ,4.28 ,0.33 ,0.33 ,3.00,3.00,0.54,3.53,0.15,1.12,0.00,0.78,1.00,0.09,0.0000,0.0006,  3920,13.81,86.19,0.00,0.00,0.00,41,1412.32,400.14,2597.27,7.06,176.48,1.09,27.19,
2024-03-05,09:31:00.218,0.17,2.69,0.06,1.12,0.23,5.20,0.96,0.35,0.0000,0.0006, 23040,0.61,0.35,96,40,9007.91,3348.20,2597.10,5.38,134.52,0.35,8.67,0.04,1.52,0.03,1.16,0.05,1.33,0.96,0.88,0.0000,0.0006, 24000,0.15,0.03,75,34,2320.31,1528.07,2597.10,3.04,75.92,0.09,2.23,5.78,72.26,0.11,21.86,0.00,100.00,0.00,0.00,0.00,0.00,2.53,39.08,0.17,58.22,0.00,100.00,0.00,0.00,0.00,0.00,76.86,59.07,4.42 ,4.31 ,0.33 ,0.33 ,3.00,3.00,0.55,3.43,0.16,1.12,0.00,0.71,1.00,0.10,0.0000,0.0005,  4600,14.26,85.74,0.00,0.00,0.00,42,1418.80,413.18,2597.10,6.87,171.69,1.09,27.31,
