System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core7 (Socket 0)-EXEC,Core7 (Socket 0)-IPC,Core7 (Socket 0)-FREQ,Core7 (Socket 0)-AFREQ,Core7 (Socket 0)-L3MISS,Core7 (Socket 0)-L2MISS,Core7 (Socket 0)-L3HIT,Core7 (Socket 0)-L2HIT,Core7 (Socket 0)-L3MPI,Core7 (Socket 0)-L2MPI,Core7 (Socket 0)-L3OCC,Core7 (Socket 0)-C0res%,Core7 (Socket 0)-C1res%,Core7 (Socket 0)-C3res%,Core7 (Socket 0)-C6res%,Core7 (Socket 0)-C7res%,Core7 (Socket 0)-TEMP,Core7 (Socket 0)-INST,Core7 (Socket 0)-ACYC,Core7 (Socket 0)-TIME(ticks),Core7 (Socket 0)-PhysIPC,Core7 (Socket 0)-PhysIPC%,Core7 (Socket 0)-INSTnom,Core7 (Socket 0)-INSTnom%,-
2024-02-26,20:20:05.396,0.20,2.74,0.07,1.12,0.04,19.31,1.00,0.46,0.0000,0.0019, 11440,0.35,0.53,99,48,10382.23,3793.54,2599.49,5.47,136.84,0.40,9.98,0.03,1.41,0.02,1.22,0.05,3.44,0.99,0.64,0.0000,0.0021, 23120,0.52,0.01,98,47,1648.52,1165.17,2599.49,2.83,70.74,0.06,1.59,6.54,75.73,0.03,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.84,28.82,0.18,69.16,0.00,100.00,0.00,0.00,0.00,0.00,79.06,51.95,4.43 ,4.49 ,549821.03 ,552454.90 ,3.00,3.00,0.55,3.15,0.18,1.12,0.00,1.82,1.00,0.11,0.0000,0.0013,   160,15.76,84.24,0.00,0.00,0.00,52,1438.59,456.86,2599.49,6.30,157.44,1.11,27.67,
2024-02-26,20:20:06.396,0.16,2.41,0.06,1.12,0.04,26.26,1.00,0.35,0.0000,0.0033, 12200,0.53,0.81,99,48,8059.03,3339.49,2597.51,4.83,120.66,0.31,7.76,0.03,1.49,0.02,1.22,0.02,3.14,0.99,0.42,0.0000,0.0020, 23360,0.79,0.01,98,47,1558.98,1048.66,2597.51,2.97,74.33,0.06,1.50,5.76,76.54,0.00,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.29,0.12,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.42,51.93,4.56 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.43,2.76,0.16,1.12,0.00,2.52,1.00,0.12,0.0000,0.0023,    80,13.91,86.09,0.00,0.00,0.00,52,1111.62,403.01,2597.51,5.52,137.91,0.86,21.40,
2024-02-26,20:20:07.396,0.15,2.36,0.06,1.12,0.04,26.70,1.00,0.35,0.0000,0.0034, 13280,0.49,0.77,99,47,7881.18,3341.86,2597.08,4.72,117.92,0.30,7.59,0.03,1.54,0.02,1.22,0.01,3.08,1.00,0.40,0.0000,0.0020, 23480,0.78,0.01,98,47,1536.18,999.88,2597.08,3.07,76.82,0.06,1.48,5.77,76.52,0.01,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.33,0.12,69.97,0.00,100.00,0.00,0.00,0.00,0.00,78.48,51.92,4.54 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.41,2.65,0.16,1.12,0.00,2.60,1.00,0.12,0.0000,0.0024,    80,13.99,86.01,0.00,0.00,0.00,53,1074.18,405.38,2597.08,5.30,132.49,0.83,20.68,
2024-02-26,20:20:08.396,0.15,2.29,0.07,1.12,0.09,26.07,1.00,0.36,0.0000,0.0033, 13480,0.50,0.81,98,47,7858.94,3426.92,2597.30,4.59,114.66,0.30,7.56,0.03,1.44,0.02,1.20,0.09,3.54,0.98,0.42,0.0001,0.0022, 23680,0.87,0.04,95,47,1601.93,1113.95,2597.30,2.88,71.90,0.06,1.54,5.91,77.00,0.03,17.05,0.00,100.00,0.00,0.00,0.00,0.00,1.78,30.93,0.26,67.03,0.00,100.00,0.00,0.00,0.00,0.00,78.63,52.71,4.55 ,4.56 ,0.33 ,0.00 ,3.00,3.00,0.42,2.70,0.15,1.12,0.00,2.51,1.00,0.12,0.0000,0.0023,    80,13.82,86.18,0.00,0.00,0.00,53,1078.76,400.21,2597.30,5.39,134.77,0.83,20.77,
2024-02-26,20:20:09.396,0.15,2.31,0.06,1.12,0.04,27.33,1.00,0.36,0.0000,0.0036, 14000,0.42,0.72,99,47,7603.44,3286.79,2597.24,4.63,115.67,0.29,7.32,0.03,1.57,0.02,1.22,0.02,3.16,0.99,0.40,0.0000,0.0020, 24120,0.82,0.02,98,46,1558.37,993.20,2597.24,3.14,78.45,0.06,1.50,5.67,76.19,0.02,18.12,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.46,0.14,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.39,51.93,4.50 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.40,2.58,0.15,1.12,0.00,2.72,1.00,0.12,0.0000,0.0026,    80,13.81,86.19,0.00,0.00,0.00,52,1032.76,400.06,2597.24,5.16,129.08,0.80,19.88,
2024-02-26,20:20:10.397,0.15,2.29,0.07,1.12,0.07,28.13,1.00,0.34,0.0000,0.0036, 13920,0.42,0.71,99,47,7770.34,3391.28,2597.08,4.58,114.56,0.30,7.48,0.03,1.50,0.02,1.22,0.04,3.21,0.99,0.40,0.0000,0.0021, 24040,0.79,0.01,98,46,1546.08,1030.03,2597.08,3.00,75.05,0.06,1.49,5.85,77.02,0.02,17.11,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.66,0.13,69.58,0.00,100.00,0.00,0.00,0.00,0.00,78.71,51.99,4.49 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.40,2.57,0.16,1.12,0.00,2.82,1.00,0.12,0.0000,0.0027,   120,14.00,86.00,0.00,0.00,0.00,52,1044.00,405.59,2597.08,5.15,128.70,0.80,20.10,
2024-02-26,20:20:11.396,0.15,2.29,0.06,1.12,0.04,28.72,1.00,0.34,0.0000,0.0038, 14240,0.39,0.69,99,46,7642.28,3335.77,2597.04,4.58,114.55,0.29,7.36,0.03,1.53,0.02,1.22,0.01,3.14,1.00,0.40,0.0000,0.0020, 23840,0.78,0.01,98,46,1537.79,1005.61,2597.04,3.06,76.46,0.06,1.48,5.76,76.47,0.01,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.21,0.16,70.04,0.00,100.00,0.00,0.00,0.00,0.00,78.64,51.90,4.48 ,4.53 ,0.33 ,0.00 ,3.00,3.00,0.40,2.53,0.16,1.12,0.00,2.91,1.00,0.13,0.0000,0.0028,    80,14.02,85.98,0.00,0.00,0.00,52,1026.45,406.22,2597.04,5.05,126.34,0.79,19.76,
2024-02-26,20:20:12.398,0.14,2.25,0.06,1.12,0.04,28.04,1.00,0.35,0.0000,0.0037, 14120,0.39,0.69,99,46,7490.38,3327.61,2599.59,4.50,112.55,0.29,7.20,0.03,1.50,0.02,1.22,0.03,3.25,0.99,0.41,0.0000,0.0021, 24120,0.77,0.01,98,45,1572.14,1047.06,2599.59,3.00,75.07,0.06,1.51,5.74,76.53,0.01,17.72,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.20,0.13,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.78,52.04,4.48 ,4.54 ,0.33 ,0.00 ,3.00,3.00,0.39,2.52,0.15,1.12,0.00,2.85,1.00,0.13,0.0000,0.0028,   120,13.71,86.29,0.00,0.00,0.00,51,1001.07,397.46,2599.59,5.04,125.93,0.77,19.25,
2024-02-26,20:20:13.398,0.15,2.30,0.06,1.12,0.04,29.29,1.00,0.34,0.0000,0.0038, 14280,0.38,0.68,99,46,7672.00,3335.15,2597.10,4.60,115.02,0.30,7.39,0.03,1.49,0.02,1.22,0.03,3.11,0.99,0.41,0.0000,0.0020, 24800,0.77,0.01,98,45,1547.65,1041.97,2597.10,2.97,74.27,0.06,1.49,5.76,76.48,0.01,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.15,0.10,70.10,0.00,100.00,0.00,0.00,0.00,0.00,78.72,51.98,4.48 ,4.52 ,0.33 ,0.00 ,3.00,3.00,0.40,2.54,0.16,1.12,0.00,2.99,1.00,0.13,0.0000,0.0029,   120,13.93,86.07,0.00,0.00,0.00,51,1025.87,403.39,2597.10,5.09,127.16,0.79,19.75,
2024-02-26,20:20:14.398,0.15,2.28,0.06,1.12,0.02,29.17,1.00,0.34,0.0000,0.0038, 14720,0.37,0.67,99,46,7612.28,3334.08,2596.99,4.57,114.16,0.29,7.33,0.03,1.51,0.02,1.22,0.01,3.11,1.00,0.40,0.0000,0.0020, 24200,0.76,0.01,98,46,1530.97,1012.96,2596.99,3.02,75.57,0.06,1.47,5.76,76.59,0.02,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.40,0.13,69.87,0.00,100.00,0.00,0.00,0.00,0.00,78.77,52.06,4.48 ,4.52 ,0.33 ,0.00 ,3.00,3.00,0.39,2.49,0.16,1.12,0.00,3.00,1.00,0.13,0.0000,0.0030,    80,14.02,85.98,0.00,0.00,0.00,51,1011.23,406.11,2596.99,4.98,124.50,0.78,19.47,
