System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-04,23:54:53.697,0.20,2.85,0.07,1.12,0.15,6.91,0.98,0.35,0.0000,0.0007, 14400,0.45,0.30,99,48,10324.51,3619.01,2600.09,5.71,142.64,0.40,9.93,0.05,1.52,0.03,1.17,0.06,2.02,0.97,0.91,0.0000,0.0008, 23480,0.16,0.01,95,48,2498.11,1648.11,2600.09,3.03,75.79,0.10,2.40,6.24,68.95,0.04,24.77,0.00,100.00,0.00,0.00,0.00,0.00,2.71,36.31,0.18,60.80,0.00,100.00,0.00,0.00,0.00,0.00,73.53,56.82,4.38 ,4.33 ,871670.09 ,882656.42 ,3.00,3.00,0.58,3.09,0.19,1.12,0.01,1.09,0.99,0.12,0.0000,0.0007,  3080,16.88,83.12,0.00,0.00,0.00,53,1511.24,489.68,2600.09,6.17,154.31,1.16,29.06,
2024-03-04,23:54:54.697,0.14,2.17,0.06,1.12,0.17,9.04,0.98,0.46,0.0000,0.0013, 15000,0.80,0.53,99,48,7194.10,3320.48,2597.67,4.33,108.33,0.28,6.92,0.03,1.59,0.02,1.22,0.02,1.71,0.99,0.46,0.0000,0.0010, 23240,0.28,0.01,95,47,1697.86,1065.88,2597.67,3.19,79.65,0.07,1.63,5.73,76.79,0.02,17.46,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.57,0.13,69.61,0.00,100.00,0.00,0.00,0.00,0.00,75.27,52.23,4.52 ,4.34 ,0.33 ,0.00 ,3.00,3.00,0.39,2.52,0.15,1.12,0.01,1.46,0.99,0.12,0.0000,0.0015,  3360,13.73,86.27,0.00,0.00,0.00,52,1001.14,397.85,2597.67,5.03,125.82,0.77,19.27,
2024-03-04,23:54:55.697,0.14,2.25,0.06,1.12,0.17,9.29,0.98,0.46,0.0000,0.0012, 15920,0.80,0.53,98,48,7444.06,3309.26,2596.99,4.50,112.47,0.29,7.17,0.03,1.51,0.02,1.21,0.05,1.87,0.97,0.61,0.0000,0.0011, 24760,0.29,0.02,95,47,1711.59,1133.36,2596.99,3.02,75.51,0.07,1.65,5.71,77.01,0.01,17.27,0.00,100.00,0.00,0.00,0.00,0.00,1.81,30.15,0.12,67.91,0.00,100.00,0.00,0.00,0.00,0.00,75.49,52.87,4.52 ,4.35 ,0.33 ,0.00 ,3.00,3.00,0.40,2.57,0.16,1.12,0.01,1.50,1.00,0.12,0.0000,0.0015,  3440,13.90,86.10,0.00,0.00,0.00,53,1035.59,402.59,2596.99,5.14,128.62,0.80,19.94,
2024-03-04,23:54:56.697,0.14,2.10,0.07,1.12,0.24,8.96,0.97,0.49,0.0000,0.0012, 17120,0.80,0.55,98,48,7428.75,3538.04,2598.08,4.20,104.98,0.29,7.15,0.03,1.43,0.02,1.20,0.10,2.13,0.95,0.45,0.0001,0.0013, 24120,0.35,0.04,91,46,1624.25,1137.10,2598.08,2.86,71.42,0.06,1.56,6.11,77.87,0.07,15.96,0.00,100.00,0.00,0.00,0.00,0.00,1.83,32.01,0.37,65.79,0.00,100.00,0.00,0.00,0.00,0.00,75.92,53.02,4.53 ,4.38 ,0.00 ,0.00 ,3.00,3.00,0.40,2.53,0.16,1.12,0.01,1.42,0.99,0.12,0.0000,0.0014,  3680,14.03,85.97,0.00,0.00,0.00,53,1027.70,406.49,2598.08,5.06,126.41,0.79,19.78,
2024-03-04,23:54:57.697,0.14,2.22,0.06,1.12,0.18,9.36,0.98,0.45,0.0000,0.0013, 17880,0.80,0.53,98,47,7405.28,3335.73,2597.11,4.44,111.00,0.29,7.13,0.03,1.55,0.02,1.21,0.04,1.73,0.98,0.47,0.0000,0.0010, 24280,0.29,0.02,95,46,1706.60,1102.52,2597.11,3.10,77.40,0.07,1.64,5.76,77.13,0.02,17.09,0.00,100.00,0.00,0.00,0.00,0.00,1.75,29.50,0.13,68.62,0.00,100.00,0.00,0.00,0.00,0.00,75.66,52.52,4.53 ,4.35 ,0.33 ,0.00 ,3.00,3.00,0.40,2.58,0.15,1.12,0.01,1.51,0.99,0.12,0.0000,0.0015,  4240,13.86,86.14,0.00,0.00,0.00,52,1033.94,401.44,2597.11,5.15,128.78,0.80,19.91,
2024-03-04,23:54:58.697,0.14,2.18,0.06,1.12,0.17,9.22,0.98,0.46,0.0000,0.0013, 18280,0.80,0.53,99,46,7252.49,3333.15,2596.80,4.35,108.79,0.28,6.98,0.03,1.63,0.02,1.22,0.01,1.63,0.99,0.37,0.0000,0.0010, 24080,0.28,0.01,94,47,1645.60,1011.88,2596.80,3.25,81.31,0.06,1.58,5.75,77.52,0.03,16.69,0.00,100.00,0.00,0.00,0.00,0.00,1.60,29.01,0.17,69.21,0.00,100.00,0.00,0.00,0.00,0.00,75.79,52.22,4.51 ,4.34 ,0.33 ,0.33 ,3.00,3.00,0.39,2.53,0.15,1.12,0.01,1.49,0.99,0.12,0.0000,0.0015,  3640,13.75,86.25,0.00,0.00,0.00,52,1006.08,398.19,2596.80,5.05,126.33,0.77,19.37,
2024-03-04,23:54:59.697,0.15,2.24,0.07,1.12,0.18,9.47,0.98,0.45,0.0000,0.0012, 17720,0.80,0.53,99,46,7590.46,3381.28,2596.54,4.49,112.24,0.29,7.31,0.03,1.54,0.02,1.21,0.03,1.67,0.98,0.45,0.0000,0.0010, 25080,0.29,0.01,95,46,1659.95,1077.13,2596.54,3.08,77.05,0.06,1.60,5.84,76.93,0.02,17.21,0.00,100.00,0.00,0.00,0.00,0.00,1.71,29.09,0.13,69.07,0.00,100.00,0.00,0.00,0.00,0.00,75.78,52.46,4.53 ,4.34 ,0.33 ,0.00 ,3.00,3.00,0.41,2.62,0.16,1.12,0.01,1.53,0.99,0.12,0.0000,0.0014,  3600,14.01,85.99,0.00,0.00,0.00,52,1062.59,405.80,2596.54,5.24,130.92,0.82,20.46,
2024-03-04,23:55:00.698,0.14,2.18,0.06,1.12,0.18,9.35,0.98,0.45,0.0000,0.0013, 17920,0.80,0.53,99,47,7359.63,3370.72,2599.65,4.37,109.17,0.28,7.08,0.03,1.56,0.02,1.21,0.02,1.65,0.99,0.44,0.0000,0.0010, 25360,0.28,0.01,94,46,1700.54,1090.35,2599.65,3.12,77.98,0.07,1.64,5.81,76.85,0.02,17.31,0.00,100.00,0.00,0.00,0.00,0.00,1.73,29.57,0.15,68.54,0.00,100.00,0.00,0.00,0.00,0.00,75.80,52.72,4.52 ,4.35 ,0.33 ,0.00 ,3.00,3.00,0.40,2.55,0.16,1.12,0.01,1.51,0.99,0.12,0.0000,0.0015,  4040,14.01,85.99,0.00,0.00,0.00,51,1035.62,406.19,2599.65,5.10,127.48,0.80,19.92,
2024-03-04,23:55:01.699,0.14,2.17,0.06,1.12,0.17,9.22,0.98,0.45,0.0000,0.0013, 18760,0.80,0.53,99,46,7276.14,3346.31,2600.57,4.35,108.72,0.28,7.00,0.03,1.58,0.02,1.22,0.02,1.70,0.99,0.38,0.0000,0.0010, 24280,0.28,0.01,94,46,1655.55,1049.37,2600.57,3.16,78.88,0.06,1.59,5.77,76.90,0.02,17.32,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.54,0.15,69.66,0.00,100.00,0.00,0.00,0.00,0.00,75.78,52.33,4.52 ,4.33 ,0.00 ,0.00 ,3.00,3.00,0.39,2.53,0.15,1.12,0.01,1.49,0.99,0.12,0.0000,0.0015,  3560,13.81,86.19,0.00,0.00,0.00,51,1011.63,400.53,2600.57,5.05,126.29,0.78,19.45,
