System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-13,16:42:17.595,0.19,2.43,0.08,1.12,0.12,21.51,0.99,0.20,0.0000,0.0021, 14000,0.74,0.65,99,49,10075.42,4154.33,2604.37,4.85,121.26,0.39,9.67,0.04,1.58,0.03,1.22,0.03,2.94,0.99,0.40,0.0000,0.0013, 23000,0.46,0.02,97,48,2304.09,1455.87,2604.37,3.17,79.13,0.09,2.21,7.15,66.38,0.01,26.46,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.69,0.12,69.89,0.00,100.00,0.00,0.00,0.00,0.00,72.34,52.01,4.55 ,4.40 ,494240.24 ,496687.05 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.40,1.00,0.10,0.0000,0.0022,  3440,19.76,80.24,0.00,0.00,0.00,54,1570.45,574.03,2604.37,5.47,136.79,1.21,30.15,
2024-02-13,16:42:18.595,0.20,2.43,0.08,1.12,0.12,21.96,0.99,0.20,0.0000,0.0022, 14240,0.72,0.63,99,49,10139.96,4167.66,2591.96,4.87,121.65,0.39,9.78,0.04,1.58,0.03,1.22,0.01,2.93,1.00,0.40,0.0000,0.0013, 23760,0.43,0.01,96,48,2292.60,1447.35,2591.96,3.17,79.20,0.09,2.21,7.20,66.12,0.01,26.66,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.48,0.12,70.11,0.00,100.00,0.00,0.00,0.00,0.00,72.31,51.87,4.55 ,4.38 ,0.00 ,0.33 ,3.00,3.00,0.61,2.76,0.22,1.12,0.01,3.47,1.00,0.10,0.0000,0.0022,  3320,19.85,80.15,0.00,0.00,0.00,53,1584.65,573.83,2591.96,5.52,138.08,1.22,30.57,
2024-02-13,16:42:19.595,0.19,2.43,0.08,1.12,0.12,22.04,0.99,0.20,0.0000,0.0022, 14280,0.72,0.63,99,49,10114.34,4170.59,2602.31,4.85,121.26,0.39,9.72,0.04,1.59,0.03,1.22,0.01,2.88,1.00,0.40,0.0000,0.0012, 23640,0.42,0.01,96,49,2305.60,1447.55,2602.31,3.19,79.64,0.09,2.22,7.19,66.35,0.02,26.44,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.56,0.14,70.02,0.00,100.00,0.00,0.00,0.00,0.00,72.36,51.89,4.54 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.60,2.72,0.22,1.12,0.01,3.47,1.00,0.10,0.0000,0.0022,  3400,19.78,80.22,0.00,0.00,0.00,52,1562.51,574.16,2602.31,5.44,136.07,1.20,30.02,
2024-02-13,16:42:20.595,0.20,2.41,0.08,1.12,0.12,22.15,0.99,0.20,0.0000,0.0022, 15240,0.70,0.62,99,50,10160.62,4218.92,2597.23,4.82,120.42,0.39,9.78,0.04,1.58,0.03,1.22,0.01,2.97,1.00,0.40,0.0000,0.0013, 23680,0.41,0.01,96,48,2302.29,1459.82,2597.23,3.15,78.86,0.09,2.22,7.28,66.60,0.00,26.12,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.67,0.13,69.90,0.00,100.00,0.00,0.00,0.00,0.00,72.52,51.93,4.56 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.60,2.74,0.22,1.12,0.01,3.49,1.00,0.10,0.0000,0.0022,  3400,19.74,80.26,0.00,0.00,0.00,53,1568.60,572.00,2597.23,5.48,137.12,1.21,30.20,
2024-02-13,16:42:21.596,0.20,2.46,0.08,1.12,0.12,22.59,0.99,0.20,0.0000,0.0022, 15280,0.69,0.61,99,49,10240.63,4161.89,2599.62,4.92,123.03,0.39,9.85,0.04,1.58,0.03,1.22,0.01,2.86,1.00,0.40,0.0000,0.0012, 23200,0.41,0.01,96,47,2300.49,1459.86,2599.62,3.15,78.79,0.09,2.21,7.18,66.32,0.03,26.47,0.00,100.00,0.00,0.00,0.00,0.00,2.31,28.01,0.15,69.53,0.00,100.00,0.00,0.00,0.00,0.00,72.61,52.05,4.55 ,4.38 ,0.00 ,0.33 ,3.00,3.00,0.61,2.77,0.22,1.12,0.01,3.55,1.00,0.10,0.0000,0.0022,  3880,19.78,80.22,0.00,0.00,0.00,52,1590.62,573.40,2599.62,5.55,138.70,1.22,30.59,
2024-02-13,16:42:22.597,0.20,2.35,0.08,1.12,0.20,22.27,0.99,0.21,0.0000,0.0022, 16760,0.69,0.63,97,49,10290.80,4370.58,2599.77,4.71,117.73,0.40,9.90,0.04,1.41,0.03,1.19,0.12,3.65,0.97,0.45,0.0001,0.0016, 23360,0.50,0.05,92,48,2288.23,1618.58,2599.77,2.83,70.69,0.09,2.20,7.54,68.13,0.11,24.22,0.00,100.00,0.00,0.00,0.00,0.00,2.61,32.14,0.34,64.90,0.00,100.00,0.00,0.00,0.00,0.00,73.10,53.13,4.55 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.61,2.77,0.22,1.12,0.01,3.45,1.00,0.11,0.0000,0.0022,  3800,19.79,80.21,0.00,0.00,0.00,51,1591.25,574.00,2599.77,5.54,138.61,1.22,30.60,
2024-02-13,16:42:23.597,0.20,2.53,0.08,1.12,0.09,23.98,1.00,0.20,0.0000,0.0023, 17560,0.62,0.58,99,48,10535.96,4162.72,2596.74,5.06,126.55,0.41,10.14,0.04,1.58,0.03,1.22,0.02,2.95,0.99,0.40,0.0000,0.0013, 23440,0.45,0.01,97,48,2286.00,1445.31,2596.74,3.16,79.08,0.09,2.20,7.19,66.16,0.02,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.61,0.15,69.95,0.00,100.00,0.00,0.00,0.00,0.00,72.88,51.97,4.50 ,4.38 ,0.17 ,0.33 ,3.00,3.00,0.63,2.84,0.22,1.12,0.01,3.75,1.00,0.10,0.0000,0.0023,  4160,19.85,80.15,0.00,0.00,0.00,52,1635.16,574.83,2596.74,5.69,142.23,1.26,31.48,
2024-02-13,16:42:24.597,0.20,2.53,0.08,1.12,0.10,24.05,1.00,0.20,0.0000,0.0023, 17120,0.62,0.58,99,47,10525.86,4165.77,2597.13,5.05,126.34,0.41,10.13,0.04,1.58,0.03,1.22,0.01,2.90,1.00,0.40,0.0000,0.0013, 23480,0.43,0.01,96,47,2294.60,1447.74,2597.13,3.17,79.25,0.09,2.21,7.19,66.14,0.01,26.66,0.00,100.00,0.00,0.00,0.00,0.00,2.28,27.59,0.14,69.98,0.00,100.00,0.00,0.00,0.00,0.00,72.89,51.96,4.53 ,4.38 ,0.30 ,0.33 ,3.00,3.00,0.63,2.85,0.22,1.12,0.01,3.77,1.00,0.10,0.0000,0.0023,  4040,19.83,80.17,0.00,0.00,0.00,51,1638.94,574.41,2597.13,5.71,142.66,1.26,31.55,
2024-02-13,16:42:25.597,0.20,2.53,0.08,1.12,0.10,23.96,1.00,0.20,0.0000,0.0023, 17880,0.62,0.57,99,47,10531.35,4157.91,2596.95,5.07,126.64,0.41,10.14,0.04,1.58,0.03,1.22,0.02,3.00,0.99,0.40,0.0000,0.0013, 23240,0.43,0.01,96,47,2292.31,1450.55,2596.95,3.16,79.01,0.09,2.21,7.18,66.17,0.02,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.49,0.13,70.09,0.00,100.00,0.00,0.00,0.00,0.00,72.94,51.93,4.53 ,4.39 ,0.20 ,0.33 ,3.00,3.00,0.63,2.85,0.22,1.12,0.01,3.75,1.00,0.10,0.0000,0.0023,  4080,19.80,80.20,0.00,0.00,0.00,51,1634.90,573.59,2596.95,5.70,142.51,1.26,31.48,
