,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-13,16:42:17.540,  157.13,  214.82,  559.62,  413.88,,,,,  716.75,  628.70,2067746017, 1345.44,  221.23,    6.00,  225.94,    9.18,,,,,  447.17,   15.18,2067985318,  462.36,   1163.92,    643.88,   1807.80
2024-02-13,16:42:18.540,  157.10,  214.55,  563.38,  416.21,,,,,  720.47,  630.76,2133293763, 1351.23,  214.83,    3.05,  220.30,    6.39,,,,,  435.13,    9.44,2133185230,  444.57,   1155.61,    640.20,   1795.80
2024-02-13,16:42:19.540,  156.31,  213.51,  561.03,  414.61,,,,,  717.34,  628.12,2132838521, 1345.46,  208.43,    1.55,  213.49,    4.85,,,,,  421.92,    6.40,2133020377,  428.32,   1139.25,    634.53,   1773.78
2024-02-13,16:42:20.540,  153.38,  209.57,  551.83,  408.05,,,,,  705.21,  617.62,2133007881, 1322.83,  204.32,    1.84,  209.70,    5.16,,,,,  414.02,    7.00,2132993164,  421.02,   1119.23,    624.62,   1743.85
2024-02-13,16:42:21.540,  150.51,  207.72,  543.17,  403.88,,,,,  693.68,  611.60,2133044952, 1305.28,  203.45,    1.79,  208.47,    5.10,,,,,  411.92,    6.88,2133032113,  418.80,   1105.60,    618.49,   1724.09
2024-02-13,16:42:22.540,  152.77,  218.22,  543.54,  413.85,,,,,  696.30,  632.08,2133079565, 1328.38,  246.31,   21.35,  250.19,   24.67,,,,,  496.50,   46.02,2133002605,  542.52,   1192.80,    678.10,   1870.90
2024-02-13,16:42:23.540,  135.34,  200.73,  490.62,  381.07,,,,,  625.95,  581.81,2132899270, 1207.76,  223.32,    3.17,  227.70,    6.47,,,,,  451.02,    9.64,2132831718,  460.65,   1076.97,    591.44,   1668.41
2024-02-13,16:42:24.541,  134.76,  199.11,  489.48,  379.49,,,,,  624.24,  578.61,2134887891, 1202.84,  214.35,    2.10,  218.84,    5.42,,,,,  433.19,    7.52,2134975708,  440.71,   1057.43,    586.13,   1643.55
2024-02-13,16:42:25.541,  134.23,  197.68,  487.58,  377.23,,,,,  621.81,  574.91,2132765798, 1196.72,  212.07,    2.20,  216.67,    5.51,,,,,  428.74,    7.71,2132657571,  436.45,   1050.55,    582.62,   1633.17
2024-02-13,16:42:26.541,  134.32,  196.74,  488.41,  376.78,,,,,  622.73,  573.52,2132680993, 1196.24,  206.76,    1.66,  212.11,    4.97,,,,,  418.88,    6.64,2132660400,  425.51,   1041.60,    580.15,   1621.76
2024-02-13,16:42:27.542,  133.47,  195.51,  485.84,  374.59,,,,,  619.31,  570.10,2134702227, 1189.41,  202.45,    1.73,  208.60,    5.04,,,,,  411.04,    6.77,2134682489,  417.81,   1030.36,    576.87,   1607.22
2024-02-13,16:42:28.542,  133.78,  195.76,  485.49,  374.63,,,,,  619.27,  570.40,2132714280, 1189.67,  205.31,    2.30,  210.90,    5.62,,,,,  416.22,    7.92,2132864981,  424.13,   1035.48,    578.32,   1613.80
